Check this.	Sjáðu þetta.
It's not just chemical contamination of our land and water.	Það er ekki bara efnamengun á landi og í vatni.
It's not just the population problem.	Það er ekki bara offjölgunin.
And it's not just all of those.	Og það er ekki bara allt þetta.
The deterioration of the environment of our planet is an outward mirror of an inner condition.	Hnignun umhverfisins á plánetunni okkar er ytri spegill innri ástands.
Like inside, like outside.	Eins að innan sem hið ytra.
And that's a part of the great work.	Og það er hluti af heildarmyndinni.
What if we choose to eradicate ourselves from this Earth, by whatever means?	Hvað ef við kjósum að þurrka okkur út af jörðinni með öllum ráðum?
The Earth goes nowhere.	Jörðin fer hvergi.
And in time, it will regenerate and all the lakes will be pristine.	Og með tímanum endurnýjar hún sig og öll vötnin verða ósnortin.
The rivers, the waters, the mountains everything will be green again.	Árnar, vötnin, fjöllin, allt verður grænt á ný.
It'll be peaceful.	Það verður friðsælt.
There may not be people, but the Earth will regenerate.	Það verður kannski ekki fólk, en jörðin endurnýjar sig.
And you know why?	Og vitið þið af hverju?
Because the Earth has all the time in the world and we don't.	Af því jörðin hefur nægan tíma og við ekki.
So I think that's where we're at, right now.	Ég held að við séum stödd þar núna.
English 95 Documentary USA 2007 English 1.0 1193 1/1 2009-02-11 01:20:24,517 767 0 1 13562 utf-8 47 1	Sameinist hreyfingunni Umsamið hjá: SDI Media Group [ ICELANDIC ] 1384 Icelandic 1.0 1/1 2008-03-30 01:28:45,551 USA 95 Documentary 2007 English 0 917 0 11607 42 iso-8859-4 0
Did you know?	Vissirðu það?
No!	Nei.
He didn't tell you?	Sagði hann þér það ekki? Nei.
No, I swear to God.	Ég sver það.
Like father like son, the two of you are from the same mold.	Þið eruð steyptir í sama mót. Níu ár inn í eilífðina Til hamingju með afmælið.
Happy anniversary.	Til hamingju með afmælið.
You okay?	Er allt í lagi?
You were tossing and turning all night last night.	Þú varst eirðarlaus í gærkvöldi.
I know.	Ég veit það.
I don't know what this is.	Ég veit ekki hvað þetta er.
Come on, let's go get some breakfast.	Fáum okkur morgunmat.
Danny, you hungry?	Ertu svangur, Danny? Já.
Yeah, sure.	Fáum okkur morgunmat. Já.
Come on, let's get something to eat.	Hjálpaðu mér með þetta inn.
Danny, if you're gonna play with your food, well, at least you gotta have fun doing it.	Er allt í lagi? Ef þú ætlar að leika þér með matinn skaltu þó hafa gaman að því.
There, all set.	Hvernig er þetta?
You okay, buddy?	Er allt í lagi, vinur?
I don't feel so good.	Mér líður ekki vel.
Can I get some help over here?	Get ég fengið aðstoð?
Just relax, just sit down.	Sestu, elskan.
Here, let me help.	Leyfið mér að hjálpa til.
I am so sorry.	Mér þykir þetta afar leitt.
Why not kill me, too?	Því drap hann mig ekki líka?
I mean, leaves me behind?	Hann skildi mig eftir.
Why?	Af hverju?
It's just so random.	Þetta er bara svo tilviljanakennt.
Nice job.	Hérna.
Here, Dad's gonna catch you.	Pabbi grípur þig.
You better throw far.	Eins gott að þú kastir langt.
Mom, don't kill me.	Þið drepið mig!
Away I go. Okay, go run.	Hvað getur farið úrskeiðis?
All right.	Gætilega.
Careful. I see you.	Ég sé þig.
Do you want to come here for a s'more?	Hvað hita ég snarl lengi?
You know, my dad taught me how to swim.	Pabbi kenndi mér að synda.
So would you consider Dad tall or short?	Er pabbi stór eða lítill?
Very short?	Mjög lítill?
We short people have thick skin, 'cause it doesn't get stretched over a taller frame.	Lítið fólk hefur þykka húð því lítið teygist á henni.
Reason my wife and son were murdered was because of me.	Eiginkona mín og sonur voru myrt út af mér.
Because I wasn't able to help them when they needed me most.	Það vex aftur. Ég gat ekki hjáIpað þeim þegar mest lá við.
You can never go back again.	Þú getur ekki farið til baka.
Let it go.	Það var lagið!
Happy anniversary.	Ég átti að bjarga þeim.
I should have saved them.	Ég átti að bjarga þeim.
I'm coming right over.	Ég kem strax.
Ls this our OD?	Er þetta sá sem tók of stóra skammtinn?
Yeah.	Já.
You know how many of these he took?	Veistu hvað hann tók margar töflur?
I don't know, man.	Ég veit það ekki.
Come on.	Svona nú.
He's dying. Come on.	Hann er að deyja.
He's still defib.	Ennþá sleglatif.
No pulse.	Enginn púls.
Yes, Doctor.	Komdu aftur.
Continue compressions.	Hnoðaðu hjartað áfram.
No response.	Engin svörun.
300.	300. 300.
360. Clear.	Hjartað slær.
360. Clear. We got a sinus rhythm.	Aukinn blóðþrýstingur.
We're getting a response.	Við fáum svörun.
It's okay.	Það er allt í lagi.
We brought you back.	Við björguðum þér.
I'm Sherry Clarke.	Ég heiti Sherry CIarke.
You're in Saint Elizabeth's ICU.	Þú ert á gjörgæslu St. Elizabeth.
You're my doctor?	Ertu læknirinn minn?
Better.	Betra en það.
I'm your nurse.	Hjúkkan þín.
The light hurts my eyes.	Ég fæ ofbirtu í augun.
How long have I been here?	Hvað hef ég verið hér lengi?
A couple of days.	Nokkra daga.
Dr. Karros has been keeping an eye on you.	Karras læknir hefur fylgst með þér.
You're his latest project.	Þú ert nýjasta verkefni hans.
Do you wanna watch some TV?	Viltu horfa á sjónvarpið?
You remember why you're here?	Veistu af hverju þú ert hérna?
You were legally dead, but lucky for you, modern medicine knows no limits. I died?	Þú varst talinn látinn en sem betur fer er nútímalæknavísindum engin takmörk sett.
Technically speaking, yes.	Dó ég? Já, strangt til tekið.
How did you know that?	Hvernig vissirðu það?
Well, the research I've done finds as many as eight out of 10 people who've had an NDE report seeing a white light.	Rannsóknir mínar leiða í ljós að átta af tíu sem verða fyrir DR segja frá hvítu Ijósi.
It's freaky, huh?	ÓhugnanIegt.
What about the light I'm seeing right now?	Hvað um ljósið sem ég sé núna?
It's probably just an aura, type of residue, if you will.	Það er trúlega ára, leifar.
That's normal?	Er það eðlilegt?
I 'd say we're well beyond the bound of normal here, but, yes.	Við erum komnir út fyrir mörk þess eðlilega, en já.
You'll see them less frequently as time passes and eventually they'll just disappear.	Þú ferð að sjá þær æ oftar og þær hverfa á endanum.
So everything looks fine.	Allt virðist með felldu.
No masses, vessels look clean.	Engir hnúðar.
No deviations in your intracranial space.	Æðarnar virðast hreinar. Engin frávik.
But I've seen it three times in the past few days.	Ég hef séð þetta þrisvar undanfarna daga.
Seen what?	Hvað þá? Hvíta ljósið.
The white light.	Það er svolítið annað.
And there's something else, and you're gonna think I'm crazy, but I'm seeing and hearing all kinds of electrical stuff.	Þú heldur að ég sé óður. Ég sé og heyri aIIs kyns rafmagnsfyrirbæri.
EVP stands for Electronic Voice Phenomenon.	RRF er rafraddarfyrirbæri.
Precognition, the white light you're seeing, all that stuff is part of the supernatural white noise that surrounds us.	Forskynjun, hvíta ljósið, er hluti af dulrænum, hvítum hávaða sem umlykur okkur.
I've got a grant to study these paranormal types of things.	Ég fékk styrk tiI að rannsaka það yfirskilvitlega.
It's the recording of voices and images of the deceased using a detuned receiving apparatus, like a TV or radio.	Hvað er RRF? Upptaka af hinum látnu, með því að nota móttakara á borð við sjónvarp eða útvarp.
Frankly, who knows?	Hver veit?
As long as we're not exactly sure what it is, they'll keep funding my grant.	Ég fæ rannsóknastyrk meðan óvissa ríkir.
What are you doing down here?	Hvað gerirðu hérna?
That?	Þetta?
No, I didn't want to detune that one.	Nei, ég vildi ekki afstilla þetta.
That's Change of Habit.	Þetta er Change of Habit.
I'm recording it for research purposes, thought I might learn something from...	Ég skrái hana í rannsóknaskyni. Ég gæti Iært eitthvað af dr. Presley.
What, you're not a fan of this one?	Ertu ekki aðdáandi?
Just now, I just saw one of those things on the screen.	Nei. Ég sá eitt þessara fyrirbæra á skjánum.
Oh, no, EVP transmissions are only visible after they've been recorded when you play them back.	RRF-sendingar eru sýnilegar í upptöku og afspilun.
On the last close-up of Elvis, I saw a blast of static with what looked like an unformed person.	Í einni síðustu nærmyndinni af Elvis sá ég neistaflug og þá virtist móta fyrir manneskju.
So what are you doing now?	Hvað ertu að gera?
Rewound the feed, bring it over, detune it.	Spila upptökuna til baka, breyta spanstuðlinum.
See if you really saw something.	Gá hvort þú hafir séð eitthvað í alvöru.
I got a doctor's appointment. Sure, sure, whatever.	Ég er farinn, þarf að mæta hjá lækni.
I...	Ég...
I refuse.	Ég neita því.
Hi, Dr. Karros asked me...	Sæl. Karras bað mig...
What's wrong?	Hvað er að?
Dr. Karros is dead.	Karras er dáinn.
What?	Hvað þá?
Had a heart attack early this morning.	Hann fékk hjartaáfall í morgun.
Like with Dr. Karros, it could be a couple of days.	Eins og með Karras gæti það tekið nokkra daga.
With the woman in the park, it could be a few hours.	Nokkra tíma með konuna.
It could even be a few minutes just depending on how strong the light is, I don't know.	Gætu það verið mínútur, eftir því hvað ljósið er sterkt?
How about I don't know?	Ég veit það ekki.
Listen, in the big city, we probably cross paths with people who are about to die in the next few days all the time.	Við hittum trúlega alltaf fólk sem deyr innan tíðar.
We just don't know it.	Við vitum það bara ekki.
Yeah, but what if I do, Marty?	Já, en hvað ef ég veit það?
What if I do know when somebody's gonna die?	Hvað ef ég veit þegar einhver mun deyja?
And now all of a sudden you've got this superpower?	Býrðu allt í einu yfir þessum ofurmætti?
It's not a superpower.	Þetta er ekki ofurmáttur.
Call it what you want, Abe, but that sure as hell sounds like some superhero Captain Tight Pants bullshit to me, man.	Þú ræður hvað þú kallar það en mér heyrist þetta vera ofurhetjubull.
Stop talking all this nonsense.	Hættu þessu bulli.
My foot's stuck!	Fóturinn á mér er fastur!
Help me!	Hjálpaðu mér!
Hey, help me!	Hjálpaðu mér!
Get off the track!	Farðu af brautinni!
Move!	Forðaðu þér!
I am so sorry.	Almáttugur!
Yeah? Hey, Marty!	Sæll, Marty?
How would you feel about me dropping by?	Hvernig líst þér á að ég liti inn?
Abe. Yeah, sure.	Já, þó það nú væri.
When?	Hvenær?
How does right freaking now grab you?	Hvernig líst þér á núna?
Thanks.	Þakka þér fyrir.
I think you should get out from under there.	Fjárinn. Þú ættir að forða þér.
What the hell you doing?	Hvað ertu að gera?
No, Marty, I swear to God, I am fine.	Ég sver að það er aIIt í Iagi.
All right, all right, but maybe you should, I don't know, take a little time off or something, you know?	Allt í lagi en þú ættir kannski að fara í smáfrí.
I don't want you overdoing it.	Ég vil ekki að þú ofgerir þér.
All right, I'll think about it.	Gott og vel.
Thanks.	Ég hugIeiði það.
You saved somebody's life tonight.	Þú bjargaðir mannslífi í kvöld.
So would you consider Dad tall or short?	Hvort finnst þér pabba vera stór eða lítill?
No, no.	Lítill.
Short. Short.	Mjög lítill?
No offense.	Ekki illa meint.
None taken.	Allt í góðu.
We short people have thick skin, 'cause it doesn't get stretched over a taller frame.	Stutt fólk hefur þykka húð. því lítið teygist á henni.
Yep. Sure do.	Já, það er rétt.
Looks like she's trying to throw him. Nice job.	Austurríski þjálfarinn reynir að kasta honum.
I'm the king.	Laglegt!
Okay.	Ég er kóngurinn!
Shit.	Fjárinn!
Ten weeks? Yeah.	Eftir tæpan hálfan mánuð. Hálfan mánuð?
That's so far.	Það er svo langt.
I know.	Ég veit það.
I'll have to come.	Ég verð að koma.
Yeah.	Já.
You can make it up to me right now.	Þú getur bætt mér það upp.
Stop it!	Hættið þessu!
You're hurting him! Hey!	Þið meiðið hann!
Hey!	Kyrr.
Shit!	Fjárinn.
Guys! Guys!	Strákar!
Hey! Help!	Skrambinn.
Let's go.	Komum.
Pull me up, pull me up!	Togið mig upp!
Kurt, are you okay?	Ertu ómeiddur, Kurt?
Yeah, he's gonna be fine.	Já, hann jafnar sig.
Me, I'm not so sure about.	Ég er ekki viss um mig.
Hey, Abe, missed you at work today.	Ég saknaði þín í vinnunni, Abe.
Guess you decided to take that time off after all.	Þú ákvaðst víst að taka þér frí.
Hey, no problem, man.	Þakka þér fyrir að hitta mig. Ekkert mál.
There are things in there that are gonna reopen a million wounds.	Hér er ýmislegt sem ýfir upp sár.
Are you sure you're ready to do this?	Ertu tilbúinn? Já.
I'm positive.	Allt í lagi.
Thanks.	Takk.
Hey, call me if you need anything.	Hringdu ef þig vantar eitthvað.
I will.	Já.
Hey, there.	Sæll vertu.
Oh, hey, Mr. Dale.	Sæll, hr. Dale.
I was just checking to see how Kurt's doing.	Ég kom tiI að hitta Kurt.
Needed stitches.	Það þurfti að sauma hann.
Not a word.	Stigi Ekki orð.
You bitch!	Trunta!
Hey, you okay?	Ertu ómeidd?
Yeah.	Já.
I think you just saved my life.	Þú bjargaðir lífi mínu.
Well, it's beginning to be a fucking habit.	Þetta er orðinn vani.
Trust me.	Trúðu mér.
It's no big deal.	Þetta er ekkert mál.
Dude, it was my life.	Þetta var líf mitt, vinur. Ég átti ekki við það.
It's you.	Það ert þú.
Yeah, you were my nurse.	Já, þú varst hjúkrunar - fræðingur minn.
It's busted.	Það er brotið.
I'm so sorry.	Mér þykir fyrir því.
Well, that's okay.	Það er allt í lagi.
Let me take a look.	Þú ert meiddur.
Hey! That's fine.	Leyfðu mér að sjá.
Don't you worry about it.	Fástu ekki um það.
Let me fix you up. it's the least I can do.	Leyfðu mér að líta á þig.
Come on.	Minna má það ekki vera.
It's a superficial laceration.	Þetta er grunnt sár.
You must have loved him very much.	Þú hlýtur að hafa elskað hann heitt.
Yeah.	Já.
He was a music teacher at Sacred Heart Elementary.	Hann var tónlistarkennari við Sacred Heart.
And those kids adored him.	Krakkarnir voru hrifnir af honum.
He had such a unique approach.	Hann beitti einstakri aðferð.
None of that "do-re-mi" crap.	Ekkert tónstigabull.
He 'd organize this recital every year, have the kids singing Bowie, Pink Floyd, Rush, The Beach Boys, a little Jane's Addiction.	Hann skipulagði tónleika. Krakkarnir áttu að syngja Bowie, Pink Floyd, Rush, Beach Boys, Jane ' s Addiction.
You name it.	Nefndu það.
Sounds amazing. Yeah.	Virðist stórkostlegt.
It was incredible.	Já, það var ótrúlegt.
But the end just came so quick.	En endalokin komu svo fljótt.
But I wake up and it just hit me.	En þá rann það upp fyrir mér.
I had to let Tommy go.	Ég varð að Ieyfa Tommy að fara.
I'll see him again, someday.	Ég hitti hann aftur einn góðan veðurdag.
Until then, you have to accept what it's supposed to be about.	Þangað til verður maður að sætta sig við lífið.
Did you two have any kids?	Áttuð þið börn?
No.	Nei.
No, but I still put on the recital every year in his honor.	Nei, en ég held ennþá tónleika honum til heiðurs.
Next one's in a couple of days. And you should totally come.	Næstu tónleikar eru innan tíðar og þú ættir að koma.
Maybe.	Kannski.
Here.	Hérna.
Take this.	Taktu þetta.
Think it over.	Hugsaðu málið.
Call me if you're interested.	Hringdu ef þú hefur áhuga.
Can I see it? Can I?	Má ég sjá það?
And I don't suppose your dad put you up to this, did he?	Þú fékkst pabba þinn til að gera þetta.
No way, Mom.	Nei.
Just wondering is all.	Ég var bara að hugsa um það.
I bet it's that watch he wanted, right?	Hann langaði örugglega í þetta úr.
Well, you tell your dad that he's just gonna have to wait.	Segðu pabba þínum að hann þurfi að bíða.
Besides, it's just a few days away.	Það eru bara nokkrir dagar þangað til.
Are you all right?	Er allt í lagi?
I'm okay, Mom.	Það er allt í lagi.
That man saved our lives.	Þessi maður bjargaði lífi okkar.
Thank you.	Allt í lagi.
That's all right.	Allt í lagi.
Julia Caine?	Julia Caine?
My name is Abraham...	Ég heiti Abe....
Abraham Dale.	Abraham Dale.
I always knew you 'd come.	Ég vissi að þú kæmir.
Please, come on in.	Komdu inn fyrir.
Excuse the mess.	Afsakaðu óreiðuna.
We're moving.	Við erum að flytja.
I am so sorry for what my husband did to your wife and son.	Ég harma það sem eiginmaður minn gerði.
Henry was the most down-to-earth, don't-question-things type of guy you could ever meet. So...	Henry var jarðbundnasti maður sem maður gat hugsað sér.
So, what happened then?	Hvað kom þá fyrir?
He... He had a near death experience.	Hann varð fyrir dauðareynslu.
He was hit by a drunk driver, head on.	ÖIvaður ökumaður keyrði á hann.
He must have died three or four times that night.	Hann dó þrisvar eða fjórum sinnum þá um nóttina.
They finally revived him for good in the early morning hours, and then we brought him home a week later.	Það tókst loks að lífga hann við og við fórum með hann heim viku síðar.
The strange behavior. The weird ideas about life, about death.	Þá hófst þetta allt, þessi undarlega hegðun, skrítnar hugmyndir um lífið og dauðann.
He just got so obsessed with the paranormal. EVP, the white light, precognition, all that kind of stuff.	Hann varð gagntekinn af rafraddfyrirbærinum, hvítu ljósi, forboðum, öllu þessu saman.
He even thought he could save people.	Hann hélt jafnvel að hann gæti bjargað fólki.
At first, I thought it was understandable.	Það var skiljanlegt í fyrstu.
I mean, this man almost died, but then it just got to be too much.	Hann lét næstum lífið en þá varð þetta yfirdrifið.
What do you mean by "too much"?	Hvað áttu við?
I'll show you.	Ég skaI sýna þér það.
Look, I am sorry again for what my husband did.	Ég harma það sem Henry gerði.
I can't believe how far gone he is.	Ég trúi ekki hvað hann er langt leiddur.
What are you talking about?	Hvað áttu við?
What do you mean?	Hvað meinarðu?
You said "is".	Þú sagðir er.
And?	Og hvað?
And don't you mean "was"? "How far gone he was "?	Áttu ekki hvað hann var langt leiddur?
You don't know?	Veistu það ekki?
Henry's still alive.	Henry er enn á lífi.
I saw him put a gun under his chin and pull the trigger.	Ég sá hann setja byssu undir hökuna og skjóta.
He survived.	Hann lifði það af.
He's over at Belmont County.	Hann er á Beaumont.
The asylum.	Hælinu?
We keep him up here.	Við höfum hann hérna, Henry Caine.
Henry Caine been with us a couple of months now since he slipped out of coma land.	Hann hefur verið hjá okkur síðan hann vaknaði úr dáinu.
Don't mind me.	Ekki fást um mig.
I'm just gonna stick around and make sure you boys play nice.	Ég sé tiI þess að þið verðið þægir.
My wife and my son...	Eiginkona mín og sonur.
Why did you do it?	Því gerðirðu það?
Why did you kill them?	Því banaðirðu þeim?
If saved, must kill.	Ef maður bjargar verður maður að drepa.
Jesus, you're even crazier than I thought you 'd be.	Þú ert bilaðri en ég hélt.
If saved, responsible.	Ef maður bjargar ber maður ábyrgð.
Responsible for what?	Á hverju?
Consequences.	Afleiðingunum.
Horrific consequences.	Hryllilegum afleiðingum.
What consequences?	Hvaða afleiðingum?
It will never end if you let him in.	Því linnir aldrei ef maður hleypir honum inn.
You cannot shut the dead out.	Maður getur ekki útilokað þá látnu.
The dead will haunt you until you put right what you've done.	Hinir látnu ásækja mann þar til maður leiðréttir misgjörðina.
If you save, you must kill.	Ef maður bjargar verður maður að drepa.
Tria mera.	Tria Mera.
Tria what?	Tria Mera.
Tria mera!	Tria hvað? Tria Mera!
If saved, must kill.	Drepa! Ef maður bjargar verður maður að drepa!
My son was killed!	Ef maður bjargar verður maður að drepa!
If saved, must kill!	Ef maður bjargar verður maður að drepa!
It's a three.	Merki djöfulsins Þetta er þrír.
What does a three have to do with the devil's signature?	Hvernig tengist þrír merki djöfulsins?
Hi, Abe. Hi.	Sæll, Abe.
So, I just finished the rehearsals for that recital thingy I was telling you about the other day.	Ég Iauk við æfinguna fyrir tónleikana sem ég sagði þér frá og átti leið hjá.
And, hi, I hope you don't mind that I stopped by.	Vonandi er þér sama að ég skyldi líta inn.
No, I don't mind.	Já.
When is the last time you drank a cheap bottle of wine?	Hvenær drakkstu síðast ódýrt vín?
That's very kind.	Mjög fallegt af þér.
You really don't have to do that.	Þú þarft ekki að gera þetta.
I know I don't have to.	Ég veit það.
I want to.	Ég viI það.
I'm married, but thank you.	Ég er kvæntur en þakka þér fyrir.
Abe, I read your file.	Ég Ias sjúkra - skýrsluna þína, Abe.
I know why you were in the ICU when we first met.	Ég veit af hverju þú varst á gjörgæslunni.
I know what happened to Rebecca and Danny.	Ég veit hvað kom fyrir Rebeccu og Danny.
You saved my life the other night.	Þú bjargaðir lífi mínu um kvöldið.
I 'd love to return the favor.	Ég viIdi gjarna launa greiðann.
No, I like the hair color. It's nice.	Nei, ég er hrifinn af háralitnum.
The purple was good, but...	Rauðfjólublátt var gott en...
But red goes with the wine.	En það passar við vínið. Já.
Right.	Þetta er gaman.
This is just great. it really is.	Þakka þér kærlega fyrir.
Thank you very much. To bad wine and good company.	Fyrir vondu víni og góðum félagsskap.
Oh, it's bad.	Það er vont.
You gotta get out and do stuff like this though.	Þú verður að fara út og gera svona lagað.
It's the only way you'll make it through.	Einungis þannig hefurðu þetta af.
Danny and Rebecca were my everything.	Danny og Rebecca voru mér allt.
And Tommy was mine. But you can't just throw in the towel, Abe.	Og Tommy var mér allt en maður má ekki gefast upp, Abe.
Come on.	Komdu.
You got ripped off.	Þú varst snuðuð.
Eight ball, corner pocket. Okay.	Áttunda kúIa, hornvasann.
How about double or nothing?	Tvöfalt eða ekkert?
All right.	Allt í lagi.
Rack them up, big boy.	Raðaðu þeim upp, stóri strákur.
Sorry.	Fyrirgefðu.
No, it's okay.	Það er allt í lagi.
No, I shouldn't have done that.	Nei, ég átti ekki að gera þetta.
Yeah, Sherry, I gotta go.	Ég verð að fara.
Is it someone you know?	Er þetta einhver sem þú þekkir? Já.
Beverly Ann Cloy, a registered nurse for the past 27 years smothered 14 of her 22 patients this morning.	Beverly Ann Cloy, hjúkrunarfræðingur til 27 ára, kæfði 14 af 23 sjúklingum sínum í morgun.
She then clocked out...	Síðan stimplaði hún sig út.
There is still no explanation as to why Dickson lost control of the plane which resulted in nine deaths.	Dickson missti stjórn á flugvélinni og níu létu lífið, þar á meðal hann líka.
She could offer absolutely no reason when pressed, could offer no explanation as to why he murdered his family.	Hann gat ekki skýrt morðið á fjölskyldu sinni.
Always on the third day after Caine saved them.	Alltaf þriðja daginn, eftir að Caine bjargaði þeim.
Authorities are still confounded as to why the elderly man drove his van into the crowded bus stop, and we are told that there is no obvious ulterior motive.	Lögreglan veit ekki af hverju maður keyrði inn í skýlið. Okkur skilst að ekkert virðist hafa búið að baki.
On the third day, Christ shall rise again.	Kristur rís upp á þriðja degi.
But what about the devil?	Hvað um djöfulinn?
What about the devil?	Hvað um djöfulinn?
What does he do on the third day?	Hvað gerir hann á þriðja deginum?
What was on the third day?	Alltaf þriðja daginn.
But what about the devil?	En hvað um djöfulinn?
What about the devil? What does he do on the third day?	Hvað gerir djöfullinn á þriðja deginum?
Third day.	Þriðja daginn.
After Caine saved them.	Biblían, rituð á tíma Rómverja, sérstaklega fyrir þá sem skildu forngrísku.
The Bible written in Roman times predominately for ancient Greek-speaking audiences to understand them, and all Greek and ancient Greek letters have numerical counterparts. Tria mera.	Allir grískir og forngrískir stafir hafa tölusamsvörun. þriðji dagurinn forngrísk þýðing Tria mera þriðji dagurinn Tria Mera.
Tria... "Lucifer. "The Latin meaning'giver of light. '	Lúsifer Lúsifer, á latínu merkir það sá sem kemur með ljós.
"The archangel who fell from grace and was thrown out of heaven" for trying to usurp God's power for its own purposes."	Erkienglinum var varpað niður af himnum fyrir að reyna að hrifsa til sín mátt Guðs.
The one who once was named Lucifer in heaven,"is now known as the Devil" on Earth."	Er núna þekktur sem djöfullinn á jörðinni.
The third day is the Devil's signature.	Þriðji dagurinn er merki djöfulsins.
That kid I saved on the bridge... Today's the third day.	Krakkinn sem ég bjargaði á brúnni, þriðji dagurinn er í dag.
I brought him into the hospital the day I helped you.	Ég kom með hann daginn sem ég hjálpaði þér.
I just need to know where I can find him, where he works, anything.	Ég þarf að vita hvar hann er.
I really shouldn't be doing this, Abe.	Ég ætti ekki að gera þetta, Abe.
Sort of seems to be par for the course with us, Sherry.	Það virðist eðlilegt hjá okkur.
Yeah.	Já.
Okay, Kurt Green, Sir Alfred Hotel.	Kurt Green.
Sir Alfred, of course.	Sir Alfred Hotel.
Okay, thank you, Sherry.	Þakka þér fyrir.
Abe? Yeah? Are we okay?	Er allt í lagi hjá okkur?
I hope so.	Vonandi.
Abe, jeez. Yes, Marty, listen, you're not going to believe this, but I think I understand why Caine did it.	Ég heId að ég viti af hverju Caine gerði það, Marty.
He did it because he thought he had no other choice.	Hann hélt að hann ætti ekki annars úrkosti.
I don't know what he's going to do, but I do know this.	Ég veit ekki hvað hann gerir.
I'm not going to stand by and watch you do this to yourself. I can't.	Ég get ekki horft upp á þig gera þér þetta.
I won't. We got a business to run.	Við þurfum að reka fyrirtæki.
I can't do this by myself, man.	Ég get þetta ekki aleinn.
We got things to do.	Þar til þú...
Marty?	Marty?
Marty, say that again.	Segðu þetta aftur.
Must kill. Must kill.	Ég heyri ekki í þér.
Must kill.	Kurt.
I'm terribly sorry.	Mér þykir þetta afar leitt.
I sincerely apologize. Whoa, whoa, whoa, whoa. Get down.	Ég biðst inniIega afsökunar.
Don't shoot. He's got a gun!	Hann er með byssu!
Just put the gun down.	Leggðu byssuna frá þér.
Kurt! Go, go, go.	Hinum megin.
Now!	Núna!
Everyone keep calm.	Haldið ró ykkar.
This way please.	Farið rólega út.
Hold on. Kurt!	Bíddu, Kurt!
Kurt, what's wrong? Kurt?	Hvað er að, Kurt?
I want you to go downstairs right away.	Farðu strax upp.
Call 911.	Hringdu á Neyðarlínuna.
Okay. Why?	Hvers vegna?
I don't think you should have saved me.	Þú áttir ekki að bjarga mér.
I heard what happened at the hotel.	Ég frétti af því sem gerðist á hótelinu.
First you save that kid's life and...	Fyrst bjargaðirðu lífi drengsins og...
You must feel awful, Abe.	Þér hlýtur að líða skelfilega, Abe.
Sherry, I need to talk to you.	Ég þarf að taIa við þig, Sherry.
About what?	Um hvað?
Outside, I'll tell you outside.	Ég segi þér það úti.
You can tell me now.	Þú getur sagt mér það núna.
I can't explain it now, not in front of all these people.	Ég get ekki skýrt það í þessum mannfjölda.
Why not?	Af hverju ekki?
What is it, Abe?	Hvað er að, Abe?
You have to come with me.	Komdu með mér.
Abe, what are you doing?	Hvað ertu að gera?
Abe, you're hurting me.	Þú meiðir mig!
Sherry, I have to do this.	Ég verð að gera þetta!
Do what?	Gera hvað?
Sherry. I shouldn't have saved you.	Ég átti ekki að bjarga þér, Sherry.
Anywhere but here.	Alls staðar annars staðar en hérna.
Here's the menu, and I'll be right back to take your order.	Hér er matseðill. Ég tek pöntunina á eftir.
The old man who killed all those people, you saved him?	Þú bjargaðir gamla manninum sem drap allt þetta fólk.
And the kid from the hotel, you saved him, too?	Þú bjargaðir líka stráknum á hótelinu.
And then you saved me.	Og þú bjargaðir mér.
I'm so sorry, Sherry.	Mér þykir þetta afar leitt, Sherry.
Don't be.	Ekki vera leiður.
That man, he has a gun.	Maðurinn er með byssu.
Police!	Lögreglan!
Put the gun down.	Leggðu byssuna frá þér.
Listen to him, sir, no one wants to get hurt, right?	Hlustaðu á hann. Enginn vill meiðast.
Put it down! Please...	Leggðu hana frá þér.
Just make it stop.	Ég bið þig, stöðvaðu það.
You have to die.	Þú verður að deyja.
She's going into shock.	Hún fær lost.
Let's get her out of here.	Förum með hana.
Tommy.	Tommy?
You all right? Come here.	Er hann ómeiddur?
If saved, must kill. 99 English 2007 USA, Canada Drama,Fantasy,Horror 01:33:54,868 733 2016-07-17 1.0 English 1/1 776 7 0 0 0 5593 utf-8	ÍsIenskur texti: Hafsteinn Þór Hilmarsson 615 Icelandic 1.0 1/1 2016-08-31 01:33:37,101 USA, Canada 99 Drama,Fantasy,Horror 2007 English 0 730 0 4207 5 utf-8 0
They were pulling her out of the river when I got there more water than blood in her at that point.	Þeir drógu hana upp úr ánni þegar ég kom þangað.
Hey, OK?	Er allt í lagi?
Don't be seduced.	Ekki láta afvegaleiðast.
Avoid psychological speculation related to the killer's intent We may never know why he did what he did.	Forðist að setja fram tilgátur um ástæður morðanna. Kannski fáum við aldrei að vita ástæðuna.
He may never know.	Hann veit það kannski ekki sjálfur.
Treat the boundaries of the crime scene like a frame, and limit your analysis to what is presented within it.	Umgangist brotavettvanginn eins og innrammaða töflu. Takmarkið rannsóknina við við það sem er innan rammans.
Stick with it, don't rush things, and above all, in your initial encounter with the crime scene, trust your own eyes.	Ekki stressast upp. 0g hlustið fyrst og fremst á ykkar eigin augu.
Remember, all you really have is what the killer left behind His work is pathetic, if you will.	Allt sem þið hafið hérna er það sem morðinginn skildi eftir sig. Vinnan hans.
OK, we'll pick up there next week.	Allt í lagi, við höldum áfram héðan í næstu viku.
Brainerd called me.	Brainerd kallaði mig inn.
