BOOK I	FYRRI ÞÁTTUR
I fancied I recognized young Rupert Hentzaus ringing tones, and pictured him flushed with wine.	Ég þóttist geta þekkt þar rödd Rúperts Hentzau. Hún var svo hvell og ímyndaði ég mér að hann væri þrútinn af drykkju.
Recalling my thoughts to the business in hand, I rested a moment.	Ég stansaði á sundinu til að átta mig á því, sem ég átti fyrir höndum að gera.
If Johanns description were right, I must be near the window now.	Ef frásaga Jóhanns var rétt, þá hlaut ég nú að eiga skammt eftir til gluggans.
Very slowly I moved;	Ég hélt svo áfram og fór mjög varlega.
and out of the darkness ahead loomed a shape.	Í myrkrinu grillti ég í eitthvað fram undan mér.
It was the pipe, curving from the window to the water:	Það var pípan, sem lá í sveig út úr glugganum og ofan að vatninu.
about four feet of its surface were displayed;	Ég sá hér um bil tvö fet af henni;
it was as big round as two men.	hún var vel víð, á við tvo menn á gildleik.
I was about to approach it, when I saw something else, and my heart stood still.	Ég var rétt kominn að því að synda að henni þegar ég varð nokkurs annars var, er mér varð í meira lagi hverft við.
The nose of a boat protruded beyond the pipe on the other side;	Ég sá á hnífil á bát koma upp hinum megin við pípuna;
and listening intently, I heard a slight shuffle-as of a man shifting his position.	ég hlustaði og heyrði eins og maður hefði fært sig til í bátnum.
Who was the man who guarded Michaels invention?	Hvaða maður var það, sem gætti uppgötvunar Michaels?
Was he awake or was he asleep?	Var hann vakandi eða sofandi?
I felt if my knife were ready, and trod water;	Ég þreifaði eftir hnífnum hvort hann væri tiltækur, og tróð marvaðann.
as I did so, I found bottom under my feet.	Þá varð ég þess var að ég náði niðri.
The foundations of the Castle extended some fifteen inches, making a ledge; and I stood on it, out of water from my armpits upwards.	Undirstaðan undir kastalanum náði eitthvað fimmtán þumlunga út fyrir veggina og ég stóð á þeirri brún og tók vatnið mér þá undir hendur.
Then I crouched and peered through the darkness under the pipe, where, curving, it left a space.	Þaðan starði ég fast í myrkrinu í gegn um opið, sem var milli pípubugðunnar og vatnsyfirborðsins.
There was a man in the boat.	Maður var í bátnum.
A rifle lay by him-I saw the gleam of the barrel.	Hjá honum lá riffill. Ég sá blika á hlaupið.
Here was the sentinel!	Þetta var varðmaðurinn!
He sat very still.	Hann sat mjög rólegur.
I listened; he breathed heavily, regularly, monotonously.	Ég hlustaði. Hann dró mjög þungt andann, reglulega og einhljóma.
By heaven, he slept!	Það var enginn vafi á, að hann var sofandi.
Kneeling on the shelf, I drew forward under the pipe till my face was within two feet of his.	Ég mjakaði mér áfram eftir undirstöðubrúninni undir pípuna þangað til andlitið á mér var ekki meira en tvö fet frá andlitinu á honum.
He was a big man, I saw.	Ég sá að það var risavaxinn maður.
It was Max Holf, the brother of Johann.	Það var Max Holf bróðir Jóhanns.
My hand stole to my belt, and I drew out my knife.	Ég laumaðist með höndina ofan að beltinu og dró hnífinn úr skeiðum.
Of all the deeds of my life, I love the least to think of this, and whether it were the act of a man or a traitor I will not ask.	Mér er ekki eins lítið gefið um að hugsa til neins verks sem ég hefi unnið á ævinni, eins og þessa, og úr því get ég ekki skorið, hvort það var fremur karlmennskuverk eða sviksemdar.
I said to myself:	Ég sagði við sjálfan mig:
“It is war-and the Kings life is the stake.”	"Líf konungsins er í veði, og hér er verið að berjast um það."
And I raised myself from beneath the pipe and stood up by the boat, which lay moored by the ledge.	Ég reis upp undan pípunni og hélt mér við bátinn, er lá þarna við stjóra.
Holding my breath, I marked the spot and raised my arm.	Ég hélt niðri í mér andanum, lyfti upp handleggnum og miðaði hnífnum.
The great fellow stirred.	Risavaxni maðurinn hreyfði sig.
He opened his eyes-wide, wider.	Hann opnaði augun, og glennti þau upp afskaplega.
He grasped in terror at my face and clutched at his rifle.	Hann starði á mig dauðhræddur og greip til riffils síns.
I struck home.	Ég rak hann í gegn.
And I heard the chorus of a love-song from the opposite bank.	En frá bakkanum andspænis heyrðist kveða við margraddaður ástarsöngur.
Leaving him where he lay, a huddled mass, I turned to “Jacobs Ladder.”	Ég skildi við hann þar sem hann lá eins og óásjáleg hrúga og sneri að "stiga Jakobs".
My time was short.	Ég hafði nauman tíma.
This fellows turn of watching might be over directly, and relief would come.	Verið gat, að varðtími manns þessa væri á enda runninn og annar kæmi til að taka við af honum.
Leaning over the pipe, I examined it, from the end near the water to the topmost extremity where it passed, or seemed to pass, through the masonry of the wall.	Ég hallaði mér að pípunni og athugaði hana nákvæmlega alt frá vatnsyfirborði upp að efri enda er virtist liggja inn í steinvegginn.
And my breath went quick and fast, for on this lower side, where the pipe should have clung close to the masonry, there was a gleam of light!	Ég fór á kné og athugaði neðri hliðina. Þá gat ég ekki varist þess að draga títt andann, því neðan vert við pípuna, þar sem hún lá inn í vegginn, sá ég ofurlitla ljósglætu!
That light must come from the cell of the King!	Það ljós hlaut að koma frá fangaklefa konungsins!
Then I heard a voice-a harsh, grating voice:	Þá heyrði ég að sagt var með hörkulegri og hvellri röddu:
“Well, sire, if you have had enough of my society, I will leave you to repose; but I must fasten the little ornaments first.”	"Jæja, herra konungur, ef þér hafið fengið nóg af samverunni við mig í bráðina, þá ætla ég að lofa yður að fara að hvíla yður, en fyrst verð ég að tylla þessu litla djásni."
It was Detchard!	Þetta var Detchard!
I caught the English accent in a moment.	Ég heyrði það strax á enskukeimnum á áherslunum.
“Have you anything to ask, sire, before we part?”	"Langar yður til að biðja nokkurs, herra konungur, áður við skiljum?"
The Kings voice followed.	Næst heyrði ég að konungurinn talaði.
It was his, though it was faint and hollow-different from the merry tones I had heard in the glades of the forest.	Ég þekti rödd hans, þó hún væri veik og hljómlítil – öldungis óáþekk hvellu kátínu-hrópunum, sem ég hafði heyrt til hans í skógarrjóðrunum.
“Pray my brother,” said the King, “to kill me.	"Biðjið bróður minn," sagði konungurinn, "að drepa mig.
I am dying by inches here.”	Ég dregst hér upp til dauða."
The King answered:	Konungur svaraði:
“May you dream of paradise!” said the ruffian.	"Ég vona að yður dreymi um paradís!" sagði þorparinn.
The light disappeared.	Svo hvarf ljósið.
I heard the bolts of the door run home. And then I heard the sobs of the King.	Ég heyrði að dyrunum var lokað og rétt á eftir að konungurinn var að gráta.
He was alone, as he thought.	Hann vissi ekki betur en hann væri einn.
Who dares mock at him?	Hver dirfist að draga dár að honum fyrir þetta?
I did not venture to speak to him.	Ég reyndi ekki að tala til hans.
The risk of some exclamation escaping him in surprise was too great. I dared do nothing that night;	Ég þorði ekki að eiga það á hættu, að hann kynni að reka upp óp af undrun.
and my task now was to get myself away in safety, and to carry off the carcass of the dead man.	Þá nótt var einskis frekar að freista, og nú var ekkert annað fyrir mig að gera, en að komast til baka aftur óskaddur, og koma undan líkinu af dauða manninum.
To leave him there would tell too much.	Ekki dugði að skilja það eftir þar sem það var.
Casting loose the boat, I got in.	Ég leysti bátinn og steig upp í hann.
The wind was blowing a gale now, and there was little danger of oars being heard.	Veðrið var orðið ofsahvasst, og lítil hætta á því að áratök heyrðust.
I rowed swiftly round to where my friends waited. I had just reached the spot, when a loud whistle sounded over the moat behind me.	Ég reri því skyndilega yfir þangað, sem vinir mínir biðu mín. Ég var rétt kominn þangað, þegar ég heyrði blístrað lágt á eftir mér.
“Hullo, Max!” I heard shouted.	"Halló, Max!" heyrði ég svo kallað.
I hailed Sapt in a low tone. The rope came down.	Ég kallaði til Sapts í lágum hljóðum.
I tied it round the corpse, and then went up it myself.	Kaðlinum var fleygt niður og ég batt honum utan um líkið og fór svo upp eftir honum sjálfur.
“Whistle you too,” I whispered, “for our men, and haul in the line.	"Gefðu félögum okkar merki að koma," hvíslaði ég," og dragðu upp kaðalinn.
No talk now.”	Engin orð nú."
They hauled up the body.	Þeir drógu upp líkið.
Just as it reached the road, three men on horseback swept round from the front of the Castle.	Rétt þegar búið var að því komu þrír menn ríðandi frá framhlið kastalans.
We saw them; but, being on foot ourselves, we escaped their notice.	Við sáum þá, en af því að við vorum gangandi, urðu þeir ekki varir við okkur.
But we heard our men coming up with a shout.	En við heyrðum að félagar okkar komu og fóru mikinn.
“The devil, but its dark!” cried a ringing voice.	"Þetta er mikið bölvað niðamyrkur!" heyrðist hrópað hvellt mjög.
It was young Rupert.	Það var Rúpert ungi.
A moment later, shots rang out.	Á næsta augnabliki heyrðist skot gella við.
Our people had met them.	Félagar okkar höfðu hitt þá.
I started forward at a run, Sapt and Fritz following me.	Ég rauk á stað til mótsins og Sapt og Fritz á eftir mér.
“Thrust, thrust!” cried Rupert again, and a loud groan following told that he himself was not behind-hand.	"Höggvið, höggvið!" hrópaði Rúpert ungi, og óp er á eftir fylgdi bar vott um að hann væri enginn eftirbátur hinna í því.
“Im done, Rupert!” cried a voice.	"Það er úti um mig, Rúpert," sagði einhver.
“Theyre three to one.	"Þeir eru þrír um einn.
Save yourself!”	Bjargaðu sjálfum þér!"
I ran on, holding my cudgel in my hand.	Ég hélt áfram að hlaupa með stafinn í hendinni.
Suddenly a horse came towards me.	Þá sá ég alt í einu hest koma á móti mér.
A man was on it, leaning over his shoulder.	Maður sat á honum og beygði sig fram á makkann.
“Are you cooked too, Krafstein?” he cried.	"Eru þeir búnir að drepa þig líka, kafteinn?" hrópaði hann.
There was no answer.	Ekkert svar.
I sprang to the horses head.	Ég stökk framan að hestinum.
It was Rupert Hentzau.	Það var Rúpert Hentzau.
“At last!” I cried.	"Loksins!" hrópaði ég.
For we seemed to have him.	Því að svo sýndist, sem við hefðum ráð hans í hendi okkar.
He had only his sword in his hand. My men were hot upon him;	Förunautar mínir voru rétt á hælunum á honum.
Sapt and Fritz were running up.	Sapt og Fritz komu hlaupandi á eftir mér.
I had outstripped them; but if they got close enough to fire, he must die or surrender.	Ég var kominn spottakorn á undan þeim, en ef þeir kæmust nógu nærri honum, þá varð hann að gefast upp eða láta lífið.
“At last!” I cried.	"Loksins!" hrópaði ég aftur.
“Its the play-actor!” cried he, slashing at my cudgel.	"Það er leikarinn!" hrópaði hann og hjó til mín. Höggið kom á staf minn og sverðið sneið hann sundur.
He cut it clean in two; and, judging discretion better than death, I ducked my head and (I blush to tell it) scampered for my life.	Og með því að flestir kjósa firðar líf fremur en dauða, þá veik ég mér undan högginu og (ég skammast mín ekkert fyrir það) flýði sem fætur toguðu.
The devil was in Rupert Hentzau;	Það var eins og djöfullinn hefði farið í Rúpert Hentzau.
for he put spurs to his horse, and I, turning to look, saw him ride, full gallop, to the edge of the moat and leap in, while the shots of our party fell thick round him like hail.	Hann rak sporana í síðurnar á hesti sínum, og þegar ég sneri mér við til að sjá hvað af honum yrði, sá ég hann hleypa á harða spretti beint á sýkið og út í það, en skotin frá félögum okkar dundu haglþétt umhverfis hann um leið.
With one gleam of moonlight we should have riddled him with balls; but, in the darkness, he won to the corner of the Castle, and vanished from our sight.	Ef ofurlítil tunglskinsglæta hefði verið, mundum við hafa getað sáldskotið hann, en vegna myrkursins tókst honum að komast fyrir hornið á kastalanum og þar hvarf hann.
“The deuce take him!” grinned Sapt.	"Djöfullinn hafi hann!" tautaði Sapt.
“Its a pity,” said I, “that hes a villain.	"Því fer miður," sagði ég, "að hann skuli vera illmenni.
Whom have we got?”	Hverjum höfum við náð?"
We had Lauengram and Krafstein:	Það voru þeir Lauengram og Krafstein.
they lay dead; and, concealment being no longer possible, we flung them, with Max, into the moat; and, drawing together in a compact body, rode off down the hill.	Þeir lágu þar dauðir og stirðnaðir. Og vegna þess að nú var engin þörf framar á neinni launung, fleygðum við þeim og Max í sýkið og riðum síðan í einum hópi niður hæðina.
And, in our midst, went the bodies of three gallant gentlemen.	En mitt í hópnum fluttum við fjögur lík. Lík fjögra hraustra drengja.
Thus we travelled home, heavy at heart for the death of our friends, sore uneasy concerning the King, and cut to the quick that young Rupert had played yet another winning hand with us.	Þannig héldum við heimleiðis í þungu skapi yfir dauða vina okkar, órólegir konungsins vegna, og sárir yfir því að Rúpert ungi hafði enn á ný fremur borið hærra hlut en hitt í viðskiptunum.
For my own part, I was vexed and angry that I had killed no man in open fight, but only stabbed a knave in his sleep.	Ég var hryggur og reiður með sjálfum mér yfir því að ég hafði engan mann drepið í heiðarlegum bardaga, en að eins vegið einn riddara sofandi.
And I did not love to hear Rupert call me a play-actor.	Og það bætti ekki skap mitt að heyra það, að Rúpert skyldi kalla mig leikara. XV.
CHAPTER 15	KAPITULI.
I Talk with a Tempter Ruritania is not England, or the quarrel between Duke Michael and myself could not have gone on, with the extraordinary incidents which marked it, without more public notice being directed to it.	Það er sitt hvað að vera í Rúritaníu eða á Englandi. Annars hefði deilan milli Michaels hertoga og mín ekki getað staðið svona, jafnviðburðarík og hún var, án þess að almenningur hefði orðið var við hana.
Duels were frequent among all the upper classes, and private quarrels between great men kept the old habit of spreading to their friends and dependents.	Einvíg voru tíð þar meðal æðri stéttar manna, og einkamáladeilur milli stórmennanna héldu við þessari fornu tísku meðal vina Þeirra og undirmanna.
Nevertheless, after the affray which I have just related, such reports began to circulate that I felt it necessary to be on my guard.	Samt sem áður fóru kviksögur að berast, eftir að atburðirnir síðasttöldu gerðust, þess eðlis að ég hugði nauðsyn til bera að taka í taumana.
The death of the gentlemen involved could not be hidden from their relatives.	Það var ómögulegt að dylja dauða vina okkar fyrir námennum þeirra.
I sent a public and stately apology to Michael, and he returned a deferential and courteous reply to me;	Ég sendi Michael opinberlega laglega afsökun, og hann svaraði mér aftur hlýlega og kurteislega;
the King might die in his prison, or even be spirited off somewhere else; it could not be helped.	Konungurinn kunni að deyja fangelsinu, eða verða tekinn af lífi einhvern veginn, meðan á þessu stóð og ég gat ekki komið í veg fyrir það.
For a little while I was compelled to observe a truce, and my only consolation was that Flavia most warmly approved of my edict against duelling, and, when I expressed delight at having won her favour, prayed me, if her favour were any motive to me, to prohibit the practice altogether.	Ég varð að gera vopnahlé um stund og eina huggun mín var það að Flavía lýsti gleði sinni yfir því við mig, að ég skyldi hafa gefið út skipun um takmörkun einvíga, og þegar ég sagði, að velvild hennar gleddi mig, bað hún mig, ef ég metti velvild hennar að nokkru, að sjá um að engum yrði leyft að heyja einvígi framar í landinu.
“Wait till we are married,” said I, smiling.	"Við sjáum nú til þegar við erum gift," sagði ég brosandi.
He stopped his horses, got out, and approached me, bowing low.	Hann stöðvaði hestana, steig út úr vagninum, gekk á móti mér og hneigði sig virðulega.
I recognized the Head of the Strelsau Police.	Ég þekti að þetta var lögreglustjórinn í Streslau.
“Your Majestys ordinance as to duelling is receiving our best attention,” he assured me.	"Við erum að líta svo vel eftir því sem við getum, að skipunum yðar viðvíkjandi einvígunum verði hlýtt," sagði hann við mig."
If the best attention involved his presence in Zenda, I determined at once to dispense with it.	Ef hann var kominn til Zenda í þeim erindum, þá ætlaði ég að losna við hann aftur sem fyrst.
“Why no, sire; I am here because I desired to oblige the British Ambassador.”	Nei, ég er kominn hingað eftir tilmælum breska sendiherrans."
“Whats the British Ambassador doing dans cette galere?” said I, carelessly.	"Í hverju er breski sendiherrann að vasast hér?" sagði ég kæruleysislega.
“A young countryman of his, sire-a man of some position-is missing.	"Ungur samlandi hans, herra konungur – maður í allmiklum metum – hefir horfið.
His friends have not heard from him for two months, and there is reason to believe that he was last seen in Zenda.”	Vinir hans hafa ekkert til hans spurt í tvo mánuði, og ástæða er til að halda, að hann hafi sést síðast í Zenda."
Flavia was paying little attention.	Flavía gaf þessu lítinn gaum.
I dared not look at Sapt.	Ég þorði ekki að líta framan í Sapt.
“What reason?”	"Og hver er ástæðan ?
“A friend of his in Paris-a certain M. Featherly-has given us information which makes it possible that he came here, and the officials of the railway recollect his name on some luggage.”	"Einn vinur hans í París, Featherley að nafni, hefir skýrt oss frá að hann hafi komið hingað, og járnbrautarþjónar hafa fundið nafn hans á farmgóssi hér."
“What was his name?”	"Hvað hét hann?"
“Rassendyll, sire,” he answered; and I saw that the name meant nothing to him.	"Rassendyll, herra konungur," svaraði hann, og ég sá að hann mat nafnið að engu.
But, glancing at Flavia, he lowered his voice, as he went on:	En svo leit hann til Flavíu, lækkaði röddina og sagði:
“It is thought that he may have followed a lady here.	"Menn halda að hann hafi veitt frú einni eftirför hingað.
Has your Majesty heard of a certain Madame de Mauban?”	Hefir Yðar Hátign heyrt nefnda konu, sem kölluð er Antoinette de Mauban?"
“Why, yes,” said I, my eye involuntarily travelling towards the Castle.	"Já," svaraði ég og leit eins og ósjálfrátt í áttina til kastalans.
“She arrived in Ruritania about the same time as this Rassendyll.”	"Hún kom þá um sama leyti til Rúritaníu eins og þessi Rassendyll."
I caught the Prefects glance; he was regarding me with enquiry writ large on his face.	Lögreglustjórinn leit hvasst til mín, og langaði sjáanlega til að ræða þetta meira.
“Sapt,” said I, “I must speak a word to the Prefect.	"Heyrið þér, Sapt," sagði ég. "Ég má til að tala fáein orð við lögreglustjórann.
Will you ride on a few paces with the princess?”	Viljið þér gera svo vel og ríða fáein skref á undan með prinsessunni?"
And I added to the Prefect:	Svo sneri ég mér að lögreglustjóranum og sagði:
“Come, sir, what do you mean?”	"Jæja, herra minn, hvað meira hafið þér um þetta að segja?"
He drew close to me, and I bent in the saddle.	Hann laut að mér og sagði:
“If he were in love with the lady?” he whispered. “Nothing has been heard of him for two months;” and this time it was the eye of the Prefect which travelled towards the Castle.	"En þó hann hefði nú verið ástfanginn af konu þessari," hvíslaði hann, "þá er það undarlegt, að ekkert hefir til hans spurst í heila tvo mánuði," og nú leit lögreglustjórinn í áttina til kastalans.
“Yes, the lady is there,” I said quietly.	"Ja, konan er þar," sagði ég rólega.
“But I dont suppose Mr. Rassendyll-is that the name?-is.”	"En ég vonast ekki til að Mr.
“Youre right there,” said I, with all sincerity.	"Það játa ég satt vera," svaraði ég alvarlega.
“But surely you hint at a very grave charge?”	"En þetta er býsna hörð ákæra, sem þér gefið í skyn."
He spread his hands out in apology.	Hann baðaði út höndunum svo sem til afsökunar.
I whispered in his ear:	Ég hvíslaði þá að honum:
“This is a grave matter.	"Þetta er alvarlegt málefni.
Go back to Strelsau-”	Þér skuluð fara aftur til Streslau –"
“But, sire, if I have a clue here?”	"En ef ég skyldi ná í sönnunaratriði, herra konungur.
“Go back to Strelsau,” I repeated.	"Þér skuluð fara aftur til Streslau," endurtók ég.
“Tell the Ambassador that you have a clue, but that you must be left alone for a week or two.	en að þér verðið að fá að sýsla um þetta mál í næði svo sem hálfan mánuð.
Meanwhile, Ill charge myself with looking into the matter.”	En sjálfur skal ég taka það alvarlega til athugunar nú strax."
“The Ambassador is very pressing, sir.”	"En sendiherrann leggur mjög fast að mér um þetta herra konungur."
“You must quiet him.	"Þér verðið að sefa hann.
Come, sir; you see that if your suspicions are correct, it is an affair in which we must move with caution.	Þér sjáið sjálfur, að ef grunur yðar er á rökum byggður, þá verður að fara mjög varlega að í þessu máli.
We can have no scandal.	Vér verðum að forðast að gera hneyksli úr þessu.
Mind you return tonight.”	Munið það að snúa heim aftur í kveld."
He promised to obey me, and I rode on to rejoin my companions, a little easier in my mind.	Hann lofaði því, og ég reið nú á stað til að ná förunautum mínum, og var orðið heldur rórra innanbrjósts.
His impression might be useful some day, but if he acted on it now it might mean the worse to the King.	en ef hann fengi nú að fást nokkuð við leitina, þá gat það orðið konunginum til tjóns eins.
Heartily did I curse George Featherly for not holding his tongue.	Ég bölvaði George Featherley sárt fyrir að geta ekki haldið sér saman.
“Well,” asked Flavia, “have you finished your business?”	"Jæja," sagði Flavía, "hefirðu lokið af erindi þínu við manninn"?
“Most satisfactorily,” said I.	"Já, fullkomlega," svaraði ég.
“Come, shall we turn round?	"Eigum við að snúa aftur?
We cast our eyes up, admiring the massive beauty of the old walls, and we saw a cortege winding slowly down the hill.	Við litum upp til kastalans, og virtum fyrir okkur veggina á honum rammbyggilega og fagra.
“Let us go back,” said Sapt.	"Við skulum snúa aftur," sagði Sapt.
“I should like to stay,” said Flavia; and I reined my horse beside hers.	"Ég vildi gjarnan dvelja hér ofurlítið lengur," sagði Flavía; og ég stöðvaði hest minn við hliðina hesti hennar.
We could distinguish the approaching party now.	Við gátum nú gerla séð flokkinn.
There came first two mounted servants in black uniforms, relieved only by a silver badge.	Þar voru tveir þjónar ríðandi í svörtum einkennisbúningi með silfurmerkjum.
These were followed by a car drawn by four horses:	Á eftir þeim kom vagn, er fjórir hestar gengu fyrir.
on it, under a heavy pall, lay a coffin;	Á honum stóð líkkista, hjúpuð þykkum svörtum dúkum.
behind it rode a man in plain black clothes, carrying his hat in his hand.	Á eftir kistunni reið dökkklæddur maður og hélt hann á hatti sínum í hendinni.
Sapt uncovered, and we stood waiting, Flavia keeping by me and laying her hand on my arm.	Sapt tók ofan, og við stóðum þarna og biðum. Flavía stóð fast hjá mér og hélt í handlegginn á mér.
“It is one of the gentlemen killed in the quarrel, I expect,” she said.	"Þetta er líklega einn þeirra, sem féll í bardaganum," sagði hún.
I beckoned to a groom.	Ég vék mér að hestasveini og sagði:
“Ride and ask whom they escort,” I ordered.	"Ríddu til þeirra og spurðu hvern þeir séu að flytja."
He rode up to the servants, and I saw him pass on to the gentleman who rode behind.	Hann reið til þjónanna og svo fram hjá þeim til móts við manninn, sem á eftir reið.
“Its Rupert of Hentzau,” whispered Sapt.	"Það er Rúpert Hentzau," sagði Sapt í lágum hljóðum.
Rupert it was, and directly afterwards, waving to the procession to stand still, Rupert trotted up to me.	Það var líka Rúpert, og hann gaf föruneyti sínu merki um að nema staðar og svo reið hann til mín á brokki.
He was in a frock-coat, tightly buttoned, and trousers.	Hann var í frakka þétt hnepptum og viðeigandi buxum.
He wore an aspect of sadness, and he bowed with profound respect.	Hann var alvarlegur á svip og hneigði sig mjög virðulega.
Yet suddenly he smiled, and I smiled too, for old Sapts hand lay in his left breast-pocket, and Rupert and I both guessed what lay in the hand inside the pocket.	En litlu síðar fór hann að brosa, og ég brosti líka, af því að Sapt gamli hafði höndina í vinstri brjóstvasanum, og við Rúpert báðir fórum nærri um það, á hverju hann héldi niðri í vasanum.
“Your Majesty asks whom we escort,” said Rupert.	"Yðar Hátign hefir spurt um hvern við værum að flytja," sagði Rúpert.
“It is my dear friend, Albert of Lauengram.”	"Það er vildarvinur minn, Lauengram."
“Sir,” said I, “no one regrets the unfortunate affair more than I. My ordinance, which I mean to have obeyed, is witness to it.”	"Herra minn," tók ég til orða, "engum veldur þessi hryggilegi atburður meiri sorgar en mér. Skipun sú, er ég hefi látið út ganga, ber vitni um það.
“Poor fellow!” said Flavia softly, and I saw Ruperts eyes flash at her.	Ég vona að henni verði hlýtt." "Aumingja maðurinn!" sagði Flavía blíðlega.
Whereat I grew red; for, if I had my way, Rupert Hentzau should not have defiled her by so much as a glance.	Ef ég mætti ráða, hafði ég ekki ætlað að láta Rúpert Hentzau líðast að horfa þannig á hana.
Yet he did it and dared to let admiration be seen in his look.	En þó hafði hann nú gert það, og hann kynokaði sér jafnvel ekki við að láta aðdáun sína í ljósi.
“Your Majestys words are gracious,” he said.	"Yðar Hátign farast vel orð," sagði hann.
“I grieve for my friend.	"Ég syrgi vin minn.
“It is true,” said I.	"Það er satt," sagði ég.
“He hopes soon to leave for Strelsau, when his health is secured.”	"Hann býst við að fara til Streslau, þegar hann er orðinn frískur."
“Your Royal Highnesss wish is, humbly, my own,” said Rupert, with a bold glance that brought a blush to Flavias cheek.	"Ósk mín er allra undirgefnast hin sama, sem yðar konunglegu tignar," sagði Rúpert og leit svo glannalega til prinsessunnar að hún kafroðnaði.
I bowed; and Rupert, bowing lower, backed his horse and signed to his party to proceed.	Ég hneigði mig, og Rúpert hneigði sig enn meir, lét hest sinn ganga aftur á bak og gaf föruneyti sínu merki um að halda áfram.
With a sudden impulse, I rode after him.	En þá datt mér nokkuð í hug svo að ég reið á eftir honum.
He turned swiftly, fearing that, even in the presence of the dead and before a ladys eyes, I meant him mischief.	Hann sneri hesti sínum hvatlega við, því að hann óttaðist að ég ætlaði að vega að sér, þarna rétt hjá líkinu og að prinsessunni áhorfandi.
“You fought as a brave man the other night,” I said.	"Þér börðust hraustlega hérna um kveldið," sagði ég.
“Come, you are young, sir.	Þér eruð ungur maður á besta aldri.
If you will deliver your prisoner alive to me, you shall come to no hurt.”	Ef þér viljið selja mér fangann í hendur lifandi, þá skal yður ekkert mein verða gert."
He looked at me with a mocking smile;	Hann starði á mig og brosti háðslega;
but suddenly he rode nearer to me.	og svo færði hann sig nær mér.
“Im unarmed,” he said; “and our old Sapt there could pick me off in a minute.”	"Ég er óvopnaður," sagði hann, "og gamli Sapt þarna gæti fellt mig á einu augabragði."
“Im not afraid,” said I.	"Óhræddur er ég."
“No, curse you!” he answered.	"Já, þér eruð bölvaður gapi!" svaraði hann.
“Look here, I made you a proposal from the duke once.”	"En hlustið þér nú á! Ég flutti yður einu sinni boð frá hertoganum."
“Ill hear nothing from Black Michael,” said I.	"Ég vil ekki hlusta á nein boð Michaels svarta," sagði ég.
“Then hear one from me.”	"Þá skuluð þér heyra, hvað ég hefi að bjóða."
He lowered his voice to a whisper.	Hann lækkaði röddina og hvíslaði:
“Attack the Castle boldly.	"Gerið snarpt áhlaup á kastalann.
Let Sapt and Tarlenheim lead.”	Látið Sapt og Tarlenheim vera í fylkingarbroddi."
“Go on,” said I.	"Haldið áfram með tillöguna," sagði ég.
Sapt there and Fritz will fall;	Sapt og Fritz munu falla.
Black Michael will fall-”	Michael svarti fellur líka og –"
“What!”	"Hvað þá?"
“-Black Michael will fall, like the dog he is; the prisoner, as you call him, will go by ‘Jacobs Ladder-ah, you know that!-to hell!	"Michael svarti fellur; fær hundsdauða, eins og honum sæmir, fanginn, sem þér nefnduð, fer niður stigann hans Jakobs – hvað þá, vissuð þér um hann. Fjandinn hafi yður!
Two men will be left-I, Rupert Hentzau, and you, the King of Ruritania.”	Tveir menn standa ófallnir –, ég, Rúpert Hentzau og þér, Rúritaníukonungurinn."
He paused, and then, in a voice that quivered with eagerness, added:	Hann þagnaði í bili og svo bætti hann við, og skalf í honum röddin af ákefð:
“Well, think it over,” he said.	"Jæja, ég held samt að þér ættuð að hugsa um þetta," sagði hann.
“And, look you, it would take more than a scruple or two to keep me from yonder girl,” and his evil eye flashed again at her I loved.	"En það segi ég yður satt, að það er meir en meðal sjálfsafneitun fyrir mig, að mega ekki sýna stúlkunni þarna ást mína."
“Get out of my reach!” said I; and yet in a moment I began to laugh for the very audacity of it.	En svo fór ég að hlæja að því, hve óviðjafnanleg ofdirfska kom fram í þessari tillögu.
“Would you turn against your master?” I asked.	"Ætlið þér kannske að snúast á móti húsbónda yðar?" spurði ég.
He swore at Michael for being what the offspring of a legal, though morganatic, union should not be called, and said to me in an almost confidential and apparently friendly tone:	Hann bannsöng Michael fyrir að vera óskilgetið úrþvætti, og sagði svo við mig eins og í trúnaði:
“He gets in my way, you know.	"Hann er fyrir mér, skal ég segja yður.
Hes a jealous brute!	Hann Hann er afbrýðissamur álfur!
Faith, I nearly stuck a knife into him last night;	Það var rétt að því komið, að ég legði hann í gegn í gærkveld.
he came most cursedly mal a propos!”	Hann kom mér svo óþægilega á óvart."
“A lady?” I asked negligently.	"Voruð þér með kvenmanni?" spurði ég, eins og ég vissi ekkert.
“Ay, and a beauty,” he nodded.	"Já, og það fallegum kvenmanni," sagði hann og kinkaði kolli.
“But youve seen her.”	"En þér hafið séð hana."
“Ah! was it at a tea-party, when some of your friends got on the wrong side of the table?”	"Var það hún, sem ég hitti við teborðið kveldið góða, þegar vinir yðar lentu undir borðið?"
“What can you expect of fools like Detchard and De Gautet?	"Það var rétt eftir öðrum eins bjálfum og þeir eru, Detchard og De Gautet.
I wish Id been there.”	Ég hefði betur verið þar."
“And the duke interferes?”	"Og hertoganum er ekki um það gefið, að þér séuð að leggja yður eftir þessari konu?"
“Well,” said Rupert meditatively, “thats hardly a fair way of putting it, perhaps.	"Já," sagði Rúpert með dræmingi, – "það er kannske ekki rétt að hafa þau orð.
“And she prefers the duke?”	"En hún tekur hertogann fram yfir yður?"
