We both know it.	Við vitum það bæði.
And our rights are being threatened by a tyrant 3000 miles away.	Og rétti okkar ógnar harðstjóri í 3000 mílna fjarlægð.
Would you tell me, please, Mr. Howard why should I trade one tyrant 3000 miles away for 3000 tyrants one mile away?	Viltu segja mér, hr. Howard, af hverju ég ætti að skipta á einum harðstjóra í 3000 mílna fjarlægð og 3000 harðstjórum í mílufjarlægð.
An elected legislature can trample a man's rights as easily as a king can.	Kjörið löggjafarþing getur jafnauð - veldlega níðst á manni og kóngur.
Captain Martin I understood you to be a patriot.	Martin höfuðsmaður, mér skildist að þú værir ættjarðarvinur.
If you mean by ' patriot, ' am I angry about taxation without representation? Well, yes, I am.	Þýði ættjarðarvinur að ég reiðist skattlagningu án umboðs, þá er ég það.
Should the American colonies govern themselves independently?	Ættu amerísku nýlendurnar allar að hafa sjálfstæða stjórn?
I believe they can.	Ég held þær geti það.
And they should.	Þær ættu að gera það.
But if you're asking me am I willing to go to war with England then the answer is most definitely no.	En ef ég á að svara hvort ég vilji heyja stríð gegn Englandi þá neita ég því eindregið.
This from the same Captain Benjamin Martin whose fury was so famous during the Wilderness campaign?	Er þetta sami Benjamin Martin höfuðs - maður sem var frægur fyrir heift sína í óbyggðabaráttunni?
I was intemperate in my youth.	Ég var vanstilltur á yngri árum.
Temperance can be a disguise for fear.	Vanstilling getur verið ótti í dulargervi.
Mr. Middleton, I fought with Captain Martin under Washington in the French and Indian War.	Hr. Middleton, ég barðist með Martin höfuðsmanni undir stjórn Washingtons í nýlendustríðinu.
There's not a man in this room or anywhere for that matter, to whom I would more willingly trust my life.	Það er enginn hér inni né nokkurs staðar sem ég treysti fremur fyrir lífi mínu.
There are alternatives to war.	Það er til fleira en styrjaldir.
We take our case before the king.	Leggjum málið fyrir konung.
We plead with him.	Höfðum til hans.
We tried.	Við reyndum það.
Well, then, we try again and again if necessary to avoid a war.	Reynum það aftur og aftur ef þörf krefur til að komast hjá stríði.
I was at Bunker Hill.	Ég var í Bunker Hill.
If your principles dictate independence then war is the only way.	Ef lífsreglur okkar krefjast sjálfstæðis þá er stríð eina leiðin.
It is come to that.	Það er komið á það stig.
I have seven children.	Ég á sjö börn.
My wife is dead.	Konan mín er dáin.
Now, who's to care for them if I go to war?	Hver á að annast þau ef ég fer í styrjöld?
Wars are not fought only by childless men.	Fleiri en barnlausir menn heyja styrjaldir.
Granted.	Að vísu.
But mark my words.	En taktu mark á mér.
This war will be fought, not on the frontier or on some distant battlefield but amongst us.	Þetta stríð verður ekki háð á vígstöðvunum. eða á fjarlægum vígvelli heldur meðal okkar.
Among our homes.	Á heimilum okkar.
Our children will learn of it with their own eyes.	Börnin okkar læra um það af eigin reynslu.
And the innocent will die with the rest of us.	Og saklaust fólk deyr með okkur hinum.
I will not fight.	Ég ætla ekki að berjast.
And because I will not fight, I will not cast a vote that will send others to fight in my stead.	Og þar sem ég berst ekki læt ég atkvæði mitt ekki valda því að aðrir fari og berjist í minn stað.
And your principles?	En lífsreglur þínar?
You intend to enlist without my permission?	Gengurðu í herinn án leyfis míns?
Yes, I do.	Já.
Father, I thought you were a man of principle.	Pabbi, ég hélt að þú hefðir ákveðnar lífsreglur.
When you have a family of your own, perhaps you'll understand.	Þú skilur þetta kannski þegar þú átt þína eigin fjölskyldu.
When I have a family of my own, I won't hide behind them.	Þegar ég á sjálfur fjölskyldu fel ég mig ekki bak við hana.
He's as imprudent as his father was at his age.	Hann er jafn óhygginn og faðir hans var á þessum aldri.
Regrettably so.	Því miður.
I'll see to it that he serves under me.	Ég sé til þess að ég verði yfirmaður hans.
Make him a clerk or quartermaster, something of that sort.	Geri hann að skrifara, birgðastjóra eða einhverju slíku.
Good luck.	Kæri Thomas.
Dear Thomas: Though many seasons have passed it seems like only yesterday when we last saw each other in Charles Town.	Nokkrar árstíðir hafa liðið en mér finnst sem við höfum sést síðast í gær í Charles Town.
With sadness, I learned of its recent fall to the British under General Cornwallis.	Það hryggði mig að heyra að við töpuðum borginni nýlega til Breta undir stjórn Cornwallis hershöfðingja.
I received a letter from Aunt Charlotte saying she closed her home in Charles Town after the city fell and moved to her plantation on the Santee.	Ég fékk bréf frá Charlotte frænku um að hún hefði lokað heimili sínu í Charles Town þegar borgin féll og hún hefði flust til plantekru sinnar í Santee.
Here in the north, our campaign has been marked by defeat and privation.	Hér nyrðra hefur barátta okkar einkennst af ósigri og skorti.
Our losses have been grievous.	Mannfall okkar hefur verið mjög mikið.
My good friend, Peter Cuppin, fell at E lizabethtown.	Góðvinur minn, Peter Cuppin, féll við Elizabethtown.
His death has been difficult to bear.	Lát hans hefur verið illbærilegt.
We will march south with General Gates to fight the Redcoats under Cornwallis.	Við förum suður með Gates hershöfðingja til að berjast við rauðstakkana undir stjórn Cornwallis.
Thank you, sir.	Þakka þér, herra.
Easy, Red.	Rólegur, Rauður.
Easy. I envy you your youth and distance from this cruel conflict of which I am a part.	Ég öfunda þig af æsku þinni og því að þú skulir geta verið fjarri þessu harða stríði."
'But I am fortunate to be serving the cause of Liberty.	En ég er heppinn að þjóna málstað frelsisins.
And though I fear death each day in prayer I reaffirm my willingness to give my life in its service.	Og þótt ég óttist að deyja staðfesti ég daglega í bæn að ég er fús til að láta lífið í þágu þess.
Pray for me.	Biddu fyrir mér.
But above all, pray for the cause.	En biddu umfram allt fyrir málstaðnum.
Your loving brother, Gabriel. '	Þinn ástkær bróðir, Gabriel."
What are you doing?	Hvað ertu að gera?
Turn around.	Snúðu þér við.
Not yet, Thomas.	Ekki enn, Thomas.
When?	Hvenær?
Seventeen.	Sautján.
That's two years.	Það er eftir tvö ár.
It's already been two.	Það eru þegar liðin tvö ár.
The war could be over by then.	Stríðinu gæti verið lokið þá.
God willing.	Ef guð leyfir.
All right.	Ágætt.
All right.	Allt í lagi.
Put it back, please.	Gakktu frá þessu.
Father?	Pabbi?
What happened at Fort Wilderness?	Hvað gerðist í Fort Wilderness?
Put it away.	Gakktu frá þessu.
Six-pounders.	Sex punda kúlur.
Lots of them.	Og þær margar.
How far away?	Hve langt í burtu?
They're a long way off.	Það er langt þangað.
They're most likely heading the other direction.	Þeir fara líkast til í hina áttina.
Put those in the house.	Settu þetta í húsið.
They might come this way.	Þeir gætu komið þessa leið.
Must I tell you again?	Þarf ég að endurtaka þetta?
Let's all stay close in to the house, all right?	Höldum öll hópinn inni í húsinu í kvöld.
We'll have to fight them off.	Við verðum að verjast þeim.
Won't Father do that?	Gerir pabbi það ekki?
They'll probably kill us men and do Lord-knows-what to you women.	Líklega drepa þeir okkur karlmennina en guð einn veit hvað þeir gera við ykkur konurnar.
Nathan!	Nathan!
Slowly turn.	Hægt.
Father.	Pabbi.
Abigale!	Abigale!
Water and bandages, fast.	Vatn og umbúðir strax.
The battle. Were you there?	Varstu í orrustunni?
Have you seen any Redcoats?	Sástu einhverja rauðstakka?
No, not yet.	Ekki enn.
Abigale, the children, please.	Abigale, sinntu börnunum.
Children, come.	Komið, börn.
Upstairs.	Upp.
Gates marched us straight at the Redcoats.	Gates fór með okkur beint til rauðstakkanna.
Our lines broke.	Sveitin leystist upp.
The British Green Dragoons cut us to bits.	Grænu riddararnir bresku slátruðu okkur.
I was given these dispatches.	Mér voru fengin þessi boð.
As I left, I saw the Virginia Regulars surrender.	Þegar ég fór sá ég fastaher Virginíu gefast upp.
The Dragoons rode into them. Killed them all.	Riddararnir riðu inn í sveitirnar og drápu þá alla.
Over 200 men.	Meira en 200 menn.
I have to get these dispatches to Hillsborough.	Ég verð að fara með þessi boð til Hillsborough.
You can't ride.	Þú getur ekki setið hest.
I can't stay here!	Ég get ekki verið hér.
Lt's not safe for...	Það er ekki óhætt vegna...
Fire!	Skjótið!
Thank you for the care of His Majesty's soldiers.	Þakka þér fyrir að hafa annast hermenn hans hátignar.
Have a detachment take our wounded to our surgeons at Winnsboro.	Láttu flokk fara með þá særðu til læknanna okkar í Winnsboro.
Yes, sir.	Já, herra.
Fire the house and barns.	Kveikið í húsinu og útihúsum.
Let it be known if you harbor the enemy you will lose your home.	Þeir sem aðstoða óvini krúnunnar missa heimili sín.
By order of King George all slaves of the American colonies who fight for the Crown will be granted their freedom with our victory.	George konungur kunngerir að allir þrælar í amerískum nýlendum sem berjast fyrir krúnuna fá frelsi ef við sigrum.
We're not slaves.	Við erum ekki þrælar.
We work this land.	Við yrkjum jörðina.
We're freedmen.	Við erum frelsingjar.
Then you're freedmen who will have the privilege of fighting in the king's army.	Þá eruð þið frelsingjar sem hafa þau réttindi að berjast í her konungsins.
Rebel dispatches, sir.	Boð frá uppreisnarmönnum.
Who carried this?	Hver flutti þetta?
I did, sir.	Ég, herra.
I was wounded.	Ég var særður.
These people gave me care.	Þetta fólk annaðist mig.
They have nothing to do with the dispatches.	Þessi boð eru þeim óviðkomandi.
Take this one to Camden.	Farið með hann til Camden.
He is a spy.	Hann er njósnari.
Hang him, put his body on display.	Hengið hann og hafið líkið til sýnis.
He's a dispatch rider.	Hann er sendiboði.
Destroy the livestock.	Fellið búpeninginn.
Save the horses for the Dragoons.	Riddararnir eiga að fá hestana.
Colonel, this is a uniformed dispatch rider carrying a marked case.	Ofursti, þetta er sendiboði í búningi með merkta tösku.
He cannot be held as a spy.	Þér leyfist ekki að halda honum sem njósnara.
Well, we won't hold him.	Við höldum honum ekki.
We're going to hang him.	Við hengjum hann.
Colonel...	Ofursti...
Father!	Pabbi!
Oh, I see.	Ég skil.
He's your son.	Hann er sonur þinn.
Perhaps you should've taught him something of loyalty.	Þú hefðir getað kennt honum ýmislegt um tryggð.
Colonel, I beg you, please reconsider.	Ég bið þig að hugsa þig betur um.
By the rules of war...	Samkvæmt stríðsreglum...
Would you like a lesson, sir, in the rules of war?	Herra minn, viltu fá lexíu í stríðsreglum?
Or perhaps your children would.	Kannski þurfa börnin þín að fá hana.
No lesson is necessary.	Þess gerist ekki þörf.
Sir.	Herra?
What of the rebel wounded?	Hvað um særðu uppreisnarmennina?
Kill them.	Drepið þá.
Father, do something!	Pabbi, gerðu eitthvað!
Be quiet!	Vertu hljóður.
Gabriel, run!	Gabriel, hlauptu!
Wait!	Bíddu.
No!	Nei!
Stupid boy.	Heimskur strákur.
Captain.	Höfuðsmaður.
Come, child.	Komdu, barn.
I'm not leaving these children!	Ég yfirgef ekki börnin.
Mercy!	Miskunn!
Get ready!	Viðbúnir!
Present!	Miða!
Fire!	Skjóta!
All of you, stay here.	Verið öll kyrr.
Nathan, Samuel.	Nathan, Samuel.
Margaret.	Margaret.
Hide in the fields with William and Susan.	Feldu þig á ökrunum með William og Susan.
If we're not back by sunset, take them to Aunt Charlotte's.	Ef við komum ekki fyrir sólarlag ferðu með þau til Charlotte frænku.
Is that clear?	Er það ljóst?
Boys.	Drengir.
It's a good spot.	Þetta er góður staður.
Boys, listen to me.	Hlustið vandlega.
I'll fire first.	Ég skýt fyrstur.
Start with the officers and work your way down.	Byrjið á yfirmönnunum og skjótið síðan óbreytta.
Can you tell the difference?	Þekkið þið muninn?
Yes, Father.	Já, pabbi.
Yes, Father.	Já, pabbi.
Good.	Gott.
Samuel, after your first shot, reload for Nathan.	Samuel, þegar þú hefur skotið hladdu þá fyrir Nathan.
Now if anything should happen to me, drop your weapons.	Nú, ef eitthvað skyldi henda mig leggið þá niður vopnin.
Run as quickly as you can.	Hlaupið eins hratt og þið getið.
Get your brother and your sisters and take them to Aunt Charlotte's.	Sækið systkini ykkar og farið með þau til Charlotte frænku.
Understood?	Er það skilið?
What did I say about shooting?	Hvað sagði ég um að skjóta?
Aim small, miss small.	Miðið vandlega, og hittið oftar.
Boys Samuel steady.	Samuel, stöðugir.
Lord, make me fast and accurate.	Drottinn, gerðu mig fljótan og nákvæman.
Aim small, miss small.	Miðið vandlega, og hittið oftar.
On the right!	Til hægri!
To the left!	Til vinstri!
Behind us!	Fyrir aftan!
Up on the ridge!	Uppi á ásnum!
Form right!	Takið ykkur stöðu!
To the right!	Til hægri snú!
About face!	Snúið við!
On the right to the rear!	Til baka!
To the right!	Til hægri!
Fire!	Skjótið!
Reload!	Hlaðið aftur!
Reload!	Hlaðið aftur!
Behind you!	Fyrir aftan!
Look on the rear!	Horfið um öxl!
We have the private the Cherokee scouts brought in.	Hér er óbreytti dátinn sem indíána-njósnararnir komu með.
Private?	Óbreyttur?
Private.	Óbreyttur.
Colonel William Tavington, Green Dragoons.	William Tavington, ofursti í Grænu riddurunum.
What happened?	Hvað gerðist?
Who did this?	Hver gerði þetta?
Him.	Hann.
It was mad.	Þetta var brjálæði.
I couldn't tell you who it was.	Ég gæti ekki sagt hver það var.
Calm down.	Rólegur.
Calm down, man.	Vertu rólegur.
Twenty of His Majesty's soldiers are dead.	20 hermenn hans hátignar féllu.
And I need to know how.	Ég verð að vita hvernig.
He said there was...	Hann sagði að það hefði...
Were you there?	Varst þú þarna?
Then let him speak.	Láttu hann þá tala.
Take your time and tell me. How many were there?	Gefðu þér tíma og segðu mér hve margir voru þarna.
Were they militia? Were they Regulars?	Var þetta varalið eða fastaher?
I don't really remember how many.	Ég man ekki hvað þeir voru margir.
Maybe one.	Kannski einn.
One man.	Einn maður.
Really?	Í alvöru?
He was in the flank.	Hann var yst á vængnum.
All around us.	Allt í kringum okkur.
Amongst us.	Meðal okkar.
I could barely see him.	Ég sá hann varla.
He was there, then he was gone.	Hann var sýnilegur, svo hvarf hann.
He just vanished.	Hann hvarf bara.
Sounds more like a ghost than a man.	Virðist fremur hafa verið draugur en maður.
A ghost.	Draugur.
He was like a ghost.	Hann var eins og draugur.
Enough.	Þetta nægir.
Bordon?	Bordon?
Take a patrol.	Farðu í gæsluferð.
Capture this ghost before word of his exploits spread.	Náðu draugnum áður en fréttist af afrekum hans.
Who's this?	Hver er þetta?
Sir, this is Captain Wilkins.	Herra, það er Wilkins höfuðsmaður.
Why should I trust a man who 'd betray his neighbors?	Því skyldi ég treysta manni sem svíkur nágranna sína?
Those neighbors of mine who stand against England deserve to die a traitor's death.	Þeir nágrannar mínir sem eru andvígir Englendingum verðskulda að deyja sem svikarar.
We'll see.	Hr.
Mr. Martin!	Martin!
Miss Charlotte!	Ungfrú Charlotte!
You're safe now.	Þér er óhætt núna.
Try to sleep.	Reyndu að sofna.
Yes.	Já.
I killed those men.	Ég drap mennina.
You did what I told you to do.	Þú gerðir eins og ég sagði þér að gera.
Get some rest.	Hvíldu þig.
You've done nothing for which you should be ashamed.	Þú hefur ekkert gert sem þú þarft að skammast þín fyrir.
I've done nothing.	Ég hef ekkert gert.
And for that, I am ashamed.	Og ég skammast mín fyrir það.
Gates and the Continental Army are at Hillsborough.	Gates er með nýlenduherinn í Hillsborough.
I'm joining up with them.	Ég slæst þar í hópinn.
Your place is here now.	Þú átt að vera hér núna.
I'm going back.	Ég fer til baka.
I'm a soldier, it's my duty.	Ég er hermaður.
Your duty is to your family.	Það er skylda mín. Þér ber skylda til að vera hjá fjölskyldunni.
Don't you walk away from me, boy!	Farðu ekki frá mér, drengur!
I'll find you when it's over.	Ég finn þig að þessu loknu.
No, I forbid you to go!	Nei, ég banna þér að fara!
I'm not a child!	Ég er ekkert barn.
You're my child!	Þú ert barnið mitt.
Goodbye, Father.	Vertu sæll, faðir minn.
Thomas is dead.	Thomas er dáinn.
How many more have to die before you'll heed my word?	Hve margir fleiri þurfa að deyja áður en þú gerir eins og ég bið?
I'm losing my family.	Ég er að missa fjölskyldu mína.
When will you be back, Father?	Hvenær kemurðu aftur, pabbi?
I don't know.	Ég veit það ekki.
Tomorrow?	Á morgun?
No, not tomorrow.	Ekki á morgun.
You say your prayers.	Farðu með bænirnar.
I will.	Ég geri það.
Take care of your brothers and sisters and your Aunt Charlotte.	Annastu systkini þín og Charlotte, frænku þína.
I'm depending on you.	Ég reiði mig á þig.
As I am on you, Samuel.	Og ég reiði mig á þig, Samuel.
Susan goodbye.	Susan, vertu sæl.
Thank you.	Þakka þér fyrir.
Halt!	Stöðvið!
Make ready!	Viðbúnir!
Take aim!	Miðið!
I'm not going back.	Ég fer ekki til baka.
No, I didn't expect you would.	Nei, ég bjóst ekki við því.
That Gates is a damn fool.	Þessi Gates er bannsettur asni.
He spent too many years in the British army.	Hann hefur verið of mörg ár í breska hernum.
Going muzzle-to-muzzle with Redcoats in open field. It's madness.	Það er brjálæði að berjast í návígi við rauðstakka.
Halt!	Stans!
Present!	Lyftið byssum!
This battle was over before it began.	Þessarri orrustu var lokið áður en hún hófst.
Retreat!	Hörfið!
These rustics are so inept.	Sveitamennirnir geta ekkert.
Nearly takes the honor out of victory.	Tekur næstum sómann úr sigrinum.
Nearly.	Næstum.
Hold him firm.	Haldið honum föstum.
Where's your commanding officer?	Hvar er yfirmaður þinn?
That tent there.	Í tjaldinu þarna.
It's a lost cause.	Þetta er glataður málstaður.
Benjamin Martin.	Benjamin Martin.
I'm in no mood for a lecture.	Ég hlusta ekki á fyrirlestra.
Where's your General Gates now?	Hvar er Gates hershöfðingi?
The last anyone saw, riding hard northeast his staff 100 yards behind, trying to catch up.	Síðast sást hann á þeysireið í norðaustur. Starfsmenn hans voru langt fyrir aftan og reyndu að ná honum.
So who's in command?	Hver stjórnar hernum?
I am.	Ég.
I think.	Eða það held ég.
What are my orders?	Hver eru fyrirmæli mín?
We're a breath away from losing this war, Benjamin.	Það munar engu að við töpum þessu stríði, Benjamin.
In the north, Washington is reeling from Morristown.	Nyrðra forðar Washington sér frá Morristown.
He's running and hiding from 12,000 Redcoats.	Hann flýr og leynist 1 2.000 rauðstökkum.
In the south, Cornwallis has broken our back.	Syðra hefur Cornwallis bugað okkur.
Captured over 5000 of our troops when he took Charles Town.	Hann náði meira en 5.000 manna okkar þegar hann tók Charles Town hernámi.
And he destroyed the only army between him and New York.	Hann eyðilagði eina herinn sem var milli hans og New York.
Nothing will stop him from heading north to finish off Washington.	Ekkert hindrar hann í að fara norður og ganga frá Washington.
Unless we can keep Cornwallis in the south till the French arrive.	Nema við getum haldið Cornwallis syðra uns Frakkar koma.
They've promised a fleet and 10,000 troops.	Þeir hafa lofað okkur flota og 1 0.000 hermönnum.
Six months at the earliest.	Í fyrsta lagi eftir hálft ár.
You trust the French to keep their word?	Treystirðu því að Frakkar efni loforð sitt?
Absolument.	Absolument.
Major Jean Villeneuve.	Majór Jean Villeneuve.
French Seventh Light Foot.	Úr sjöunda léttgönguliði Frakklands.
He will help train the militia.	Hann hjálpar við þjálfun varaliðsins.
The hero of Fort Wilderness.	Hetjan úr Fort Wilderness.
Your reputation precedes you.	Þú ert frægur maður.
You really expect to hold Cornwallis here using just militia?	Býstu í alvöru við að geta haldið Cornwallis hér aðeins með varaliðinu?
Not me.	Ekki ég.
You.	Þú.
They're not soldiers, they're farmers.	Þetta eru ekki hermenn heldur bændur.
They 'd be better off letting the British march through.	Þeir væru betur settir ef þeir leyfðu Bretum að halda áfram.
They 'd be better off, but the cause wouldn't.	Þeir væru betur settir en ekki málstaðurinn.
How many men does Cornwallis have? 8000 infantry.	Hve marga menn hefur Cornwallis? 8.000 fótgönguliða.
Around 600 cavalry.	Um 600 riddaraliða.
I'm giving you a field commission as a colonel.	Ég skipa þig ofursta.
Might I request that you transfer my son under my command?	Get ég fengið að hafa son minn fluttan undir mína stjórn?
Sir, no, I...	Herra, nei ég...
That's done.	Það er frágengið.
Colonel, I've been a soldier for two years.	Ofursti, ég hef verið hermaður í tvö ár.
As a scout, horseman, marksman, scavenger.	Sem njósnari, hestamaður, skytta og hausaveiðari.
Is that so?	Er það satt?
L 'd be of better use with Regulars.	Ég yrði liðtækari með fastahernum.
Where 'd you learn all that riding, shooting, scavenging?	Hvar lærðirðu að ríða, skjóta og veiða menn?
My father taught me.	Af föður mínum.
Teach you any humility?	Kenndi hann þér auðmýkt?
He tried.	Hann reyndi það.
We'll cover more ground if we split up.	Við komumst víðar ef við skiptum okkur.
Very well, corporal.	Ágætt, undirliðþjálfi.
You take Harrisville, Pembroke, Wakefield.	Þú ferð til Harrisville, Pembroke, Wakefield.
I'll start on the north side.	Ég byrja fyrir norðan.
Meet at the mission in Black Swamp.	Hittumst í trúboðsstöðinni í Svörtufenjum.
Corporal.	Undirliðþjálfi.
Be careful.	Farðu varlega.
You have children?	Áttu börn?
French.	Frakkar.
It skirts the mountain and then extends down towards the headwater here and right across to the far bank of the Ohio River.	Það er við fjallsræturnar og nær niður að árupptökunum og að fjarlægari bakka Ohio-fljóts.
It's 100,000 acres.	Þetta eru 1 00.000 ekrur.
Though your service in this war more than warrants such a gift.	Frammistaða þín í stríðinu réttlætir fyllilega þessa gjöf.
Yes, this is how His Majesty rewards those who fight for him as gentlemen.	Þannig launar konungur þeim sem berjast eins og heiðursmenn fyrir hann.
I dare to presume my own meager contributions will be rewarded one day.	Ég býst við að lítilfjörlegt framlag mitt verði launað síðar.
You may presume too much.	Þú gætir búist við of miklu.
His Majesty, like history, judges us by the outcome of the war and the manner in which it was fought.	Eins og sagan metur hans hátign okkur af úrslitum stríðsins og því hvernig það var háð.
We serve the Crown, and we must conduct ourselves accordingly.	Við þjónum krúnunni og hegðum okkur í samræmi við það.
Surrendering troops will be given quarter.	Hermenn sem gefast upp fá vistarverur.
These brutal tactics must stop!	Þessum hrottaskap verður að linna.
Is it not enough that I have never lost a battle?	Nægir ekki að ég hef aldrei tapað orrustu?
You serve me and the manner in which you serve me reflects upon me!	Þú þjónar mér og það hvernig þú þjónar mér kastar rýrð á mig!
I would've thought that a gentleman from a family as esteemed as yours would understand that.	Ég hefði haldið að maður úr svo virtri fjölskyldu myndi skilja þetta.
My late father squandered any esteem in which we were held along with my inheritance.	Faðir minn heitinn spillti allri virðingu sem við gátum vænst ásamt arfi mínum.
I advance myself only through victory.	Ég kem mér aðeins á framfæri með því að sigra.
You advance yourself only through my good graces.	Þú kemur þér aðeins á framfæri fyrir mína náð.
These Colonials are our brethren.	Þessir nýlendubúar eru bræður okkar.
And when this conflict is over, we will reestablish commerce with them.	Að þessum átökum loknum komum við aftur á viðskiptum við þá.
Do you understand, colonel?	Skilurðu það, ofursti?
Perfectly, my lord.	Fyllilega, lávarður góður.
Reverend, with your permission, I 'd like to make an announcement.	Prestur, ef ég má, þá vildi ég tilkynna svolítið.
Young man, this is a house of God.	Ungi maður, þetta er guðshús.
I understand that, reverend.	Ég veit það, prestur minn.
I apologize.	Ég biðst afsökunar.
The South Carolina Militia is being called up.	Verið er að kalla út varaliðið í Suður-Karólínu.
I'm here to enlist every man willing.	Ég ætla að skrá alla þá sem vilja berjast.
Son we are here to pray for the souls of those men hanging outside.	Sonur sæll, við ætlum að biðja fyrir sálum þeirra sem hanga hér úti.
Yes, pray for them.	Já, biðjið fyrir þeim.
But honor them by taking up arms with us.	En heiðrið þá með því að grípa til vopna með okkur.
And bring more suffering to this town?	Og valda bæjarbúum meiri þjáningum?
If King George can hang those men, he can hang any one of us.	Ef konungurinn getur hengt þessa menn getur hann hengt hvern okkar sem er.
Dan Scott barely a week ago you railed for two hours about independence.	Dan Scott, fyrir tæpri viku talaðirðu í tvo tíma fyrir sjálfstæði.
Mr. Hardwick, how many times have I heard you speak of freedom at my father's table?	Hr. Hardwick, hve oft hef ég heyrt þig tala um frelsi heima hjá föður mínum?
Half the men in this church, including you, Father and you, reverend are as ardent patriots as I. Will you now, when you are needed most, stop at only words?	Annar hver maður í kirkjunni, einnig þú, faðir minn, og þú, prestur minn, er ekki síður ættjarðarvinur en ég er. Eru þetta aðeins orðin tóm þegar ykkar er mest þörf?
Is that the sort of men you are?	Eruð þið þannig menn?
I ask only that you act upon the beliefs of which you have so strongly spoken and in which you so strongly believe.	Ég bið ykkur aðeins að sýna í verki tryggð við málstaðinn sem þið hafið talað um af svo miklum ákafa og þið hafið svo mikla trú á. Hver er með okkur?
Who's with us?	Hr.
Mr. Howard.	Howard.
Sir may I have permission to write to Anne?	Herra, má ég skrifa Anne?
May I have permission to write Anne?	Má ég skrifa Anne?
Yes.	Já.
You have permission to write me.	Þú hefur leyfi til að skrifa mér.
Oh, write her.	Skrifa henni.
Very well.	Gott og vel.
Reverend?	Prestur.
A shepherd must tend his flock.	Hirðir verður að gæta sauða sinna.
And, at times, fight off the wolves.	Og stundum að verjast úlfum.
Are you sure this is the right place to recruit for a militia?	Er þetta rétti staðurinn til að ráða varaliðsmenn?
God save King George!	Guð blessi George konung!
I think we came to the right place.	Ég held við séum á réttum stað.
Any bounty?	Eru peningar í boði?
No scalp money this time, Rollins.	Ekki í þetta sinn, Rollins.
But you can keep or sell me the muskets and gear of any Redcoat you kill.	En þú mátt eiga eða selja mér vopn allra rauðstakka sem þú drepur.
They hanged my brother down in Acworth.	Þeir hengdu bróður minn suður í Acworth.
Every damned one of them Redcoats deserves to die.	Hver einasti fjandans rauðstakkur á skilið að deyja.
Sign up.	Skrifaðu þig.
With all my ailments I wouldn't make it through the first skirmish.	Ég er svo lasinn að ég endist ekki í fyrstu skærunum.
No, sir.	Nei, herra minn.
But you can have my Negro. He'll fight in my stead.	En þú mátt fá svertingjann minn.
Occam!	Hann berst í stað mín. Occam!
Get over here.	Komdu hingað.
Ain't overly smart. He's strong as a bull.	Hann er ekki mjög skýr en er nautsterkur.
Can you write?	Kanntu að skrifa?
No, no, sir.	Nei, herra.
Well, then, make your mark.	Settu merkið þitt hér.
Why?	Af hverju?
I just signed him over to you.	Ég fól hann þér í hendur.
If you're willing, make your mark.	Merktu við ef þú vilt þetta.
That'll do.	Þetta nægir.
I'll kill me some Redcoats.	Ég ætla að drepa nokkra rauðstakka.
I believe you would.	Ég skal trúa því.
How old are you?	Hvað ertu gamall?
Not quite old enough.	Ekki nógu gamall.
But his time will come.	En hans tími mun koma.
John Billings.	John Billings.
I was hoping you 'd turn up.	Ég vonaði að þú kæmir.
There's a story going around about 20 Redcoats got killed by a ghost or some damn thing.	Sú saga gengur að um 20 rauðstakkar hafi fallið fyrir draug eða einhverju slíku.
Carried a Cherokee tomahawk.	Sem var með stríðsöxi indíána.
Aren't you a little old to be believing in ghost stories?	Ertu ekki helst til gamall til að trúa draugasögum?
How many did you get?	Hvað fékkstu marga?
Twelve.	Tólf.
These men, they're not the sort we need.	Þessir menn eru ekki þeirrar gerðar sem við þurfum.
They're exactly the sort we need.	Þeir eru einmitt rétta gerðin.
They've fought this kind of war before.	Þeir hafa áður háð svona stríð.
What about me?	Hvað um mig?
Am I one of that sort?	Er ég þessarar gerðar?
Hell, no.	Nei, fjandinn hafi það.
Your sort gives that sort a bad name.	Þín manngerð kemur óorði á þessa manngerð.
I want accuracy and precision.	Ég krefst fyllstu nákvæmni.
Dear Anne:	Skjótið!
Our force continues to grow.	VERĐLAUN FYRlR DRAUGlNN Kæra Anne.
As long as we continue to fight, others will come to fight beside us.	Meðan við berjumst höldum við áfram að fá samherja.
I long to see you and speak to you.	Ég þrái að hitta þig og tala við þig.
I'm hopeful that our duties will bring me near you.	Ég vona að skyldustörf mín færi mig nær þér.
Until then, I am and will remain most affectionately yours.	Ég er og verð þinn með mestu hlýju.
Gabriel.	Gabriel.
We surrender!	Við gefumst upp.
God, stop!	Guð, hættið!
For the love of God, we...	Í guðs bænum, við...
These men were about to surrender!	Mennirnir ætluðu að gefast upp.
Perhaps.	Ef til vill.
We will never know.	Við komumst aldrei að því.
This is murder!	Þetta er morð!
Hell, reverend, they're Redcoats.	Prestur, þetta voru rauðstakkar.
They've earned it.	Þeir áttu þetta skilið.
We're better than that.	Við erum betri en þetta.
What do you know about war?	Hvað veist þú um stríð?
I know the difference between fighting...	Ég þekki muninn á því að berjast...
Go back to church!	Farðu aftur í kirkjuna.
Quiet!	Þögn!
He's right.	Það er rétt hjá honum.
Quarter will be given to British wounded and any who surrender.	Grið verða gefin særðum Bretum og þeim sem gefast upp.
They gave no quarter when they fired on a ship carrying my wife and daughters.	Þeir sýndu engum grið þegar þeir skutu á skip með konu minni og dætrum.
