Publication detail	Nánar um útgáfu
-country of origin or country of final destination is incorrect	-einingarfjölda vantar eða er rangur
-exchange rates/currency is wrong and therefore the value is incorrect	-upprunaland eða neysluland er rangt
Time series exist from the year 1988, figures on imports and exports of goods have been registered according to customs tariff numbers since then.	Frá 1988 er til samfelld flokkunarröð, en frá þeim tíma er bæði innflutningur og útflutningur skráður samkvæmt tollskrárnúmerum.
However, comparison of individual goods is not possible in all instances as changes have been made on the customs tariff numbers, usually yearly.	Samanburður á einstökum vörum er samt ekki mögulegur í öllum tilvikum þar sem breytingar eru gerðar á tollskrárnúmerum, yfirleitt árlega.
Still it is possible to compare more aggregated data, like customs tariff chapters.	Hins vegar er hægt að bera saman meira samandregin gögn, eins og tollflokka.
Other classifications which cover longer periods do exist, for example the Classification of Commodities and the SITC classification but some major changes have been made on them as well.	Aðrar flokkanir eru til sem ná yfir lengra tímabil, t.d. Hagstofuflokkun sem er forveri núgildandi vörutegundaflokkunar og SITC flokkun en einnig hafa verið gerðar breytingar á þeim.
The classifications provide information on weights, supplementary units, fob-value and cif-value from 1988.	Flokkanir gefa magn, einingafjölda, fob verð og cif verð frá 1988.
This comparison is made to check the data from the customs system.	Þessi keyrsla er gerð í þeim tilgangi að stemma af þau gögn sem keyrð eru úr tollakerfinu.
Monthly preliminary figures for total exports of goods and total imports of goods has proven itself to be an good indicator for later published total figures for the relevant months, as major part of each months corrections includes corrections of country codes and custom tariff numbers which does not influence the total value.	Bráðabirgðatölur fyrir heildarútflutning og heildarinnflutning í fjárhæðum fyrir einstaka mánuði hafa reynst góður mælikvarði á síðar útgefnar heildartölur fyrir viðkomandi mánuði, enda er stór hluti leiðréttinga hvers mánaðar fyrir sig fólginn í tilfærslum á lönd og tollskrárnúmer sem hefur ekki áhrif á heildarfjárhæðir.
Various tables of external trade in goods are published on Statistics Iceland website (preliminary, monthly, cumulative, yearly, by various classifications, countries, market areas as well as historical data) and in Short term indicators.	Hagtölur, efnisflokkaðar veftöflur (bráðabirgðatölur, mánaðarlegar tölur, uppsafnaðar tölur frá áramótum, árlegar tölur, eftir ýmsum flokkunum, löndum og markaðssvæðum auk sögulegra hagtalna) og í Hagvísum.
Information on methodology and classifications in external trade of goods is available on Statistics Iceland website.	Upplýsingar um aðferðir og flokkarnir er hægt að finna undir Aðferðir og flokkanir í utanríkisverslun vöru á heimasíðu Hagstofunnar.
Tables on external trade in goods are published in the Statistical Yearbook of Iceland as well as in Iceland in figures.	Í Iceland in figures er að finna kafla um utanríkisverslun vöru sem inniheldur töflur um utanríkisverslun vöru.
Information on external trade of goods is regularily sent to various international organisations, which include the data in their databases, such as IMF, OECD and Eurostat.	Upplýsingar um vöruviðskipti eru sendar reglubundið til helstu alþjóðastofnana sem setja þær í gagnagrunn sinn, s.s. Sameinuðu þjóðanna, OECD, Eurostat o.fl.
Information is sent to subscribers, monthly, quarterly and yearly.	Upplýsingar eru sendar til áskrifenda, mánaðarlega, ársfjórðungslega og árlega.
Data on external trade of goods are stored in Statistics Iceland database.	Gögn um vöruviðskipti eru geymd í gagnabanka Hagstofunnar.
For users it is possible to get restricted access to the data on-line.	Ekki er veittur aðgangur að gögnunum sjálfum, en unnt er að fá upplýsingar veittar.
Information on the methodology of external trade in goods can be found on the Statistics Iceland website.	Aðferðafræði og flokkanir í utanríkisverslun vöru er birt er á vef Hagstofunnar.
It is possible to find figures on Icelandic external trade in goods in various publications from international organisations, such as Eurostat, UN and OECD.	Unnt er að sjá tölur um utanríkisverslun Íslands í ýmsum útgáfum frá alþjóðastofnunum, s.s. Sameinuðu þjóðunum, Eurostat og OECD.
Rules on statistical releases	Reglur um birtingar
All Statistics Iceland's releases are scheduled in an Advance release calendar: news releases, statistics and publications.	Allt útgefið efni Hagstofu Íslands er birt samkvæmt áætlun: fréttatilkynningar, talnaefni og útgáfur.
The Advance release calendar with scheduled releases for the forthcoming calendar year (1 January to 31 December) is published in November each year.	Hagstofan gerir birtingaráætlun fyrir heilt almanaksár (1. janúar til 31. desember) og gefur hana út í nóvember ár hvert.
Information regarding the releases is provided by the information services and the contact person for the release.	Auk þess veitir skiptiborð Hagstofunnar, upplýsingaþjónusta eða ábyrgðarmaður birtingar nánari upplýsingar frá kl.
Northwest (7 muncipal.)	Norðurland vestra (7 sveitarfélög)
Fjallabyggð on the one hand and Langanesbyggð on the other are included with Northeast region.	Fjallabyggð annars vegar og Langanesbyggð hins vegar eru taldar til Norðurlands eystra.
A combined municipality of Arnarneshreppur and Hörgárbyggð as of 12 June 2010 when the new elected local council gets in force.	Arnarneshreppur og Hörgárbyggð sameinast 12. júní 2010 þegar nýkjörin sveitarstjórn tekur við stjórn.
Arnarneshreppur and Hörgárbyggð become one municipality as of 12 June 2010 when the new elected local council gets in force.	Arnarneshreppur og Hörgárbyggð sameinast 12. júní 2010 þegar nýkjörin sveitarstjórn tekur við stjórn.
Grímseyjarhreppur became part of the municipality of Akureyri 1 June 2009.	Grímseyjarhreppur var sameinaður Akureyrarkaupstað 1. júní 2009.
The local council of Akureyri governs the combined municipality until local government elections in 2010.	Bæjarstjórn Akureyrarkaupstaðar fer með stjórn hins sameinaða sveitarfélags fram að almennum sveitarstjórnarkosningum vorið 2010.
In the elections 2006 11 representatives were elected in Akureyri and 3 in Grímseyjarhreppur.	Í kosningunum árið 2006 voru kjörnir 11 bæjarfulltrúar á Akureyri og 3 hreppsnefndarmenn í Grímseyjarhreppi.
In the elections 2006 5 council members were elected in Aðaldælahreppur and 7 in Þingeyjarsveit.	Í kosningunum árið 2006 voru kjörnir 5 sveitarstjórnarmenn í Aðaldælahreppi og 7 í Þingeyjarsveit.
East (9 municipal.)	Austurland (9 sveitarfélög)
Grouping	Skipting
E-mail: kristinn.karlsson@statice.is	Netfang: kristinn.karlsson@hagstofa.is
The purpose of the statistics for social protection expenditure is to analyse the development of social expenditure, store them and disseminate nationally and internationally.	Tilgangurinn er að safna upplýsingum um útgjöld til félagsverndar til að greina þróun, halda þeim til haga og miðla innanlands sem utan.
One of the purposes is to provide data to the European Union and the Nordic organisation NOSOSCO.	Tölum þessum er safnað árlega fyrir Hagstofu Evrópusambandsins, Eurostat og fyrir Norrænu hagskýrslunefndina á sviði félagsmála (Nordisk Socialstatistisk Komité (NOSOSKO)) sem er ein af fastanefndum Norrænu ráðherranefndarinnar.
Users are national institutions and associations, individuals and media.	Innlendar stofnanir og samtök, einstaklingar, fjölmiðlar.
The information should be useful in policy planning and for individuals in their studies and work as well as for public debate.	Efnið ætti að nýtast aðilum við stefnumótun og einstaklingum í námi og starfi og í almennri umfjöllun.
NOSOSCO: Disaggregated figures on expenditure, receipts and beneficiaries are provided for the publication Social Protection in the Nordic Countries (Social Tryghed), which is published annually.	NOSOSKO: Fær sendar sundurliðaðar upplýsingar um útgjöld, fjármögnun og viðtakendur til nota í ritinu Social Tryhed sem kemur út árlega.
OECD: Data sets/tables directly from Eurostat.	OECD: Fær göng beint frá EUROSTAT samkvæmt samkomulagi.
Information is also sought in various reports regarding the labour market.	Loks er byggt á samantekt Fjármálaeftirlits úr ársreikningum lífeyrissjóða.
EEA agreement.	EES- samningur.
Since 1995 the statistics have been in accordance with Eurostats ESSPROS classification and data delivered annually to Eurostat.	Frá 1995 hefur gagnasöfnun verið í samræmi við ESSPROS staðal Eurostat og eru tölulegar upplýsingar sendar til Eurostat.
Social protection statistics are classified in accordance with ESSPROS 1996.	Upplýsingar þessar eru flokkaðar eftir ESSPROS staðlinum (Esspros Manual 1996).
The general principles of ESSPROS are the following: "Social protection encompasses all interventions from public or private bodies intended to relieve households and individuals of the burden of defined set of risks or needs, provide that there is neither a simultaneous reciprocal nor an individual arrangement involved."	Flokkunarkerfi ESSPROS á útgjöldum til félagsverndar byggir á eftirfarandi skilgreiningu: Félagsvernd tekur til allra afskipta opinberra aðila og einkaaðila sem miða að því að létta byrðum af heimilum og einstaklingum vegna tiltekinnar áhættu eða þarfar, jafnframt því að ekki komi samhliða til endurgjalds eða um sé að ræða einstaklingsbundið fyrirkomulag.
I Family/children	Verkefnasviðin eru átta:
5. Other financing (property income)	5. Aðra fjármögnun (fjármagnstekjur)
Other social benefits: Municipal social assistance, help to refugees and immigrants; the Wage Guarantee Fund, alcohol and drug rehabilitation, counselling and other municipal social services.	Önnur félagshjálp: Fjárhagsaðstoð sveitarfélaga, aðstoð við flóttamenn og nýbúa, Ábyrgðarsjóður launa, meðferð og endurhæfing áfengis- og fíkniefnasjúklinga, ýmislegt annað þar með talin ráðgjöf og annað hjá félagsþjónustu sveitarfélaga.
Basic figures and sums for each year.	Grunntölur ásamt samtölum hvers árs.
Figures in current prices and at fixed prices of 1981.	Verðlaga hvers árs og á verðlagi ársins 1981.
Expenditure total.	Útgjöld alls.
The overall reliability is considered high, as the primary data are from registers of central government and municipal finance, and other public accounts.	Áreiðanleiki gagnanna er yfirleitt mikill, þar sem flestir útgjaldaliðirnir eru sóttir í ríkisreikning, samantekna ársreikninga sveitarfélaga og fleiri opinbera reikninga.
However, in few cases it is necessary to use additional information, e.g. the number of recipients of cash benefits or benefits in kind or use estimates, to aggregate expenditure where itemization in the accounts is not sufficient.	Í nokkrum tilvikum þarf þó að leita viðbótar upplýsinga, svo sem um fjölda neytenda niðurgreiddrar þjónustu/viðtekenda greiðslna, eða beita áætlunum til að skipta fjárhæðum, þar sem sundurliðanir í reikningum eru ekki nægar.
As most data come from final accounts sources of errors are small.	Þar sem heimildir eru yfirleitt endanlegir reikningar er ónákvæmni lítil.
Expenditure to Housing was before recorded in the function Other social benefits.	Nákvæmur samanburður við önnur Norðurlönd er gerður árlega og birtist í riti NOSOSKO "Social Tryghed i de Nordiske lande".
Balance of trade in goods (fob-cif) 2003-2012	Vöruskipti (fob-cif) 2003-2012
For use in national accounts and balance of payment, the balance of trade in goods is calculated from the fob value of both imports and exports.	Í greiðslujöfnuði og þjóðhagsreikningum er miðað við vöruskiptajöfnuð, reiknaðan út frá fob-verði bæði vöruinnflutnings og vöruútflutnings.
Balance of trade (fob-fob) at current prices has been favourable since 2009.	Vöruskiptajöfnuður (fob-fob) við útlönd á verðlagi hvers árs hefur verið hagstæður síðan árið 2009.
For some years, fluctuations in the exchange rate can disturb such a comparison.	Miklar gengisbreytingar geta hins vegar skekkt þennan samanburð einstök ár.
Million ISK at current prices	Millj. kr.
Exports of goods fob	á verðlagi hvers árs
Imports of goods fob	Vöruútflutningur fob
In ISK, the largest increase was in the export of marine products, and in the import of transport equipments.	Í vöruútflutningi varð mest aukning í krónum talið í útflutningi sjávarafurða en í vöruinnflutningi á flutningatækjum.
There was also an increase in the export of agricultural products and import of fuels.	Einnig varð aukning í útflutningi á landbúnaðarvörum og innflutningi á eldsneyti.
Value of trade in goods at current value and changes at constant exchange rates in 2011 and 2012	Verðmæti vöruútflutnings fob og vöruinnflutnings fob á gengi hvors árs og breytingar á föstu gengi 2011 og 2012
Other products	Aðrar vörur
Transport equipment	Neysluvörur ót.a.s.
Consumer goods n.e.s.	Vörur ót.a.s.
Goods n.e.s.	(t.d. endursendar vörur)
Exports of goods by commodities 1840-2012	Vöruútflutningur eftir vöruflokkum (Hagstofuflokkun) 1840-2012
Imports of goods increased in	Afgreiddar útflutningsskýrslur
Imports of goods by broad economic categories (BEC) in 2008-2012	Vöruinnflutningur eftir hagrænni flokkun 2008-2012
Trade in goods by market areas and countries	Vöruviðskipti eftir markaðssvæðum og löndum
In external trade the partner country is by classification the country of final destination of the export.	Hafa skal hliðsjón af þessari staðreynd þegar tölur um útflutning til Hollands eru skoðaðar.
4 Other products 41 Mineral substances 42 Recovered products 43 Transport equipments 430 Used ships 432 Aircraft 433 Used or re-exported vehicles 49 Miscellaneous	4 Aðrar vörur 41 Jarðefni 42 Endurheimtar vörur 43 Flutningsför 430 Notuð skip 432 Flugvélar 433 Bílar, notaðir eða endurseldir 49 Aðrar vörur
Imports of goods by broad economic categories in 2011-2012	Vöruinnflutningur eftir hagrænni flokkun árin 2011-2012
Cif-value at current exchange rates	Cif-verð á gengi hvors árs
Fob-value at current exchange	Fob-verð á gengi hvers árs
Rank	Röð
Iran, Islamic Rep.of	Íran
Antigua and Barbuda	Antígva og Barbúda
South Africa	Suður-Afríka
Cuba	Kúba
Bahamas	Bahamaeyjar
Cif-value at current exchange rates	Cif-verð á gengi hvers árs
Peru	Perú
Kosta Ríka	Kostaríka
1 Food and beverages 111 Primary, mainly for industry 112 Prim., mainly for household consumption 121 Processed, mainly for industry 122 Proc., mainly for household consumption	1 Matvörur og drykkjarvörur 111 Óunnar, einkum til iðnaðar 112 Óunnar, einkum til heimilisnota 121 Unnar, einkum til iðnaðar 122 Unnar, einkum til heimilisnota
550 Airplanes	550 Flugvélar
In order to obtain reliable, illuminating data on the domestic labour market Statistics Iceland started regular Labour Force Surveys in 1991.	Til að afla haldbærra og greinargóðra gagna um vinnumarkaðinn hér á landi hóf Hagstofan reglubundnar vinnumarkaðsrannsóknir árið 1991.
Models were sought elsewhere in the Nordic countries and comparable surveys in the countries of the European Union.	Leitað var fyrirmynda annars staðar á Norðurlöndum og athugaðar sambærilegar kannanir í löndum Evrópubandalagsins.
The first survey was conducted in April 1991.	Fyrsta rannsóknin fór fram í apríl 1991.
In January 2003 Statistics Iceland changed to a continuous Labour Force Survey were the survey is conducted through the entire year.	Frá og með janúar 2003 er vinnumarkaðrannsókn Hagstofunnar framkvæmd samfellt allt árið um kring.
The year is divided into four periods of 13 weeks each and results are published quarterly.	Árinu er skipt upp í fjögur 13 vikna tímabil og gefnar út niðurstöður fyrir hvern ársfjórðung.
The main users are economic institutes, the social partners, government and international institutions	Helstu notendur vinnumarkaðsrannsókna eru stofnanir í hagrannsóknum, aðilar vinnumarkaðarins, stjórnvöld (þ.m.t. atvinnuráðgjafar sveitarfélaga) og erlendar stofnanir.
In addition background information is obtained from the National register.	Auk þess er aflað lýðfræðilegra gagna úr þjóðskrá.
The respondents are free to refuse to participate in the survey.	Þátttakendum í úrtaki er frjálst að neita að taka þátt í rannsókninni.
The LFS gives detailed information concerning the labour status of the Icelandic population.	Rannsóknin gefur nákvæmar og sundurgreindar upplýsingar um stöðu einstaklinga á vinnumarkaði.
Main status	Meginstöðu þátttakanda
Employed.	Starfandi.
People are classified as working (employed) if they worked one hour or more in the reference week or were absent from the work they usually carry out.	Fólk telst vera starfandi (hafa atvinnu) ef það hefur unnið eina klukkustund eða lengur í viðmiðunarvikunni eða verið fjarverandi frá starfi sem það gegnir að öllu jöfnu.
Individuals on birth leave are considered absent from work if they went on leave from a paid job, even if they have no intentions of returning to the same job.	Einstaklingar í barneiganaleyfi teljast vera fjarverandi frá vinnu hafi þeir farið í leyfi úr launuðu starfi jafnvel þótt þeir hafi ekki hug á að hverfa aftur til sama starfs.
Unemployment.	Atvinnulausir.
Persons are classified as unemployed who have no employment and satisfy one of the following criteria:	Þeir teljast atvinnulausir sem ekki hafa atvinnu og falla undir eitthvert eftirfarandi skilyrða:
1. Have been seeking work for the previous four weeks and are ready to start working within two weeks from when the survey is conducted	1.Hafa leitað sér vinnu sl. fjórar vikur og eru tilbúnir að hefja störf innan tveggja vikna frá því rannsóknin er gerð.
2. Have found a job which will begin within three months but could start working within two weeks.	2.Hafa fengið starf en ekki hafið vinnu.
3. Await being called to work and are able to start working within two weeks	3.Bíða eftir að vera kallaðir til vinnu.
4. Have given up seeking work but wish to work and could start working within two weeks.	4.Hafa gefist upp á að leita að vinnu en bjóðist starf eru þeir tilbúnir að hefja vinnu innan tveggja vikna.
Students, including those looking for an apprenticeship in a trade, are only considered unemployed if they have been seeking a job along with their studies or a permanent job for the past four weeks and are available to start work within two weeks of the surveys occurrence.	Námsmenn, þ.m.t. þeir sem leita námssamnings í iðngrein, teljast því aðeins atvinnulausir að þeir hafi leitað eftir vinnu með námi eða framtíðarstarfi sl. fjórar vikur og séu tilbúnir að hefja störf innan tveggja vikna frá því rannsóknin var gerð.
Outside the work force.	Utan vinnuafls.
People are termed outside the work force if they are neither employed nor fulfil the conditions for being unemployed.	Fólk telst utan vinnuafls ef það er hvorki í vinnu né fullnægir skilyrðum um að vera atvinnulaust.
The labour force is considered to consist of employed and unemployed persons.	Vinnuafl telst vera starfandi og atvinnulaust fólk.
Data is collected throughout the year in a continuous survey.	Gögnum er safnað samfellt allt árið um kring.
The year is divided into four periods of 13 weeks each and the sample is 4030 individuals in each quarter.	Árinu er skipt upp í fjögur 13 vikna tímabil og er úrtakið 4.030 einstaklingar í hverjum ársfjórðungi.
The sample is equally divided amongst the 13 weeks and each respondent asked questions concerning the survey reference week.	Úrtakinu er skipt jafnt niður á allar 13 vikurnar og er hver þátttakandi spurður um stöðu sína í viðmiðunarviku rannsóknarinnar.
The LFS is a sample survey and entails a degree of uncertainty because of the nature of sample surveys.	Því eru niðurstöðurnar háðar óvissu sem er því meiri sem sundurliðun talnaefnis er meiri.
Sampling errors.	Úrtökuskekkja.
Every sample survey entails a degree of uncertainty because of the sample not being an exact reflection of the entire registry or population.	Úrtaksrannsóknir hafa ávallt ákveðna óvissu í för með sér þar sem úrtakið er ekki nákvæm eftirmynd af heildarskránni eða þýðinu.
Because of the random nature of this uncertainty, it is possible to calculate the confidence limits for the numbers being estimated.	Þar sem þessi óvissa ræðst af hendingu er unnt að reikna út öryggismörk fyrir þær stærðir sem metnar eru.
Coverage errors.	Þekjuskekkjur.
In some cases the sampling frame does not reflect the actual population.	Þekjuskekkjur stafa annars vegar af því að sú skrá sem lögð er til grundvallar vali á úrtakinu, þ.
In all surveys, results may represent errors because of non-response in the sample being unevenly distributed among groups.	Í öllum rannsóknum geta niðurstöður skekkst vegna þess að brottfall í úrtakinu dreifist misjafnt eftir hópum.
The main reasons for non-response are refusals, hindrances due to illness or disability, absence from home while the survey is proceeding, or a failure to find the residence or telephone number of those in the sample.	Helstu ástæður brottfalls eru neitanir, hindranir vegna veikinda eða fötlunar, fjarvera frá heimili meðan á rannsókn stendur eða að ekki tekst að finna aðsetur eða símanúmer þeirra sem eru í úrtakinu.
Interviewers can record the answers of their respondents wrongly, omit questions, confuse the order of questions, or rephrase them so as to ask about something other than was intended.	Spyrlar geta skráð svör viðmælenda sinna ranglega, hlaupið yfir spurningar, ruglast í röð þeirra eða umorðað þær þannig að spurt verði um annað en til stóð.
Processing errors.	Úrvinnsluskekkjur.
The classification of certain "open" questions after the interview is finished can also lead to errors, in which connection the categorisation of occupation, economic activity and educational level should especially be mentioned.	Skekkjur geta slæðst inn vegna flokkunar einstakra opinna" spurninga þar sem svörin eru flokkuð eftir að viðtali lýkur.
These errors can result from insufficient information in the original documentation, unclear instructions in the classification systems, and mistakes by those classifying.	Slíkar skekkjur geta stafað af ófullnægjandi upplýsingum í frumgögnum, óljósum leiðbeiningum í flokkunarkerfum og mistökum flokkunarfólks.
Design errors.	Sniðskekkjur.
Unsatisfactory organisation and design of the survey can lead to results which do not correspond to reality.	Ófullnægjandi skipulagning og hönnun rannsóknar getur leitt til niðurstaðna sem eru ekki í samræmi við raunveruleikann.
The phrasing of questions can cause misunderstandings, a different ordering of the questions can result in dissimilar answers, and the experience of the respondents from former surveys can influence their answers.	Orðalag spurninga getur valdið misskilningi, mismunandi röð spurninga getur leitt til ólíkra svara og reynsla svarenda af fyrri rannsóknum getur haft áhrif á svör þeirra.
E-mail: sigridur.vilhjalmsdottir@statice.is	Netfang: sigridur.vilhjalmsdottir@hagstofa.is
The purpose is to collect statistics on health and health related indicators and the activities of health institutions, store them and disseminate them nationally and internationally.	Tilgangurinn er að safna tölulegum upplýsingum um heilsufar og starfsemi heilbrigðisstofnana, halda þeim til haga og miðla innanlands sem utan.
Act No. 24/1913 on Statistics Iceland stipulates the main areas official statistics shall cover, one of which is health.	Í lögum um Hagstofu Íslands nr. 24/1913 eru tiltekin meginatriði landshagsins sem Hagstofunni ber að rannsaka og er heilsufar meðal þeirra.
Some items of the health statistics overlap with other subject areas, examples are population statistics (e.g. deaths and causes of death) and statistics on national accounts which cover statistics on health expenditure.	Sumt það sem varðar þennan málaflokk skarast við önnur svið og annast t.d. mannfjöldasvið tölur um dánartíðni og dánarorsakir.
The collection of health statistics has been extended in recent years due to increased international reporting.	Í seinni tíð hafa aukin alþjóðleg skýrsluskil af hálfu Hagstofu leitt til meiri efnisöflunar á þessu sviði en áður.
Users are national institutions and associations, international organizations, individuals and media.	Innlendar stofnanir og samtök, alþjóðastofnanir, einstaklingar, fjölmiðlar.
The information should be useful in policy planning and for individuals in their studies and work as well as for public debate.	Efnið ætti að nýtast aðilum við stefnumótun og einstaklingum í námi og starfi og almennri umfjöllun.
Statistics on health are to a large extent collected and produced by other institutions whose role is to register or collect such data.	Upplýsingum um heilbrigðismál er þó einkum safnað frá sérhæfðum stofnunum og öðrum aðilum sem hafa með höndum skráningu og/eða innsöfnun efnis á þessu sviði.
These are e.g.:	Helstu aðilar eru:
Directorate of Health: statistics on health personnel, activities of health institutions, register on induced abortions, register on sterilizations, and statistics on communicable diseases;	Landlæknisembættið: upplýsingar um heilbrigðisstarfsmenn og starfsemi sjúkrastofnana, skrá um fóstureyðingar, skrá um ófrjósemisaðgerðir, skrá um tilkynningaskylda sjúkdóma;
Icelandic Cancer Registry: statistics on incidence of cancer;	Krabbameinsskrá Krabbameinsfélags Íslands: nýgengi krabbameins.
The Ministry of Health and Social Security: statistics on the consumption and sales value of drugs;	Heilbrigðis- og tryggingamálaráðuneytið: notkun og sala lyfja
The Public Health Institute of Iceland: surveys on tobacco use, nutrition, physical exercise etc.	Lýðheilsustöð: kannanir um reykingavenjur; manneldi; hreyfingu
The State Social Security Institute: Reported accidents to the SSI; consultations with specialists.	Tryggingastofnun: slys tilkynnt hjá almannatryggingum; komur til sérfræðinga.
The statistics cover information on lifestyle, such as smoking habits, physical exercise and peoples weight, dental health and also number of and rates on induced abortions and sterilizations.	Efnið nær yfir lífsvenjur eins og reykingavenjur, hreyfingu og þyngd fólks, tannheilsu og enn fremur fjölda og tíðni fóstureyðinga og ófrjósemisaðgerða.
It also covers incidence of diseases like HIV/AIDS and cancer.	Það spannar einnig tölur um tíðni sjúkdóma eins og HIV og alnæmi svo og nýgengi krabbameina.
Also included are statistics on the resources and activities of the health system like health personnel by occupational groups and medical equipment, ambulant contacts both in primary care and with specialists, as well as discharges and average length of stay in hospitals.	Starfsemi heilbrigðisþjónustunnar er lýst með fjölda heilbrigðisstarfsmanna eftir starfsstéttum, komum og vitjunum í heilsugæslu og hjá sérfræðingum og legum og meðallegutíma á sjúkrahúsum.
Furthermore there are statistics on the sales value and consumption of drugs.	Þá eru tölur um notkun og söluverðmæti lyfja eftir ATC flokkunarkerfi.
Basic figures and sums are used.	Grunntölur ásamt samtölum.
Figures showing proportions or rates per population total and/or by sex and age are sometimes used and published.	Tölur um hlutfallslega skiptingu og tíðnitölur miðað við fjölda íbúa alls og/eða eftir kyni og aldri eru stundum settar fram.
Annual incidence: refers to new cases (e.g. of cancer) diagnosed/reported during a year.	Árlegt nýgengi: Fjöldi nýrra tilfella (t.d. krabbameina) sem greinast á ári.
A discharge is demarked by the assignment of a patient to a specialty and the discharge from that specialty.	Lega afmarkast af innritun sólarhringssjúklings á sérgreinina og útskrift af sérgreininni.
Most often it is the calendar year but sometimes figures refer to certain dates.	Yfirleitt almanaksárið en stundum er miðað við tiltekinn tímapunkt árlega.
If data arrives from surveys regular dates are less likely.	Ef efni er byggt á könnunum er síður um reglulega tímapunkta að ræða.
Varies, depends on requests and delivery dates.	Mismunandi eftir fyrirspurnum og skilafresti efnis.
Annual figures published in The Statistical Yearbook and the Statistics Iceland website.	Árlegar tölur í Landshögum og á vef Hagstofunnar eftir því sem tiltækt er.
Statistics are also published annually in NOMESCO´s Health Statistics in the Nordic Countries, OECD Health Data CD/web and Eurostats Key data on Health.	Efni einnig birt í NOMESKO ritinu, Health Statistics in the Nordic Countries, OECD Health Data geisladiski/netútgáfu, Eurostat Key Data on Health.
Accuracy and reliability of data depends to some extent on how well it is processed by the suppliers of the data.	Nákvæmni og áreiðanleiki gagna ræðst að miklu af því hversu vel þau eru unnin af hálfu þeirra sem miðla þeim til Hagstofu.
Efforts are made to validate the data when possible and further information requested if necessary.	Gögn eru yfirfarin eftir því sem hægt er og leitað er eftir nánari upplýsingum ef ástæður gefa tilefni til.
Sometimes adjustments are needed if data does not correspond fully to the request.	Í sumum tilvikum hefur þurft að aðlaga efni ef tiltækt efni svarar ekki umbeðnum óskum.
International classifications and standards are used when possible.	Alþjóðleg flokkunarkerfi og samræmdar skilgreiningar eru notaðar eftir því sem kostur er.
In most cases comparison between years is possible.	Samanburður er gerður milli ára í flestum efnisflokkum.
If there is a change in definition data may need to be marked specially in the time series and notes supplied.	Við breytingu á skilgreiningum gæti þurft að gera skil á tímaröð og er þess þá getið í skýringum við efnið sem birt er.
Statistics at national level are compared when possible.	Tölur innanlands eru bornar saman eftir því sem unnt er og við á í hverju tilviki.
Comparisons are conducted with data at international level when data is submitted to international organizations like NOMESCO, OECD and Eurostat.	Samanburður er gerður við útlönd í erlendum útgáfum milli:Norðurlandanna, landa innan Evrópusambandsins og um leið landa í EES og landa innan Efnahags- og framfarastofnunarinnar (OECD).
Preliminary statistics are published rarely.	Í undantekningatilvikum eru birtar bráðabirgðatölur.
When data has been confirmed it replaces the preliminary data in time-series.	Þegar lokatölur liggja fyrir eru þær settar í stað hinna við birtingu tímaraða.
When major revisions or new definitions come into force e.g. when classifications are reviewed figures and time-series may be affected	Í vissum tilvikum breytast niðurstöður við endurskoðun og breyttar skilgreiningar talna, t.d. þegar endurnýjuð flokkunarkerfi eru tekin í notkun.
Statistics Iceland disseminates statistics annually to NOMESCO for Health Statistics in the Nordic Countries (), OECD Health Data base, and Eurostat.	Þá lætur Hagstofan í té árlega upplýsingar til NOMESKO vegna útgáfu Health Statistics in the Nordic Countries, OECD gagnagrunns um heilbrigðismál og Eurostat auk fleiri aðila þegar eftir er leitað.
Basic data is most often supplied and processed in Excel and word documents.	Grunngögn berast yfirleitt í Excel skjölum og öðrum fylgiskjölum.
Excel documents are generally also used for larger questionnaires and their replies.	Ennfremur eru stærri fyrirspurnir og svör við þeim oftast á Excel formi.
Statistics are available in the Statistical Yearbook and web based tables of Statistics Iceland.	Efni sem birtist í Landshögum, hagtölurárbók Hagstofu eða á hagtöluvef Hagstofu er aðgengilegt þar.
Telephone: 528 1207	S. 528 1207
Purchasing Power Parity (PPP) is used to convert the Gross Domestic Product (GDP) to make it comparable with that of other countries.	Jafnvirðisgildi (PPP: Purchasing Power Parity) er notað til að færa landsframleiðslutölur til sambærilegs verðlags í ýmsum ríkjum.
It is also used to compare relative price level between countries.	Einnig notað til að bera saman hlutfallslegt verðlag milli landa.
PPP is a currency conversion rate used instead of exchange rates.	Jafnvirðisgildi er umreikningstala fyrir mismunandi gjaldmiðla notuð í stað gengis.
PPP shows how much is needed of the currency of one country to purchase the same amount of goods and services in other countries.	Jafnvirðisgildi sýnir hve mikið þarf í gjaldmiðlum einstakra ríkja til að kaupa sama magn vöru og þjónustu í öðrum löndum.
PPPs have been calculated in OECD countries from 1980 while the United Nations have done so from 1970.	Jafnvirðisgildi hafa verið reiknuð í OECD löndum frá 1980 en Sameinuðu þjóðirnar unnu að málinu frá 1970.
From 1990 Iceland has taken part in an international price comparison programme where PPPs are calculated and used to compare GDPs.	Ísland hefur frá 1990 tekið þátt í alþjóðlegu verðsamanburðarverkefni þar sem jafnvirðisgildi eru reiknuð og notuð til að bera saman magn landsframleiðslu og undirþátta hennar.
The main use of PPPs is in the comparison of volume indices between countries and in the comparison of relative price levels.	Helsta notkun jafnvirðisgilda er við samanburð á magntölum þjóðhagsreikninga milli landa og við samanburð á hlutfallslegu verðlagi.
