No more murders!	Ekki fleiri morð!
Hang on! That camera was apparently found a month later by a 12-year-old on the shore.	Er í lagi með þig? 12 ára barn fann myndavélina víst mánuði síðar á ströndinni.
Their bodies were never discovered.	Lík þeirra fundust aldrei.
It's so pretty here. Isn't it?	Það er svo fallegt hér.
It's like a sign. Is it? Yeah.	Það er eins og merki.
A sign you wanna make a little love?	Er það? Viltu elskast?
Knock it off.	Hættu þessu.
It's not a sex sign.	Það er ekki kynlífsmerki.
Well, it is to me.	Mér finnst það.
It is a sex sign. No.	Nei, allt er kynlíf.
You getting in the mood?	Ertu að komast í stuð?
Alex, the camera.	Alex, myndavélin.
Well, good.	Gott.
You're coming in at some point.	Þú kemur út í á eftir.
You know that, don't you?	Það veistu.
Look at you up there on your high boat.	Að sjá þig þarna á þínum háa báti.
About 100 years ago, the sea floor was entirely grass bed with enough oysters to self-clean about every four days.	Fyrir um hundrað árum var botninn eins og gler með nægum ostrum til að borða fjórða hvern dag.
Today the bay is 40 percent dead zone.	Núna er flóinn að 40 prósentum dauður.
There is nothing here.	Hér er ekkert.
Wait, I don't understand.	Bíddu, ég skil ekki.
Are you saying that 40 percent of the bay is a dead zone?	Eru 40 % af flóanum dautt svæði?
Is good?	Er það gott?
Is okay?	Er það í lagi?
No, no, it's not clear that 40 percent is dead.	Nei, það er ekki öruggt að 40 % séu dauð.
Dr. Abrams! The CDC is on the line.	Abrams læknir, Sóttvarnir eru á línunni.
They're on right now?	Núna strax?
Can you get somebody to get an orderly to get that guy out of the hall?	Getum við fengum aðstoðarmann til að koma manninum héðan?
Put him in 104.	Setjið hann í 104.
Well?	Jæja?
Well?	SKYPE-FUNDUR KL.
Yeah, you said that you have 30 of these cases?	14: 51 Þú sagðist vera með 30 svona tilfelli?
I have about 60 people with some kind of blister and lesion outbreak, some of whom went into anaphylactic shock.	Ég er með um 60 manns með einhvers konar útbrot með vefjaskemmdum og kýlum.
I have...	Nokkrir hafa farið í eitrunarlost.
Excuse me.	Afsakaðu.
You said now you have 60 cases?	Sagðist þú nú vera með sextíu tilfelli?
I saw three people with their tongues half gone.	Ég sá þrjá sem hálfa tunguna vantaði í.
Okay, that's a lot of information.	Þetta eru miklar upplýsingar.
What do you mean?	Hvað áttu við?
In how many cases?	Í hve mörgum til fellum?
In all of the cases.	Í öllum tilfellum.
Okay, that's important.	Það er mikilvægt.
Yeah, I know that's important, because they still have spreading lesions.	Já, ég veit það, því þeir eru enn með vaxandi vefjaskemmdir.
Do you have any new information for me?	Hefur þú einhverjar nýjar upplýsingar fyrir mig?
Not at this time.	Ekki núna.
Vancouver?	Í Vancouver?
Three hours?	Á þrem tímum?
Yeah, hold on.	Já, bíddu við.
You didn't get the pictures?	Fékkstu ekki myndirnar?
Did you send those pictures to the CDC?	Sendir þú myndirnar til Sóttvarna?
You did?	Þú gerðir það.
You should have an attachment there with pictures that we sent you.	Þú ættir að vera með viðhengi með myndunum sem við sendum.
Do you have them?	Ertu með þær?
It's one of the world's oldest creatures.	Það er eitt elsta dýr jarðar.
Dates back from the Carboniferous Period.	Það var til á kolatímabili fornlífisaldar.
Look at that.	Sjáðu þetta.
What is that?	Hvað er þetta?
Look at that.	Sjáðu.
It ate right through the fish's tongue.	Það hefur étið sig gegnum tungu fisksins.
This is enormous.	Þetta er risastórt.
Do you think this is an anomaly?	Heldurðu að þetta sé afbrigði?
Do I think it's...	Held ég að það sé afbrigði?
Amoly? What?	Heldurðu að þetta sé eðlilegt?
No, do you think it's normal?	Afbrigði?
' I don't know.	Ég veit ekki.
I think it must be some kind of mutated version.	Þetta hlýtur að vera stökkbreytt.
Isopods shouldn't even be in the brackish water.	Járnfætlur ættu ekki að vera í ísöltu vatni.
This is a huge one.	Þessi er stór.
All these isopods are eating this fish alive.	Allar þessa járnfætlur eru að éta fiskinn lifandi.
I don't understand this.	Ég skil þetta ekki.
It doesn't make any sense.	Það er ekkert vit í því.
There's something really wrong.	Ég át eitthvað skrítið.
Help me.	Eitthvað í maganum á mér er undarlegt.
What's happening?	Hvað er að gerast?
I think you need to see the sick...	Þú þarft að sjá hve margt veikt fólk er hér.
Oh, my God!	Guð minn góður.
Look at this.	Sjáðu þetta.
What's wrong with everyone?	Hvað er að öllum?
Look at all these people.	Þetta er herra Long.
They need help. Calm down!	Þau þurfa að fá hjálp.
Did you just hear that?	Heyrðir þú þetta?
Look at this. Look.	Hjálpið mér.
Please, please, somebody.	Gerið það, einhver.
They were just there for a car show.	SÓTTVARNASTOFNUN SKOĐAR 2 ÁRA GAMLA FRÉTTASENDINGU Þeir fóru á bílasýningu.
Within 24 hours, he got ill.	Innan sólarhrings veiktist hann.
And they said with this parasite, that is what happens.	Sagt var að sníkjudýrið hefði þessi áhrif.
Only his feet touched the water, but a short time later, he became sick.	Aðeins fætur hans fóru í sjóinn. Stuttu síðar veiktist hann.
Doctors say he was infected by a bacteria called Vibrio vulnificus.	Læknar sögðu að hann hefði sýkst af bakteríu, vibrio vulnificus.
If he had survived, he would have lost his arms and legs.	Ef hann hefði lifað af hefði misst alla útlimi.
When walking through brackish water or at the beach, if you get a cut, don't just think it's going to go away.	Ef þið vaðið í söltum sjó eða á ströndinni og fáið sár hverfur það ekki.
You have to seek medical attention immediately if it starts to turn red or you start to feel really bad.	Þið verðið að leita læknis strax ef það roðnar eða ykkur líður illa.
The Vibrio vulnificus bacteria can lead to heart failure, loss of limbs, or death.	Vibrio Vulnificus bakterían getur valdið hjartabilun, útlimamissi eða dauða.
All right, this is the leg of a man treated today at Atlantic Hospital in Maryland.	Þetta er fótleggur manns sem kom í dag á Atlantic sjúkrahúsið.
This is the IR slide of the same infection. Notice the bruising below the skin.	Þetta er innrauð mynd af sömu sýkingu, takið eftir skemmdum undir húðinni.
It looks like Vibrio vulnificus.	Þetta lítur út eins og Vibrio Vulnificus.
Now, it's a bit different than the normal symptoms of a Vibrio or a Cryptosporidium outbreak, and we got people up there with their tongues half gone.	Nú er það ólíkt hefðbundnum einkennum Vibrio eða Cryptosporidium sýkingu.
So what do we got here, people?	Þarna er fólk sem vantar hálfa tunguna í. Hvað er þetta þá?
Stephanie?	Stephanie?
Stephanie, where are you?	Hvar ertu? SÍMASKILABOĐ SEM STEPHANIE FÉKK ALDREI.
You're not answering your phone.	SEND KL.16: 18. Þú svarar ekki í símann.
So the most important thing is to know that I do not want you to get off that boat.	Ég vil alls ekki að þið farið af bátnum.
Do you hear me, Stephanie?	Heyrirðu það, Stephanie.
Don't get off the boat.	Farið ekki í land.
Hey, Stephanie!	Stephanie.
What?	Hvað?
Come up here for a minute, will you?	Komdu aðeins hingað upp.
And there is something else I want you to know.	Svo er annað sem ég vil að þú vitir.
Look at this boat.	Sjáðu bátinn.
I think I need to tell you...	Ég verð að segja þér...
Grab the camera....	Taktu myndavélina.
I have lesions, and I think a lot of people here are not going to make it.... and film it off the side.	Ég er með vefjaskemmdir. Ég hugsa að margir eigi eftir að deyja hérna.
I'm gonna come...	Taktu mynd frá hlið.
Here it comes.	Hérna kemur hann.
But remember, I love you.	Mundu að mér þykir vænt um þig.
And I will try to call again.	Ég reyni að hringja aftur.
Nobody in it.	Það er enginn í honum.
Can you see anyone in the water?	Sérðu einhvern í sjónum?
I don't think we can rule out a food-borne virus or anything airborne, but this looks like a water vector.	Við getum ekki útilokað veiru - sýkingu úr mat eða eitthvað sem berst með loftinu en þetta virðist berast með vatni.
Agreed.	Sammála.
The blistering looks like echinococcosis.	Blöðrurnar eru eins og í sullaveiki.
The lesions could be Microbacterium marinum or schistosomiasis.	Vefjaskemmdirnar gætu verið örbaktería, marinum eða blóðögðuveiki.
I mean, Jesus, there could be cholera in there.	Það gæti jafnvel verið kólera í þessu.
Yeah, but I don't see it spreading this fast.	Já, en ég sé hana ekki breiðast svona hratt út.
If the water's being polluted with anything chemical on top of the bacteria, we could easily be looking at a new form evolve.	Ef vatnið er mengað gætu öll efni sem bætast við bakteríuna valdið breytingu.
Maybe a fungal bacteria, maybe a mutated tapeworm.	Sveppabaktería eða breyttur bandormur.
Who knows?	Hver veit?
I need labs back in two, I need labs back in three!	Ég þarf að fá rannsókn.
Purelax, and I need morphine!	Ég þarf líka morfín.
Somebody call Materials Management... Dr. Abrams!...	Abrams læknir...
I need 6-by-9, I need 4-by-8.	Mig vantar 4x8.
Dr. Abrams.	Abrams.
What?	Hvað?
It's the fellow you amputated.	Það er maðurinn sem þú tókst fótinn af.
What about him?	Hvað um hann?
It's on the other leg. What?	Það er komið í hinn fótinn.
It's on the other leg.	Hvað þá?
Christ.	Það er á hinum fætinum.
I need morphine in two, and I need labs back.	Ég þarf morfín inn á tvö og rannsókn.
I have EPA on the line.	Ég er með Umhverfis - ráðuneytið á línunni.
What the hell is going on at the Chesapeake Bay?	Hver andskotinn er á seyði í Chesapeakeflóa?
What are you talking about?	Hvað áttu við?
Is there anything in there that could cause disease, bacterial outbreak or mutations?	Er eitthvað þar sem gæti valdið sjúkdómum, bakteríusýkingum eða stökkbreytingum?
Well, the bay has been found to have pollutants, algae, agricultural run-off, chicken excrement...	Í flóanum hafa fundist mengandi efni, þörungar, úrgangur frá landbúnaði, hænsnaskítur.
Go on. There was a small leak from a nuclear reactor in 2002, but we weren't expecting it to hit the bay until 2014, but it is coming through the ground, so it could have hit earlier.	Það varð örlítill leki frá kjarnaofni 2002 en við áttum ekki von á að áhrifin sæjust fyrr en 2014. Það kemur um jarðveginn svo það gæti hafa gerst fyrr.
Are people drinking this water?	Drekkur fólk vatnið?
Of course not.	Auðvitað ekki.
The bay is brackish, you can't drink it. But there is a level of seepage into local wells, and, of course, the desalination plant in Claridge.	Flóinn er saltur svo það er ekki drukkið en eitthvað rennur í brunna og svo er auðvitað eimingarstöðin í Claridge.
With that desalination plant, we have increased the capacity for poultry farming in the area.	Með eimingarstöðinni höfum við aukið möguleika til hænsnaræktar á svæðinu.
Those chickens drink about 2,000 gallons of water a day.	Hænsnin drekka um 8 þúsund lítra af vatni á dag.
I think the NEF said it was 0.3 liters of dirty water, so there could be radium or tritium in there.... constructors, pharmaceuticals algae, agricultural run-off, chicken excrement...	Auðgunarfélagið sagði að það væru um 3 lítrar af óhreinu vatni svo það gæti verið radíum eða tritíum þarna, lyfjaefni... MARCIE BATES LÉST KL.23: 27.... þörungar, affall frá landbúnaði hænsnaskítur.
There was a small leak from a nuclear reactor in 2002...	Það lak smávegis frá kjarna - ofni 2002...
And you don't warn anyone?	Þið vöruðuð engan við?
Well, it's not under our regulations to test for radioactivity levels in water, but half the water in America probably has some leaks in it.	Það er ekki okkar hlutverk að mæla geislavirkni í vatni. Helmingur alls vatns í landinu er líklega með leka í sér.
Yeah, but don't you regulate the water?	Fylgist þið ekki með vatninu?
The filtered water has met all regulatory standards.	Síaða vatnið hefur staðist alla mengunarstaðla.
That dome over there has made a big difference for Claridge.	Hvelfingin þarna hefur breytt miklu fyrir Claridge.
Five million pounds of chicken shit dumped into the bay each year.	2,3 milljónir kílóa af hænsna - skít fara árlega í flóann.
This is the best darn water I've ever tasted.	Þetta er besta vatn sem ég hef bragðað.
What are you doing?	Hvað ertu að gera?
Just hold on a sec.	Bíddu bara.
I'm burning up.	Ég er svo heitur.
Let me just put some water on my face.	Ég ætla að skvetta smá vatni á andlitið.
Jesus. That's my cameraman, Jim White.	Þetta er tökumaðurinn minn, Jim Wait.
Hey, Katie Couric, can you just chill the fuck out for two seconds?	Slakaðu á í tvær sekúndur.
I think that's the only time we actually ever see him.	Þetta er í eina skiptið sem hann sést.
I mean... He died that night, and a lot of this footage is thanks to him.	Hann lést um nóttina og hann tók megnið af þessu upp.
Where are you going?	Hvert ætlarðu?
Governor's office.	Skrifstofa ríkisstjóra.
Yeah, hi, this is Dr. Jack Abrams, I'm at the Atlantic Hospital in Claridge.	Þetta er Jack Abrams læknir á Atlantic sjúkrahúsinu í Claridge.
I need to speak to the Governor.	Ég þarf að ræða við ríkisstjórann.
They are, like, 20 feet in front of us!	Það eru sex metrar fyrir framan okkur.
Stop honking the horn!	Hættu að flauta.
Please stop texting. Please don't be YouTubing this.	Hættu að skrifa SMS, ekki YouTuba þetta.
Please! Would you two calm down, please? Oh, my God, she just said "YouTubing. '	Guð, hún sagði YouTuba.
' We're having an outbreak of some kind here, a medical outbreak, down here in Claridge.	Hér er einhvers konar faraldur á ferð í Claridge.
People are dying here!	Hér er fólk að deyja.
I have been speaking to the CDC, they are moving at a snail's pace...	Ég hef rætt við Sóttvarnir og þeir eru í hægagangi.
Listen, I will pass the message on to the Governor as soon as he gets back.	Ég kem þessu til ríkisstjórans um leið og hann snýr aftur.
What do you mean, you have it?	Hvað áttu við með að þú sért með það?
Well, go!	Farðu fram og taktu alla upp sem eru...
Go.	Ekki mig.
Don't document me, don't waste the damn film.	Sóaðu ekki filmu á mig.
Get back in, please.	Komdu aftur inn.
Nobody ever got off that bridge.	Enginn hefur komist af brúnni.
It was shut down for three days, actually.	Hún var lokuð í þrjá daga.
I did a lot of research, there's no record of who ordered it shut down.	Ég kannaði málið en hvergi er skráð hver lét loka henni.
I got it on auto-pilot. Oh, good. Yeah.	Ég er með hann á sjálfstýringu.
GPS is amazing.	GPS er merkilegt.
Oh, yeah? They've really mastered the technology. Yeah, huh?	Þeir hafa náð góðum tökum á tækninni.
It said take the next right, though, and I don't know what they're referring to.	Tækið sagði: Næst til hægri og ég veit ekki hvað er átt við.
Just go around in circles.	Farðu bara í hring.
That's fine by me.	Það hentar mér ágætlega.
You know we don't have to be here.	Við þurfum ekki að vera hér.
They're not going to post any of this.	Þeir senda ekkert af þessu.
The FBI's not going to allow it.	FBI leyfir það ekki.
What was that?	Já, hvað var það?
What the fuck is that?	Hver andskotinn er þetta?
I'm sorry. Sorry.	Fyrirgefið.
You're saying that you were hearing these screams across the water, you could hear...	Þú segist hafa heyrt ópin alls staðar að frá hafi.
I'm sorry, the Skype broke up a little bit.	Afsakaðu, það voru truflanir.
What did you say?	Hvað sagðir þú?
It was far away, but...	Það var langt í burtu.
It was very ghost-like.	Það var mjög draugalegt.
You know, I... And the pain in the people's voices.	Sársaukinn í röddum fólksins...
I could hear them. They were like cries, or...	Þetta voru sársaukaóp, áköll um aðstoð.
But you didn't know where anyone was?	Þú vissir ekki hvar neinn var?
No. I had no idea where anybody was.	Nei, ég hafði ekki hugmynd um hvar þau voru.
Be advised.	Takið eftir.
I need you to respond to the corner of St. James and High Market.	Farið á mót St. James og High Market.
We just had a phone call in reference to hearing some screaming or some type of loud verbal noises from across the street.	Kona hringdi og tilkynnti öskur eða einhverjar háværar raddir handan við götuna.
You think it's like a group, or one person?	Heldurðu að það sé hópur eða ein manneskja?
I don't know. All right.	Ég veit það ekki.
Maybe one of those cults, you know, like they were talking about on the radio?	Kannski einhver trúarhópur eins og rætt var um í útvarpi.
I don't know.	Ég veit það ekki.
All right, man. Stay here.	Við sjáumst þá.
Keep your eyes out, huh?	Hafðu augun hjá þér.
All right.	Allt í lagi.
Police!	Lögreglan, opnið.
Open up! Police!	Lögreglan, opnið.
I'm gonna go in.	Ég ætla inn.
Hello?	Halló?
This is Donna Thompson reporting from what used to be the fairgrounds of the July 4th party.	Þetta er Donna Thompson á því sem var hátíðarsvæði 4.júlí hátíðarhaldanna.
At the moment, we are not quite sure what's going on...	Við erum ekki viss um hvað er að gerast.
Central!	Miðstöð.
This is SM-1012.	Þetta er SM-1012.
Be advised, shots fired.	Takið eftir, skotum hleypt af.
Shots fired at 362 St. James Street.	Skotum hleypt af á St. James 362.
Send assistance immediately.	Við þurfum aðstoð strax.
Central, advise.	Miðstöð, takið eftir.
Did you copy?	Heyrið þið?
I don't know if anyone's listening there!	Ég veit ekki hvort einhver er að hlusta.
I'm going to enter the premises now.	Ég fer inn.
SM-1018 is currently inside.	SM-1018 er inni.
They're not dying.	Nei, þau eru ekki að deyja.
They're all dying!	Þau eru öll að deyja.
I don't know what they are!	Ég veit ekki hvað það er.
What is on those people?	Hvað er á fólkinu?
They're crawling out of their bodies! Please!	Það skríður út úr líkömum þeirra.
Wait!	Bíddu.
Wait! Jim!	Bíddu.
Jim!	Jim.
No, no, no, it's me, Paul!	Nei, þetta er ég, Paul.
This is Cessna 157.	TALSTÖĐVARSAMSKIPTI VlĐ STRANDGÆSLUNA Þetta er Cessna 157.
Go ahead, Cessna 157.	Gerðu svo vel, Cessna 157.
Yeah, I'm just trying to figure out what the hell is going on.	Ég er að reyna að átta mig á hvað er að gerast.
I know they shut down all the roads going into Claridge, but now I'm flying over the water here, and...	Ég veit að öllum vegum til Claridge var lokað en nú er ég að fljúga yfir hafinu.
Well, there's just a shitload of dead fish everywhere.	Það er dauður fiskur um allt.
Did you say dead fish?	Sagðir þú dauður fiskur?
I don't know how many, but it goes as far as I can see.	Ég veit ekki hve mikið en hann nær yfir allt sjónsviðið.
So you just got this?	Voruð þið að fá þetta?
Yeah, from a research professor at the University of Maryland.	Já, frá rannsóknarmanni við háskólann í Maryland.
And this Cymothoa exigua, do we have any information on this?	Vitum við eitthvað um þetta cymothoa exigua?
Yeah, the exigua is a crustaceous isopod normally found in the Pacific.	Já, exigua er járnfætlukrabbi sem finnst í Kyrrahafi.
It's been making a number of appearances in the Atlantic.	Hann hefur birst nokkrum sinnum í Atlantshafinu.
Last year they found a two-and-a-half-foot one trying to burrow its way into a submarine.	Á síðasta ári fannst einn sem var 80 cm langur.
The thing thought it was a dead whale.	Hann var að reyna að troðast inn í kafbát sem hann hélt að væri dauður hvalur.
Are you making this up?	Ertu að búa þetta til?
This looks photoshopped.	Er þetta ekki fótósjoppað?
No, it's real.	Nei, þetta er raunverulegt.
So how's that getting into the water supply?	Hvernig kemst þetta í vatnið?
Well, at normal scale, they're quite common.	Þeir eru mjög algengir í eðlilegri stærð.
The fishermen call them sea lice.	Sjómenn kalla þá sælús.
You know, it's this big.	En þetta er svo stórt.
How's it going to get through a filtration system?	Hvernig kemst það gegnum síukerfi?
Well, what about the larvae?	Hvað um lirfurnar?
All right, well, now we're bringing up more questions than we can answer.	Nú spyrjum við fleiri spurninga en við getum svarað.
We gotta find out what happened to those two divers. Yeah?	Við þurfum að komast að því hvað henti kafarana.
Let's go.	Komum.
Okay, here we are.	MYNDBANDSSKÝRSLA HAFFRÆĐINGA 3,2 KM UNDAN STRÖND CLARIDGE 16 JÚNÍ Þá erum við komin.
We've got a nice break in the weather, so we're going to go catch the current out to Claridge, and take an up-close, personal look at these parasites, see what we're dealing with.	Veðrinu hefur slotað svo við notum strauminn til að komast til Claridge og komast í návægi við sníklana. Sjá við hvað við eigum í höggi og litast um.
See, you take a look around, it's beautiful, it's breathtaking, one of the most beautiful estuaries in all of America.	Það er stórkostlega fallegt hér. Þetta er eitt fegursta ármynni í Bandaríkjunum.
You 'd have no idea what's underneath.	Þið hafið ekki hugmynd um hvað er hér fyrir neðan.
How was that?	Hvernig var þetta?
Was that not very good at all?	Alls ekki gott?
It's great.	Fínt.
What?	Hvað?
That was very good.	Það var mjög gott.
Okay.	Einu sinni enn.
One more time, a little crisper.	Aðeins hressilegra.
I feel like I'm sitting very strangely.	Mér finnst ég sitja undarlega.
Do people sit like this?	Situr fólk svona?
Okay. Now bring the camera to me, I'm going to get us some beauty shots here, get a sense of place here.	Komdu með vélina til mín. Ég ætla að ná fallegum myndum svo að fólk skynji umhverfið hér.
You see the vista here, and the sun.	Þið sjáið útsýnið héðan og sólina.
Beautiful water.	Fallegt hafsvæði.
We'll go take a look ourselves.	Við skoðum það sjálf.
You can see in this footage that the oceanographers dove right into a school of fully grown isopods.	Í þessu myndskeiði sjáið þið að haffræðingarnir köfuðu beint niður að torfu fullvaxinna járnfætla.
This is not the sea lice variety, or the larvae.	Þetta eru engar sælýs eða lirfur.
Do you hear that?	Heyrðir þú þetta?
I hear something.	Ég heyri eitthvað.
Yeah, I hear it.	Já, ég heyri það.
It's this way.	Það er hérna.
Do you fucking hear that?	Heyrirðu þetta?
It's some kind of moaning or something.	Það er einhver að stynja.
Can you come closer?	Geturðu komið nær?
What's that?	Hvað er þetta?
What do I need to do, Doctor?	Hvað þarf ég að gera, doktor?
What do I need to do? Well, I would suggest that you and your staff leave the hospital.	Ég legg til að þú og starfslið þitt yfirgefi sjúkrahúsið.
My staff left 20 minutes ago.	Starfsliðið fór fyrir tuttugu mínútum.
Well, good, that's wise.	Gott, það er viturlegt.
Wise? That's...	Viturlegt?
Why is that wise?	Hvers vegna?
Well, because the bacteria, once it's entered the human body...	Því bakterían... Þegar hún er komin inn í líkamann...
It's a miracle you aren't infected already, as a matter of fact.	Það er kraftaverk að þú skulir ekki vera sýktur.
I'm fine.	Ég er hress.
Well, that's good, but what I'm saying is that, at this point, it is too late, Doctor, and I strongly suggest that you leave the hospital immediately.	Það er gott, en ég er að segja að nú sé of seint að gera nokkuð og ég legg hart að þér að þú yfirgefir sjúkrahúsið á stundinni.
I have people in pain here.	Ég er með þjáð fólk hérna.
I'm amputating feet, I'm amputating legs, I'm amputating arms.	Ég er að saga af fætur, fótleggi, handleggi.
You want me to get up and just leave?	Viltu að ég standi upp og fari?
We're aware of that, Doctor, and we are sorry.	Við áttum okkur á því og þykir það leitt.
You need to get somewhere, get some help.	Þú þarft að komast eitthvert og fá aðstoð.
Don't come here, 'cause they're not going to help you.	Komdu ekki hingað. Hér færðu enga hjálp.
And they're not helping me.	Ég fæ enga aðstoð.
It looks like there are dead bodies up there.	Þarna uppi virðast vera lík.
It's only a rash.	Þetta eru bara útbrot.
How can you... I'm serious.	Mér er alvara.
Dead people.	Dáið fólk.
How can people be dead?	Hvernig getur það verið svo slæmt?
They're not breathing, they just collapsed, and no one's coming out to get them.	Það dettur bara niður og enginn kemur og tekur það.
And no one's helping?	Hjálpar enginn því?
No.	Nei, enginn.
No one. Jennifer, is your tongue hurting?	Jennifer, er þér illt í tungunni?
Mine hurts so badly.	Mín er mjög aum.
I don't know what to say. I'm just...	Ég veit ekki hvað skal segja.
I'm really scared.	Ég er mjög hrædd.
I just don't want to hang up.	Ég vil ekki leggja á.
I don't want to be by myself.	Ég vil ekki vera alein.
I can't get anyone...	Ég fæ engan...
Can you see my parents?	KL.21: 03 4.JÚLÍ 2009 Sérðu foreldra mína?
Are they here?	Eru þau hér?
There's a bunch of dead shit in the water.	Það er eitthvað dautt drasl í sjónum.
What is that stuff?	Hvað er þetta?
Have you heard anything from the Governor yet?	Hefurðu heyrt í ríkisstjóranum?
Yes, I talked to him, and the Governor wanted to know if we should call a state of emergency, and I told him to give us a few more hours to get a handle on this.	Já, hann langar að vita hvort við eigum að lýsa yfir neyðarástandi og ég sagðist vilja fá nokkra tíma til að ná tökum á þessu.
And the CDC doesn't even know if it's contagious.	Sóttvarnastofa veit ekki hvort þetta er smitandi.
Look, we've got the National Guard isolating the surrounding communities as a preventative measure.	Þjóðvarðliðið einangrar svæðið til öryggis.
If we get people in here with those hazmat suits, all hell's gonna break loose.	Ef við fáum menn hingað í sóttvarnabúningum verður allt vitlaust.
Now, listen, right now we have no media on this except that student running around with the camera.	Við erum ekki með neina fjölmiðla í þessu nema námsmeyna sem þýtur um með myndavélina.
The FBI shut down her blog, so let's keep it that way.	FBI lokaði blogginu hennar svo við höldum því þannig.
And Lee, you and your deputies have got to get on top of this.	Lee, þú og fulltrúar þínir verðið að ná tökum á þessu.
I lost all contact with my deputies about 30 minutes ago.	Ég missti samband við þá fyrir um hálftíma.
What?	Hvað segirðu?
All right, I'll be by there in about five minutes.	Gott og vel. Ég verð hjá þér eftir fimm mínútur.
You okay? You okay?	Er í lagi með þig?
I don't think I've ever been so scared in my whole life.	Ég held ég hafi aldrei orðið svona hrædd.
Is the blood off my face? What?	Er blóðið farið af andlitinu?
Is the blood off my face?	Hvað segirðu?
Look at his face!	Hver fjárinn?
Oh, my God! Look at his face.	Guð, sjáðu andlit hans.
I was just so fucking scared, I never reported another thing after that until I made this film.	Ég var bara svo hrædd. Ég hef aldrei sagt frá neinu. Síðan þetta gerðist þar til ég gerði þessa mynd.
That was actually the last footage we shot.	Þetta var síðasta skotið sem við tókum.
I'll come and get the rest of this stuff when we figure out where we're going.	KL. 21: 26 4.JÚLÍ 2009 Ég kem aftur og sæki afganginn þegar við vitum hvert við förum.
Where are you leading us, other than off of this dock?	Hvert ætlarðu með okkur annað en af bryggjunni?
This is the quietest 4th of July I have ever seen. We miss the fireworks?	Þetta er hljóðlátasta þjóð - hátíð sem ég hef séð.
What the hell is going on?	Misstum við af flugeldunum?
Yeah, what's with that?	Hvað er um að vera?
Is it really necessary for you to get video of this?	Verður þú að taka þetta upp?
Yes, I am filming the lack of fireworks so we can show your parents we were here for the non-festivities. Oh, great. You know, they'll...	Já, ég tek upp flugeldaleysið svo við getum sýnt foreldrum þínum að við höfum mætt á þessa ekki-hátíð.
When Alex and Stephanie got to Claridge, more than 700 people had died.... family moment, us being lost...	Þegar Alex og Stephanie komu til Claridge höfðu meira en 700 manns dáið.
And here they were, coming in with a baby.... the celebrations for 4th of July.	Þau kom með barnið sitt hátíðahöld á 4. júlí.
If you would turn the damn camera off and help me look for them, that might be a little more useful.	Slökktu á myndavélinni og hjálpaðu mér að leita að þeim. Það gæti gert meira gagn.
I don't want to be out here with a dead body and Andrew here.	Ég vil ekki vera hér með líki og Andrew. Jesús.
I mean, if the numbers you gave me are correct, the amount of steroids in that amount of manure could be accelerating growth by 50, 60 times.	Ef tölurnar sem þú gafst mér eru réttar nægja sterarnir í úrganginum til að auka vöxt 50-60 falt.
That's both in size and quantity.	Þá er átt bæði við stærð og fjölda.
This stuff has so much chemical steroid in it, it will take a little birdy, turn it into a full-grown birdy in 42 days, what Mother Nature would take six months.	Það eru svo miklir sterar í þessu að ungi verður fullvaxinn á 42 dögum í stað sex mánaða eðlilega.
They think it's feeding off the nutrients from the chicken run-off.	Þeir halda að það lifi á næringarefnum úr hænsnaskít.
It must be some kind of mutated version.	Þetta hlýtur að vera stökkbreytt afbrigði.
Isopods shouldn't even be in the brackish water.	Járnfætlur ættu ekki að vera í blönduðum sjó.
I would like to give Buzz a big round of applause for getting these misters going.	Ég vil klappa hressilega fyrir Buzz fyrir að koma þessum úðurum af stað.
Some went in my mouth!	Það fór eitthvað upp í mig.
How's it going to get through a filtration system?	Hvernig kemst það gegnum síurnar?
What about the larvae?... the desalinization plant in Claridge...	Hvað um lirfurnar? Með salteimingarstöðinni í Claridge...
You're looking at a new form evolve.... steroids...... so much chemical steroid in it mutated version...	Þið sjáið nýtt afbrigði verða til. Sterar. Svo mikið af sterum í því stökkbreytt afbrigði...
They found a two-and-a-half-foot one trying to burrow its way into a submarine.	Þeir fundu einn sem var 80 cm á lengd að reynda að bora sér inn í kafbát.
Jane?	Jane.
Jane.	Jane.
Get me... Will you get me the White House?	Gefðu mér samband við Hvíta húsið.
Oh, my God! Oh, my God! Careful, please.	Guð minn góður.
Are you kidding me?	Guð, ertu að grínast.
Holy shit!	Andskotinn.
Oh, my God! What the fuck?	Guð minn góður.
Oh, my God!	Hver andskotinn?
Where the hell are we?	Hvar erum við eiginlega?
Apparently a lot of people came up to Main Street, and they were just waiting for an EMS or an ambulance or someone to come by.	Svo virðist sem margir hafi farið upp á Aðalstræti. Þar beið það eftir sjúkrabíl eða bráðaliði sem ætti leið hjá. Alex...
Alex, I want to go.	Hvert viltu fara?
They were just waiting and hoping.	Þau biðu bara og vonuðu.
Look around you.	Líttu í kringum þig.
Are we gonna get back on the boat in the middle of the night - without any gas? I wanna call the police.	Eigum við að fara aftur í bátinn um miðja nótt án eldsneytis?
Let's go in here. Will you look inside...	Förum hingað inn og jöfnum okkur.
Well, this couldn't be creepier.	Þetta gæti ekki verið óhugnanlegra.
Can you make sure there are no more dead people here?	Geturðu gáð hvort það sé nokkuð fleira látið fólk?
Yes, I'll make sure.	Já, ég skal kanna það.
