Step aside.	Farið frá.
Come on, move.	Núna. Af stað.
Hello?	Áfram.
Where you at?	Hvar ertu?
I'm at home.	Ég er heima.
Where's your mother?	Hvar er mamma þín?
Dad, I told you. She and Keith went to Cancún for a couple of days.	Ég sagði þér að þau Keith fóru til Mexíkó í nokkra daga.
You don't have to check up on me.	Þú þarft ekki að fylgjast með mér.
Your friend from the FBI is here.	Félagi þinn frá FBI sagði mér allt.
He told me everything. Let me talk to him.	Leyfðu mér að tala við hann.
He wants to talk to you.	Hann vill tala við þig.
Hey, Sharp.	Blessaður.
How are your witnesses doing?	Hvernig líður vitnunum?
Everyone safe?	Er öllum óhætt?
You're making a big mistake.	Þetta eru mikil mistök, Zane.
I was just telling Emma that a desperate guy is trying to cover a crime... and if he couldn't get to you, he might come looking for her.	Ég sagði Emmu að örvæntingarfullur náungi vildi breiða yfir glæp og ef hann fyndi þig ekki gæti hann leitað að henni.
Don't worry.	Vertu rólegur, ég er hér.
I'm here now, and everything's cool.	Það er allt í góðu lagi.
Emma doll, is there any more coffee?	Er til meira kaffi?
Sure, Mr. Zane.	Já, herra Zane.
I'm a dead man, Sharp.	Ég er dauðans matur.
I don't care about your witnesses anymore.	Mér er sama um vitnin.
All I want is the money Ball stole from Cortland.	Ég vil peningana sem Ball stal frá Cortland.
Put your keys in the bag and get out of the truck with the money.	Settu lyklana í töskuna og farðu út úr bílnum með peningana.
Bag on the ground.	Settu töskuna á jörðina.
Put your weapon in the bag.	Settu byssuna í töskuna.
Put your cell phone in the bag, get back in the truck... and handcuff yourself to the steering wheel.	Settu gemsann í töskuna, farðu aftur inn í bílinn og handjárnaðu þig við stýrið.
Don't try any tricks, Sharp.	Engar kúnstir, Sharp.
I will shoot her right here and now.	Annars skýt ég hana.
Thanks, Roland.	Takk, Roland.
You're a good parent.	Þú ert góður pabbi.
Please board immediately.	Vinsamlegast gangið um borð.
This is the last announcement... for the bus leaving for Laredo, Nuevo Laredo...	Þetta er síðasta tilkynning fyrir rútuna á leið til Laredo, Nuevo Laredo...
What the hell?	Hver fjandinn?
What are y 'all doing here?	Hvað eruð þið að gera?
Barb's got a plan.	Barb er með hugmynd.
Barb has a plan?	Er Barb með hugmynd?
You know what you're doing?	Veistu hvað þú ert að gera?
I spent a year in juvenile detention for stealing cars.	Ég dvaldist ár á unglingaheimili fyrir að stela bílum.
It was an educational experience.	Það var góður skóli.
How 'd y 'all get here?	Hvernig komust þið hingað?
Brand-new car.	Glænýr bíll.
I think I'm having the baby.	Ég held ég sé að fæða.
I can't.	Ég get það ekki.
Evie, get it together.	Evie, taktu þér tak.
I know you can do it. Just breathe.	Reyndu bara að anda.
Come on. Breathe.	Andaðu nú.
Ready?	Tilbúin?
Driver, stop the bus!	Bílstjóri, stöðvaðu rútuna!
My friend's having a baby!	Vinkona mín er að fæða!
I did it!	Það tókst!
I have to get off el autobús!	Ég verð að fara úr rútunni!
I have to have my baby in America!	Ég verð að fæða í Bandaríkjunum!
I've got the bags.	Ég er með töskurnar.
Whoa, that's my bag. No, it's mine. It's my bag. Hi, Emma. We're friends of your dad's, so just follow me, okay?	Þetta er taskan mín. Nei, mín. Þetta er mín. Hæ, Emma, við erum vinkonur pabba þíns, fylgdu okkur.
Look, it's my bag, okay? Drop the bag.	Þetta er taskan mín. Slepptu töskunni.
It's my bag!	Þetta er taskan mín!
Drop the bag.	Er allt í lagi?
Yeah.	Já.
It's just like dismounting a stretch pyramid.	Þetta er bara eins og á æfingu.
Off the bus!	Allir út!
You ready?	Ertu tilbúin?
One, two.	Einn, tveir.
Move it!	Drífa sig!
Come on, Emma.	Komdu, Emma.
Are you guys serious?	Eruð þið að grínast?
I'm a math major.	Ég er á stærðfræðibraut.
Move it!	Drífa sig!
You, too!	Þú líka.
Off the bus, now!	Út með þig!
Come on, you can do it!	Þú getur þetta.
Jump!	Stökktu!
You all right?	Er allt í lagi?
And I need you to testify.	Þú þarft bara að bera vitni.
You're gonna have to kill me, Sharp.	Þú verður að drepa mig, Sharp.
God!	Almáttugur!
Damn.	Fjandinn.
Looking sharp, Sharp. I don't know.	Sex mánuðum síðar... þú ert flottur, Sharp.
Maybe we should do another mask.	Kannski þarf hann annan maska.
Oh, my God, I'm so sorry. I almost forgot.	Ég var næstum búin að gleyma því.
Cute.	Sætt.
Oh, my God!	Guð minn góður, fyrirgefðu!
I'm so sorry.	Fjandinn.
The language! Hello, we're in a church.	Ekki blóta, við erum í kirkju.
Look at you.	Sjá þig.
Could you excuse us for a second?	Gætuð þið haft okkur afsökuð?
Sure.	Auðvitað.
Yeah, okay.	Allt í lagi.
Don't be nervous.	Vertu ekki stressaður.
And Sharp, remember, inspire and electrify, okay? See you.	Og mundu það, Sharp, hvetja og skapa stemmningu.
Great.	Bless.
I feel like a freak show in this dress.	Mér líður eins og viðundri í þessu.
Prettiest freak show I ever saw.	Þú ert sætasta viðundur sem ég hef séð.
Wait till they see you at Vassar.	Þeir verða hrifnir í Vassar.
Actually... I was thinking of turning Vassar down and becoming a cheerleader.	Reyndar var ég að hugsa um að hafna Vassar og gerast klappstýra.
Dad, that was a joke. A joke.	Pabbi, þetta var grín.
That's why I'm laughing so hard.	Þess vegna hlæ ég svona mikið.
I love you, Daddy.	Ég elska þig, pabbi.
I love you, too, baby.	Ég elska þig líka, ljúfan.
Dearly beloved... we are gathered here for this most... splendiferous and loquacious occasion... to join this couple in holy matrimony.	Ágætu vinir, við erum samankomin af því dýrðlega tilefni að vígja þetta par í hjónaband.
Now, Roland... do you promise to love this woman, and... before you answer, remember that...	Roland, lofar þú að elska þessa konu, og áður en þú svarar, mundu að...
Percy!	Percy!
Get on with it.	Áfram með þetta.
Sure, but of course.	Sjálfsagt.
Well, do you?	Og gerir þú það?
I do.	Já.
And, Molly... radiant, beautiful Molly.	Og, Molly, hin fagra og geislandi Molly.
Molly.	Molly.
Good Golly, Miss Molly.	Good Golly, Miss Molly.
Do you promise to love Roland... when he is odiferous... indifferent, belligerent?	Lofarðu að elska Roland þegar fýlan af honum er vond, þegar hann er fjarlægur og nöldursamur.
I do.	Já.
You do?	Já?
I do.	Já.
I now pronounce you man and wife.	Í nafni Texas-fylkis lýsi ég ykkur hjón.
You may kiss your bride.	Þú mátt kyssa brúðina.
Come on, y 'all, let's get this party started.	Við skulum hefja fjörið.
Who put this table here?	Hver setti borðið hérna?
Ripped by: SkyFury 100 2005 Action,Comedy English USA 11542 35 6 1535 0 0 windows-1252 01:32:13,399 1.0 2005-08-07 1/1 English 1211	Ripped by: SkyFury 1185 Icelandic 1.0 1/1 2005-08-07 01:32:13,399 USA 100 Action,Comedy 2005 English 0 1385 0 8609 5 iso-8859-4 0
We should get this repaired.	Við þurfum að láta gera við þetta.
I'm going to bed.	Ég ætla í rúmið.
Good night.	Góða nótt.
I'll be up soon.	Ég kem bráðum upp.
Now, it gives me great pleasure to welcome... our new deputy superintendent, Dr. Max Raphael.	Mér er það mikil ánægja að bjóða velkominn okkar nýja aðstoðaryfirlæki, dr. Ma x Raphael.
And we also welcome his wife, Stella, and their fine young fellow, Charlie.	Einnig bjóðum við velkomin eiginkonu hans, Stellu, og þeirra unga son, Charlie.
And we wish you many contented years here, among the confined and confused.	Við óskum ykkur margra ánægjulegra ára hér á meðal hinna innilokuðu og rugluðu.
I refer, of course, to the present company, not to the patients.	Þá á ég að sjálfsögðu við þennan félagsskap hér, en ekki sjúklingana.
Please forgive the latecomer.	Afsakaðu hvað ég er seinn.
A rather delicate moment with our new matricide.	Frekar viðkvæmt augnablik með okkar nýja móðurmorðingja.
Did I miss anything?	Missti ég af einhverju?
Perfect timing.	Þetta er fullkomin tímasetning.
Peter, I 'd like to introduce you to Mrs. Raphael.	Ég ætla að kynna þig fyrir frú Raphael.
Yes, of course.	Já, afsakið.
Peter Cleave. How do you do? Stella Raphael.	Ég er Peter Cleave. Stella Raphael.
Peter is our longest-serving doctor here.	Peter hefur verið læknir hér lengst af okkur öllum.
I'm fixtures and fittings. Forgive me.	Ég er eins og einn af innréttingunum.
I need that sausage.	Afsakið, ég verð að fá þessa pylsu.
What's your field, Dr. Cleave?	Hver er þín grein, dr. Cleave?
Peter, please.	Kallaðu mig Peter.
Dangerous sport, love.	Ástin er hættuleg íþrótt.
I'm not sure I have the stomach for it.	Ég er ekki viss um að ég þoli hana.
I've been married for 12 years.	Ég hef verið gift í tólf ár og aldrei hugsað um það sem íþrótt.
I'm not sure I've ever thought of it as a sport.	Hjónaband er allt annað.
I'm talking about passion.	Ég var að tala um ástríðu.
What did Cleave have to say for himself?	Hvað hafði Peter að segja?
This and that.	Hitt og þetta.
I rather liked him.	Ég kann vel við hann.
Trust me, he's got fangs.	Hann er með vígtennur.
Who has?	Hver?
Count Dracula.	Drakúla.
He wanted my job.	Hann vildi fá mitt starf.
Thought he deserved it for his years of loyalty.	Fannst að hann ætti það skilið fyrir margra ára tryggð.
Why didn't you speak to any of the other wives?	Af hverju talaðir þú ekki við eiginkonurnar?
There wasn't time.	Það var enginn tími.
But I'm so looking forward to our coffee mornings.	En ég hlakka til "kaffi morgna" okkar.
You will involve yourself in the life of the hospital. It's expected. Of course.	Það er ætlast til að þú takir þátt í lífinu á sjúkrahúsinu.
Now, the band.	Auðvitað.
I thought last year's was splendid.	Mér fannst hljómsveitin í fyrra frábær.
Agreed?	Sammála?
Yes, but can we have some slower numbers this time?	Já, en getum við haft rólegri tónlist núna?
Stella, would you like to commandeer the fruitcake?	Stella, vilt þú taka að þér ávaxtakökuna?
I 'd be honored. Lovely.	Mér væri heiður að því.
And if you'll forgive the reminder, no liqueur.	Og þú fyrirgefur áminninguna.
Alcohol, dear.	Engan líkjör.
Alcohol for the patients, verboten. Help me!	Alkóhól fyrir sjúklingana er bannað.
Help me!	Hjálp!
Help me! Help!	Hjálpið mér!
Help me! Are you joining us?	Ætlar þú að vera með okkur?
No, I'm not.	Nei, ég er ekki... Þessa leið.
No. It's this way. No. But you're not allowed in the corridor!	Það er bannað að vera á ganginum.
Come back!	Komdu til baka!
One never quite knows what one might find.	Það er aldrei að vita hvað maður getur fundið.
Do the male and female patients ever mix?	Eru kven - og karlkyns sjúklingum blandað saman?
Yes, of course. At the annual hospital ball.	Já, auðvitað á árlega sjúkrahússballinu.
How did my predecessor fill her days?	Hvernig eyddi fyrirrennari minn dögunum?
She sewed. Tapestry.	Hún saumaði veggteppi.
One year, she did all the hospital, seen from above.	Eitt árið saumaði hún mynd af spítalanum.
Mommy!	Mamma!
Come and see!	Komdu og sjáðu!
What, darling?	Hvað, elskan?
Edgar, this is my mother. We've invented a test of strength.	Komdu og sjáðu Edgar, þetta er mamma mín. Við fundum upp hvernig hægt er að prófa krafta.
Will you time us?	Viltu taka tímann?
I don't have my watch on, darling.	Ég er ekki með úrið mitt, elskan.
Just count then.	Teldu bara.
Ready and lift.	Tilbúinn?
Go. 1, 2, 3, 4, 5...	Og lyfta.
11, 12, 13... 14, 15, 16...	Einn, tveir, þrír...
Put him down.	Láttu hann niður!
Sorry.	Fyrirgefðu.
I didn't see you there, Mrs. Raphael.	Ég sá þig ekki, frú Raphael.
Come on, Charlie.	Komdu, Charlie.
Thank you, Mrs. Bain.	Þakka þér fyrir, frú Bain.
Charlie's made a new friend, that man doing the glasshouse.	Þennan mann sem er að gera við glerhúsið.
Oh, good.	Gott.
Is he safe?	Er hann öruggur?
He wouldn't be in our garden if he wasn't.	Hann væri ekki í garðinum okkar ef hann væri það ekki.
Working is a privilege.	Vinna er forréttindi.
It can take years to earn it.	Það getur tekið mörg ár að verðskulda hana.
Is he one of yours?	Vernver Er hann einn af þínum?
No, Cleave's.	Nei.
His favorite, I think.	Hann er uppáhald Cleaves, held ég.
Favorite?	Uppáhald?
It's not unusual to have a pet patient.	Það er ekkert óvenjulegt að eiga uppáhalds sjúkling.
Who's yours?	Hver er þinn?
You.	Þú.
Why is Peter Cleave so taken with him?	Af hverju er Peter Cleave svona hrifinn af honum?
You know him, fancies himself an aesthete... and the fellow used to be a sculptor.	Hann þykist vera listunnandi og náunginn var myndhöggvari.
What did he do?	Hvað gerði hann? Höfuð, held ég.
Heads, I think.	Nei, ég meinti...
No, I meant... I know what you meant.	Ég veit hvað þú meintir.
I interviewed him myself.	Ég talaði sjálfur við hann.
Charlie is perfectly safe.	Charlie er alveg öruggur.
Hello. I'm sorry about the other day.	Mér þykir þetta leitt, þarna um daginn.
I hope you didn't get into trouble.	Vonandi lentir þú ekki í neinum vandræðum.
No more than I'm in already, Mrs. Raphael.	Ekki meiri vanda en ég er í, frú Raphael.
My husband tells me you were a sculptor.	Maðurinn minn sagði að þú hefðir verið myndhöggvari.
I still am.	Ég er það enn.
May I ask how long you've been here? You may.	Má ég spyrja hvað þú hefur verið hér lengi?
And?	Þú mátt það. Og?
Six years.	Í sex ár.
I killed my wife.	Ég drap konuna mína.
She betrayed me.	Hún sveik mig.
Mrs. Raphael.	Frú, Raphael!
What have you done to him?	Hvað hefurðu gert honum?
Mrs. Raphael!	Frú, Raphael!
He was climbing a tree. He fell.	Hann var að klifra í tré og datt.
Can Edgar stay for tea?	Má Edgar drekka te með okkur?
I'm afraid he can't.	Ég er hrædd um að hann geti það ekki.
He... I've got to get back to work, Charlie.	Ég verð að fara aftur að vinna, Charlie.
Thanks.	Þakka þér fyrir.
How is he?	Hvernig líður honum?
He's fine, thank you.	Vel, þakka þér fyrir.
I don't think he'll be climbing any trees just yet.	En ég held að hann fari ekki stra x að klifra í trjám.
I don't know.	Ég veit ekki.
Not my position... but I reckon he's an adventurer.	Þetta er ekki mín staða... en ég held að hann sé ævintýramaður.
You might be right.	Það er kannski rétt.
I suppose he gets that from you.	Ég reikna með að hann hafi það frá þér.
I doubt it.	Ég efa það.
It must be your husband then.	Áhugaverður kjóll.
Is that a compliment?	Er þetta hrós?
Yes.	Já.
Might it be a touch too revealing, given the occasion?	Hann sýnir kannski aðeins og mikið, miðað við tilefnið.
I'll mention it to my dressmaker.	Ég skal nefna það við saumakonuna mína.
What a good idea.	Góð hugmynd.
United front.	Í fremstu víglínu.
May I have the pleasure? Can you keep a secret?	Geturðu þagað yfir leyndarmáli?
Depends what it is.	Það fer eftir því hvað það er.
Jack told me he's planning to retire next year.	Jack sagðist ætla að hætta á næsta ári.
I wonder who he's recommending as his successor.	Hverjum skyldi hann mæla með sem eftirmanni sínum?
Would it be someone I know?	Er það einhver sem ég þekki?
It would.	Já.
Is it Peter Cleave?	Er það Peter Cleave?
Very droll.	Afar kostulegt.
Congratulations.	Til hamingju.
That's wonderful news.	Þetta eru frábærar fréttir.
It'll be a huge commitment for both of us.	Þetta getur verið mikil skuldbinding fyrir okkur bæði.
I know it's not exactly ideal here for you and Charlie, but it'll change.	Ég veit að það er ekki beint fullkomið hér fyrir ykkur Charlie, en það mun breytast.
We'll have that house and a garden.	Við höfum húsið í garðinum.
We'll be able to settle.	Við getum komið okkur fyrir.
Thank you for dancing with me.	Þakka þér fyrir að dansa við mig.
I can't take those.	Ég get ekki tekið við þessu.
You could take what they mean.	Þú getur tekið það sem þau þý ða.
Hello, Mr. Archer.	Sæll, herra Archer.
Break over!	Pásan er búin!
How are you finding Mrs. Raphael?	Hvernig kanntu við frú Raphael?
I don't have much to do with her.	Ég hef lítið af henni að segja.
I'm busy with my work.	Ég er upptekinn við vinnuna.
But Mr. Archer tells me of your recent interest in horticulture.	En herra Archer segir mér að þú hafir nýlega fengið áhuga á garðyrkju.
She's kind to me.	Hún er góð við mig.
I gave her some flowers a few weeks ago.	Ég gaf henni blóm fyrir nokkrum vikum.
And you danced with her.	Og þú dansaðir við hana.
Only to show you I can behave myself with a woman.	Bara til að sýna að ég kann að haga mér með konu.
I don't doubt it.	Ég efa það ekki.
You're pleased with my progress? I'm not here to judge you.	Ertu ekki ánægður með framför mína?
We still have many mountains to climb.	Við eigum enn eftir að klífa mörg fjöll.
I've always done everything you've asked.	Ég hef alltaf gert eins og þú biður mig.
Indeed, but that does not make you ready for the world.	En það gerir þig ekki tilbúinn fyrir heiminn.
But you've cured me.	En þú hefur læknað mig.
Of what exactly?	Af hverju, nákvæmlega?
Severe personality disorder... with features of morbid jealousy.	Miklum persónuleika röskunum og sjúklegri afbrý ðisemi.
Continue with your work, and we'll continue to take a view.	Haltu áfram þinni vinni og við höldum áfram að skoða þetta.
Any news on the job?	Einhverjar fréttir varðandi starfið?
You'll be the first to know.	Þú verður sú fyrsta sem fær að heyra þær.
Stella behaving herself?	Hagar Stella sér vel?
Yes, Mother.	Já, mamma.
That fellow's done wonders with your glasshouse.	Þessi náungi hefur gert kraftaverk á glerhúsinu.
Yes, it's scrubbed up rather well, hasn't it?	Já, það hefur tekist vel, ekki rétt?
Our rockery resembles Berlin in' 45.	Steinbeðið okkar líkist Berlín árið 1945.
Perhaps you could pass him over to us.	Kannski geturðu geturðu lánað okkur hann?
It's your imagination.	Þetta er þín ímyndun.
He is attractive.	Hann er aðlaðandi.
Did he do something rather nasty?	Gerði hann eitthvað ljótt?
He murdered his wife.	Hann myrti konuna sína.
Obviously sane.	Hann er greinilega heill á geðsmunum.
Can't think why we got him.	Ég skil ekki af hverju við fengum hann.
What will happen to him?	Hvað verður um hann?
I have no idea.	Ég hef ekki hugmynd.
That's Peter's department.	Það er Peters deild.
I suspect he will be overhauling rockeries for a good few years to come.	Hann verður sennileg að laga steinbeð í nokkur ár enn.
Here's to locking the door and throwing away the key.	Skál fyrir að læsa dyrunum og henda lyklinum.
What the hell is wrong with you?	Hver fjandinn er að þér?
You had no right to say that.	Þú hafðir engan rétt á að segja þetta.
The way he casually dismissed that man's whole future, it was sickening.	Hann vísaði rólega frá allri framtíð mannsins.
Policy is not your concern.	Stefnumál koma þér ekki við.
I thought the policy was to reform.	Ég hélt að stefnan væri að bæta fólkið.
It's none of your bloody business!	Þér kemur þetta ekkert við!
Is it really so difficult to behave?	Áttu virkilega svona erfitt með að haga þér?
Like the other wives?	Eins og hinar eiginkonurnar?
Like the other little ladies?	Hinar litlu dömurnar?
Here, let me show you.	Í hreinskilni sagt, já.
Not here.	Ekki hér.
Oh, no! I just had a bath.	Hvað ertu að gefa í skyn?
Your point being? I forgot my checkbook.	Ég gleymdi ávísanaheftinu.
Oh. Where did you last see it?	Hvar sástu það síðast?
Well, I don't know, do I?	Ég veit það ekki, er það?
Here it is.	Hér er það.
Here we go, young man. Let's go to the zoo. Shall we do that first?	Jæja, ungi maður, nú förum við í dýragarðinn.
Are you all right?	Er eitthvað að?
Have you seen a ghost?	Hefurðu séð draug?
What's the matter, darling?	Hvað er að, elskan?
There was a patient.	Það var sjúklingur.
What patient?	Hvaða sjúklingur?
Where?	Hvar?
In the house.	Í húsinu.
He might've been in Mommy's bedroom.	Hann var kannski í svefnherbergi mömmu.
Who was he?	Hver var hann?
Do you know him?	Þekkirðu hann?
Can I use the phone, please?	Má ég nota símann?
Is everything all right?	Er ekki allt í lagi?
It's been suggested that your dealings with Edgar Stark... went beyond propriety. Suggested by who? John Archer.	Það hefur verið gefið til kynna að viðskipti þín við Edgar Stark hafi farið út fyrir allt velsæmi.
And there have been whispers among the patients.	Gefið til kynna af hverjum? John Archer.
These rumors soon get back to me.	Og sjúklingarnir hafa verið að hvíslast á.
Naturally, I give them no credence... but I do need to know why they might have arisen.	Þessi orðrómur komst fljótt til mín. Auðvitað lagði ég enga trú á þetta, en ég verð að vita af hverju þetta hefur komist á kreik.
Stella talked to Stark in the garden.	Stella talaði við Stark í garðinum.
She talks to many of the patients.	Hún talar við marga sjúklinga.
What of it? Stella?	Hvað með það?
Well, Charlie was fond of him so of course I spoke to him occasionally.	Auðvitað talaði ég við hann öðru hvoru.
You danced with him at the ball.	Þú dansaðir við hann á ballinu.
I danced with you, too.	Ég dansaði líka við þig.
I'm afraid it's true.	Guð minn góður.
Does Max know?	Veit Ma x þetta?
I suspect so.	Mig grunaði það.
It's a bloody catastrophe!	Þetta er hörmulegt!
The Home Office will be apoplectic, and in my last year.	Og það á mínu síðasta ári.
Doubtless they'll require a head to roll.	Vafalaust verður heimtað að höfuð fjúki.
Well, they're not having mine!	Og þar fer mitt.
Did you never think the man might try to escape?	Datt þér aldrei í hug að maðurinn reyndi að strjúka?
Of course not.	Auðvitað ekki.
Otherwise, I would have prevented it.	Þá hefði ég komið í veg fyrir það.
Well, you were right about Max. He's not for us.	Þú hafðir rétt fyrir þér í því að Max er ekki fyrir okkur.
Appalling, bloody stupid woman!	Þessi hræðilega heimska kona!
She practically chauffeured the man out of the door!	Hún nánast keyrði manninn út um dyrnar. Og eiginkonan...
As for the wife, never in 40 years.	Aldrei á fjörutíu árum...
He obviously has no control over her.	Hann hefur greinilega enga stjórn á henni.
Who will be her next prey, for God's sake?	Hver verður hennar næsta bráð?
He'll have to go.	Þau verða að fara.
May I suggest that we don't toss that particular bone to the press?	Má ég stinga upp á að við köstum ekki þessu sérstaka beini til pressunnar.
At least, not yet.	A.m. K. Ekki strax.
We'll be crucified in the papers as it is.	Þú verður krossfestur í blöðunum.
They love a madman on the loose.	Og þau elska brjálæðing á flótta.
We must preserve the integrity of the hospital for the future.	Við verðum að varðveita heiðarleika sjúkrahússin fyrir framtíðina.
Peter, when the Inspector arrives... do you think we can play down the more lurid aspects... of Stark's recent activities?	Þegar rannsóknarlögreglan kemur, heldurðu að við getum gert lítið úr þessu hræðilega framferði Starks undanfarið?
Naturally.	Auðvitað.
Do you think Stella helped him to escape?	Heldurðu að Stella hafi hjálpað honum að flýja?
Not particularly.	Ekki endilega.
She was manipulated.	Hún er klók.
I suspect she's fallen in love with him.	Mig grunar að hún sé ástfangin af honum.
You're fixated. That's why you passed him fit for work when you knew he was unstable.	Hann var þitt uppáhald, þess vegna sagðir þú hann hæfan til vinnu þó þú vissir að hann væri óstöðugur.
Drivel.	Blaður.
Your wife destabilized him.	Eiginkona þín gerði hann óstöðugan.
Just get on with your work and keep quiet.	Haltu bara áfram þinni vinnu og þegiðu.
I might remind you that I'm your superior.	Má ég minna þig á að ég er þinn yfirboðari.
In what sense?	Hvað lengi?
You're supposed to time me.	Þú áttir að taka tímann.
I'm sorry, darling.	Fyrirgefðu, elskan.
If they catch him, will he be in trouble?	Lendir hann í vandræðum ef þeir ná honum?
I don't think they will catch him.	Ég held að þeir nái honum ekki.
He's been gone too long.	Það er of langt síðan hann fór.
I think he's on a boat sailing back to Australia.	Ég held hann sé á skipi sem er á leiðinni til Ástralíu.
I think you should come and talk to me.	Ég held að þú ættir að koma og tala við mig.
Unofficially, of course.	Óopinberlega, auðvitað.
Let me help you.	Leyfðu mér að hjálpa þér.
I might go up to town tomorrow and do some early Christmas shopping.	Ég fer kannski í bæinn á morgun til að kaupa jólagjafir.
Something for me?	Eitthvað handa mér?
Wait and see.	Bíddu og sjáðu.
I'm Nick.	Ég er Nick.
It was me on the phone.	Það var ég sem hringdi.
Why were you so late?	Af hverju ertu svona seinn?
Had to be sure you weren't followed.	Ég varð að fullvissa mig um að enginn elti þig.
How do you know him?	Hvernig þekkirðu hann?
I was his assistant... before.	Ég var aðstoðarmaður hans...
Did you think I 'd abandoned you?	Hélstu að ég myndi yfirgefa þig?
I couldn't contact you till it was safe.	Ég gat ekki haft samband fyrr en það var öruggt.
And it's safe now?	Og er það "öruggt" núna?
How was London?	Hvernig var London?
Busy.	Mannmörg.
I saw something for you, but they didn't have your size.	Ég sá svolítið handa þér en þitt númer var ekki til.
I have to go and collect it next week.	Ég verð að fara í næstu viku og sækja það.
Successful trip?	Árangursrík ferð?
You find what you were after?	Fannstu það sem þú leitaðir að?
Yes.	Já, loksins. Hvar er það?
Finally.	Það sem þú keyptir í London.
Where is it?	Hvar er það?
Show me!	Sýndu mér hvað þú keyptir!
Damn you!	Sýndu mér það, helvítið þitt!
Happy Christmas.	Gleðileg jól.
Forgive me.	Fyrirgefðu.
Does he suspect?	Grunar hann eitthvað?
He's buried in his work.	Hann er á kafi í vinnu.
Do you share a bed?	Deilið þið rúmi?
I'm yours.	Ég er þín.
So don't go back to him.	Farðu þá ekki aftur til hans.
Come and live with me.	Búðu hjá mér.
I can't just leave my family.	Ég get ekki yfirgefið fjölskyldu mína.
Yes, you can.	Jú.
Give them up or don't come back.	Gefðu hana upp á bátinn eða hættu að koma.
Once you're here, we'll find a way to bring Charlie, too.	Þegar þú ert komin, finnum við leið til að fá Charlie.
Please. I can't share you.	Ég get ekki deilt þér með öðrum.
Decide.	Ákveddu þig.
How is Edgar?	Hvernig líður Edgar?
What on earth do you mean?	Hvað í ósköpunum áttu við?
Your housekeeper let slip you're taking regular trips to London.	Ráðskona þín sagði óvart að þú færir reglulega til London.
You're seeing him, aren't you?	Þú ert að hitta hann, ekki rétt?
If you knew women, you 'd know they like to shop occasionally.	Ef þú þekktir konur, vissirðu að þeim þykir gaman að versla.
Don't delude yourself you're in love with a tortured genius.	Ekki blekkja sjálfa þig. Þú ert ástfangin af "misþyrmdum snillingi".
He's a failed artist... infinitely more dangerous both to you and himself.	Hann er mislukkaður listamaður, sem er gríðarlega hættulegur, bæði þér og sjálfum sér.
He's mine, and he needs my help.	Hann er minn og þarfnast minnar hjálpar.
Evidently, he disagrees.	Hann er greinilega ósammála.
You should know what he did to his wife.	Þú ættir að vita hvað hann gerði eiginkonu sinni.
I don't need to know.	Ég þarf ekki að vita það.
I have nothing to do with the man.	Ég hef ekkert með hann að gera.
He beat her to death with a hammer and then decapitated her.	Hann lamdi hana til bana með hamri og afhöfðaði hana.
He took a scalpel and cut out her eyes... and then he hacked at her face as if it were clay.	Síðan tók hann hníf, skar úr henni augun og hjó í andlit hennar eins og það væri úr leir.
Perhaps there won't be any more trips to London.	Kannski verða ekki fleiri ferðir til London.
Perhaps your mental state is too fragile.	Kannski er andlegt ástand þitt of brothætt.
With Max's consent, we can hold you here.	Með samþykki Max getum við haldið þér hér.
Nonsense.	Vitleysa.
But we can.	En við getum það.
For your own safety, of course.	Þér til öryggis, auðvitað.
Stella... tell me where he is.	Stella, segðu mér hvar hann er.
Mrs. B, how do you spell amoeba?	Hvernig stafar maður "amaba"?
With a dictionary, my dear.	Með orðabók, vinur.
Don't ask me.	Ekki spyrja mig.
I've got the brain of an amoeba.	Ég er með amöbu-heila.
She's having a little holiday.	Hún fór í smá frí.
I'm sure she'll be back very soon.	Ég er viss um að hún kemur fljótlega.
Shall I read to you?	Á ég að lesa fyrir þig?
Has she gone to Australia?"	Er hún farin til Ástralíu?
That was Tom's great secret..."the scheme to return home with his brother pirates..." and attend their own funerals."	Þetta var leyndarmál Toms. Ætlunin að koma aftur heim með ræningja litla bróður og vera viðstaddur útför þeirra.
They had paddled over to the Missouri shore on a log, at dusk on Saturday."	Þeir reru yfir Missouri á trjábol á laugardagskvöldi.
Can I move, please?	Má ég hreyfa mig? Uss.
I've got pins and needles.	Ég er með náladofa.
She taught me lots of things.	Þú hefur kennt mér margt, ekki rétt?
Are you following me?	Ertu að elta mig?
No.	Nei.
What? You just like hanging around in markets?	Finnst þér bara gaman að hanga á mörkuðum?
Have you any reason not to trust me?	Hefurðu einhverja ástæðu til að vantreysta mér?
So why have me followed?	Af hverju læturðu þá elta mig?
It won't happen again.	Það kemur ekki fyrir aftur.
Sorry.	Fyrirgefðu.
Why don't you trust me? I said I'm sorry.	Af hverju treystir þú mér ekki?
I'm working.	Ég baðst afsökunar.
You're always working.	Ég er að vinna. Þú ert alltaf að vinna.
Is it?	Er það?
Yes.	Já.
Like being with your husband, is it?	Er þetta eins og að vera hjá eiginmanni þínum.
Yes.	Já.
Just like home? Yes.	Alveg eins og heima?
Yes.	Já.
Like this?	Var hann svona?
Hooray!	Já.
Look at that.	Segðu mér.
Tell me. I miss Charlie.	Ég sakna Charlie.
It's all right.	Þetta er í lagi.
Don't be sad.	Vertu ekki hrygg.
I love you.	Ég elska þig.
