No, a different one.	Ég á við aðra.
I will meet him later, walking the streets of glory.	Ég hitti hann síðar á göngu um stræti dýrðarinnar.
Well, don't be looking for Quincy.	Ekki búast við Quincy þar.
What do we do when they get here?	Hvað gerum við þegar þeir koma?
They ride up. What we want is to get them all in the dugout.	Bíðum þar til þeir eru allir komnir inn í kofann.
I'll kill the last one that goes in, then we'll have them in a barrel.	Ég drep þann síðasta sem fer inn og eftirleikurinn er auðveldur.
You will shoot him in the back?	Skýturðu hann í bakið?
It'll give them to know our intentions are serious.	Þá vita þeir að okkur er alvara.
Then I'll call down, see if they'll be taken alive.	Ég kalla niður og spyr hvort ég geti tekið þá lifandi.
If they won't, I'll shoot them as they come out.	Ef ekki skýt ég þá alla þegar þeir ganga út.
I'm hopeful that three of their party being dead will take the starch out of them.	Vonandi dregur það úr þeim kjark að missa þrjá úr hópnum.
You display great poise.	Þú sýnir mikla stillingu.
It's just a turkey shoot.	Þetta er auðveld skotæfing.
There was one time, in New Mexico, we was being pursued by seven men.	Einu sinni í Nýju-Mexíkó voru sjö menn á eftir okkur.
Why were they pursuing you?	Því eltu þeir ykkur?
I robbed a high-interest bank.	Ég rændi hávaxtabanka.
You can't rob a thief, can you?	Það er varla hægt að ræna þjóf.
Never robbed a citizen.	Ég rændi aldrei almenning.
One man.	Einn maður.
I did not figure them to send a scout.	Ég hélt ekki að þeir sendu einhvern á undan sér.
Damn.	Fjandinn.
Hello?	Halló?
It is laboeuf.	Þetta er LaBoeuf.
We have to warn him, Marshal.	Við verðum að vara hann við.
Too late. Texas Ranger.	Það er um seinan.
What do we do, Marshal?	Hvað gerum við nú?
We sit. What does he do?	Við bíðum og athugum hvað hann gerir.
Him in the woolly chaps is Lucky Ned.	Þessi í ullarbuxunum er Lucky Ned.
Well, that's that.	Þannig fór það.
Well, that didn't pan out.	Þetta gekk ekki að óskum.
You've been shot in the shoulder, but the bullet passed through.	Þú fékkst skot í öxlina en kúlan fór í gegn.
Do you want to see if it will knit or should I just yank it free?	Viltu sjá hvort þetta lagist eða á ég að slíta endann af?
I know a teamster who bit his tongue off, being thrown from a horse.	Ég þekki vagnstjóra sem datt af baki og beit tunguna af sér.
I saw him, too.	Ég hitti hann líka.
It's how I came to be here.	Þess vegna kom ég hingað.
Neither of these men are Chaney.	Hvorugur mannanna er Chaney.
I know, and I know them both.	Ég veit, ég þekki þá báða.
That ugly one is Coke Hayes. Him uglier still is Clement Parmalee.	Sá ljóti heitir Coke Hayes og hinn ennþá ljótari heitir Clement Parmalee.
Parmalee and his brothers have a silver claim in the Winding Stair Mountains and I bet that's where Lucky Ned's gang is waiting.	Parmalee-fjölskyldan á silfurnámu í Hringstigafjöllum þar sem menn Neds hafast líklega við.
We'll sleep here, follow in the morning.	Við sofum hérna og hefjum eftirförina í fyrramálið.
We promised to bury the poor soul inside.	Við lofuðum að jarðsetja manngarminn sem er inni.
Ground is too hard.	Jörðin er of freðin.
If them men wanted a decent burial, they should have got themselves killed in summer.	Ef menn vilja almennilega útför eiga þeir að drepast á sumrin.
I would not want to be in his shoes.	Ekki myndi ég vilja vera í hans sporum.
As I understand it, Chaney, or Chelmsford, as he called himself in Texas, shot the Senator's dog.	Mér skilst að Chaney eða Chelmsford eins og hann kallaði sig í Texas hafi skotið hund þingmannsins.
When the Senator remonstrated, Chelmsford shot him as well.	Þegar þingmaðurinn atyrti hann skaut Chelmsford hann líka.
Now, you could argue that the shooting of the dog was merely an instance of malum prohibitum, but the shooting of a senator is indubitably an instance of malum in se.	Segja mætti að morðið á hundinum hafi verið "malum prohibitum" en morðið á þingmanninum " malum in se ".
Malla-men what?	Malla hvað?
Malum in se.	Malum in se.
The distinction is between an act that is wrong in itself, and an act that is wrong only according to our laws and mores.	Munurinn er á milli verks sem er rangt í sjálfu sér og verks sem er rangt samkvæmt lögum og siðferði.
It is Latin.	Á latínu.
I'm struck that laboeuf has been shot, trampled, and nearly severed his tongue and not only does he not cease to talk, but he spills the banks of English.	Ég er orðlaus. LaBoeuf var skotinn, traðkaður niður og næstum rændur tungunni. Það þaggaði ekki niður í honum heldur nægir enskan honum ekki.
I was within 300 yards of Chelmsford once.	Einu sinni var ég 270 metra frá Chelmsford.
You could not hit a man at 300 yards if your gun was resting on Gibraltar.	Þú hittir ekki mann af 270 metra færi þótt riffillinn hvíli á Gíbraltarhöfða.
The Sharps carbine is an instrument of uncanny power and precision.	Sharps-riffillinn er einstaklega kraftmikið og nákvæmt vopn.
I have no doubt that the gun is sound.	Ég efast ekki um það að riffillinn sé traustur.
My clothes is all ragged My language is rough My bread is corn dodgers, both solid and tough And yet I am happy, and live at my ease On sorghum molasses, and bacon and cheese Greer County Bachelor, that was.	Brauð mitt svo hart að ég vart við það ræð. En þó er ég sáttur við minn dræma kost ef ég fæ melassa og beikon og ost. Þetta var kvæðið um piparsveininn í Greer-sýslu.
I do not believe he slept.	Ég held að hann hafi ekkert sofið.
Fort Smith is a healthy distance, laboeuf, but I would encourage the creature you ride to head thither.	Það er drjúg vegalengd til Fort Smith en ég myndi hvetja skepnuna til að halda þangað.
Out here, a one-armed man looks like easy prey.	Á þessum slóðum virðist einhentur maður auðveld bráð.
And a one-eyed man who can't shoot?	En eineygður maður sem getur ekki skotið?
Why don't you turn back, Cogburn?	Farðu sjálfur heim.
I'll do fine.	Ég spjara mig ágætlega.
I know where the Parmalee claim is.	Ég veit um Parmalee-námuna.
God damn it! I do not accept it as a given that I did shoot laboeuf.	Ég hef ekki gengist við því að hafa skotið LaBoeuf.
There were plenty of guns going off.	Þetta var kúlnahríð.
I heard the rifle and I felt the ball.	Ég heyrði í rifflinum og fann fyrir kúlunni.
You missed your shot, Cogburn, admit it.	Skotið geigaði, játaðu það.
Missed my shot?	Geigaði skotið?
You are more handicapped without the eye than I without the arm.	Skaddaða augað hamlar þér meira en skaddaði handleggurinn mér.
I can hit a gnat's eye at 90 yards.	Ég hitti mýflugu í augað af 80 metra færi.
That Chinaman is running them cheap shells on me again.	Kínverjinn hefur aftur selt mér ódýr skotfæri.
I thought you were gonna say the sun was in your eyes.	Ég hélt að sólin hefði skinið í augun á þér.
That is to say, your eye.	Öllu heldur augað á þér.
Two at one time!	Tvö í einu.
Gentlemen, shooting cornbread out here on the prairie is getting us no closer to the Ned Pepper gang.	Skotæfingar á brauði á sléttunni koma okkur ekki nær Ned Pepper.
One more. This will prove it.	Eitt í viðbót til að sanna þetta.
Please hold fire.	Ekki skjóta.
Find our way back!	Til að rata til baka.
Very few fiddle tunes I have not heard.	Þau eru fá fiðlulögin sem ég hef ekki heyrt.
Once heard, they're locked into my mind forever.	Ef ég heyri þau einu sinni man ég þau alla tíð.
Lucky Ned?	Lucky Ned?
Lucky Ned!	Lucky Ned!
Very good, Cogburn.	Vel gert, Cogburn.
Now what?	Hvað gerum við nú?
Oh, God damn it.	Fjandakornið.
Cogburn does not want me eating out of his store.	Cogburn vill ekki að ég borði af forðanum hans.
That is silly. You have not eaten all day, and it is my store, not his.	Þú hefur ekkert borðað í dag og ég á matinn, ekki hann.
Let him starve!	Láttu hann svelta.
He does not track!	Hann rekur ekki spor og skýtur ekki neitt nema matvælin okkar.
He does not shoot, except at foodstuffs! – That was your initiative. – He does not contribute.	Að þínu frumkvæði. Hann leggur ekkert til málanna.
He's a man who walks in front of bullets!	Hann er maður sem gengur fyrir byssukúlur.
Mr laboeuf drew single-handed upon the Lucky Ned Pepper gang while we fired safely from cover.	LaBoeuf stóð einn á móti þeim á meðan við skutum úr skjóli.
It is unfair to indict a man when his jaw is swollen and tongue mangled and who is therefore unable to rise to his own defense!	Það er ósanngjarnt að ásaka mann með bólginn kjálka og rifna tungu sem getur ekki varið sig.
I can speak for myself.	Ég svara fyrir mig sjálfur.
I am hardly obliged to answer the ravings of a drunkard. It is beneath me.	Það er fyrir neðan mína virðingu að svara þvættingi drykkjurúts.
I shall make my own camp elsewhere.	Ég ætla að sofa annars staðar.
It is you who have nothing to offer, Cogburn.	Þú hefur ekkert fram að færa.
A sad picture indeed.	Þú ert sannkölluð hryggðarmynd.
This is no longer a manhunt. It is a debauch.	Þetta eru ekki lengur mannaveiðar heldur drykkjusvall.
The Texas Ranger presses on alone.	Löggæslumaðurinn frá Texas heldur áfram einn síns liðs.
Take the girl.	Taktu stúlkuna með þér.
If he is not in a shallow grave somewhere between here and Fort Smith, he is gone!	Ef hann liggur ekki grafinn einhvers staðar nærri Fort Smith er hann löngu stunginn af.
The trail is cold, if there ever was one.	Slóðin er köld ef hún var þá til staðar.
I'm...	Ég er...
I'm a foolish old man who has been drawn into a wild-goose chase by a harpy in trousers and a nincompoop!	Ég er gamalt flón sem lét plata sig í erindisleysu af skassi í buxum og bölvuðum afglapa.
Well, Mr laboeuf, he can wander the Choctaw Nation for as long as he likes.	Herra LaBoeuf má ráfa um slóðir Choctaw-indíána að vild.
Perhaps the local Indians will take him in and honor his gibberings by making him chief!	Kannski fær hann að ganga í raðir innfæddra sem heiðra hann af skvaldrinu og gera hann að höfðingja.
I have a Colt's Dragoon revolver which I know how to use, and I will be no more of a burden to you than I was to the marshal.	Ég á skammbyssu sem ég kann að nota og verð þér ekki meiri byrði en fulltrúanum.
That is not my worry.	Það er ekki mitt vandamál.
You've earned your spurs.	Þú hefur unnið fyrir sporunum.
That is clear enough.	Það fer ekki á milli mála.
You've been a regular old hand on the trail.	Þú hefur svo sannarlega sýnt hvað í þér býr.
But Cogburn is right, even if I would not give him the satisfaction of conceding it.	En Cogburn hefur rétt fyrir sér þótt ég geri honum ekki til geðs að taka undir það.
The trail is cold and I am considerably diminished.	Slóðin er köld og það hefur töluvert dregið af mér.
How can you give up now after the many months you've dedicated to finding Chaney?	Gefstu upp núna eftir að hafa leitað að Chaney mánuðum saman?
You have shown great determination.	Þú hefur sýnt mikla staðfestu.
I misjudged you.	Ég dæmdi þig ranglega.
I picked the wrong man.	Ég valdi rangan mann.
I would go on in your company if there were a clear way to go.	Ég myndi fylgja þér ef við hefðum einhverja stefnu.
But we 'd be striking out blindly.	En við rennum blint í sjóinn.
Chelmsford's gone.	Chelmsford er horfinn.
We chased him right off the map.	Við rákum hann enn dýpra í felur.
There's nothing for it.	Það nær ekki lengra.
I'm bound for Texas.	Ég fer aftur til Texas.
Time for you to go home, too.	Þú ættir líka að halda heim.
The marshal, when he sobers, is your way back. I will not go back.	Þegar það rennur loks af fulltrúanum fylgir hann þér heim.
Not without Chaney, dead or alive.	Ég fer ekki heim án Chaneys, lífs eða liðins.
I misjudged you as well.	Ég dæmdi þig líka ranglega.
I extend my hand.	Ég rétti fram hönd mína.
Mr laboeuf, please.	Gerðu það, herra LaBoeuf.
I know you.	Adios.
Your name is Mattie.	Þú heitir Mattie.
You're little Mattie the bookkeeper.	Mattie litla með bókhaldið.
Isn't that something?	Þetta var óvænt.
Yes, and I know you, Tom Chaney. – What are you doing out here? – Come to fetch some water.	Ég þekki þig, Tom Chaney. Hvað ertu að gera hérna? Ég er að sækja vatn.
I mean, what are you doing in these mountains here?	Hvað ertu að gera hérna í fjöllunum?
I have not been formally deputized but I'm acting as an agent for Marshal Reuben Cogburn and Judge Parker's court.	Þótt það sé ekki opinbert sinni ég löggæsluerindum fyrir Reuben Cogburn fulltrúa og Parker dómara.
I have come to take you back to Fort Smith.	Ég kom til að færa þig aftur til Fort Smith.
Well, I will not go.	Ég vil ekki fara þangað.
How do you like that?	Hvað segirðu um það?
There is a posse of officers up there who will force you to go.	Hér er hópur lögreglumanna sem dregur þig með sér.
That is interesting news.	Það eru áhugaverðar fréttir.
One of my short ribs is broken.	Ég er með brotið rifbein.
You killed my father when he was trying to help you.	Þú myrtir föður minn sem reyndi að hjálpa þér.
Take them horses you got and move!	Taktu hestana og drífðu þig.
Tom, you get on up that hill.	Tom, farðu upp hæðina án þess að hika.
Don't you stop. – Who all's down there? – Marshal Cogburn and 50 more officers.	Hverjir eru þarna? Cogburn og fimmtíu aðrir.
You tell me another lie and I'll stove your head in.	Ef þú lýgur aftur að mér mauka ég höfuðið á þér.
Just the marshal.	Bara fulltrúinn.
Rooster.	Rooster.
Cogburn!	Cogburn!
You hear me?	Heyrirðu í mér?
You answer me, Rooster!	Svaraðu mér, Rooster.
I will kill this girl.	Ég drep stúlkuna.
You know I will do it.	Þú veist að ég geri það.
The girl is nothing to me!	Stúlkan er mér einskis virði.
She's a runaway from Arkansas!	Hún er strokubarn frá Arkansas.
That is all very well.	Það má vel vera.
Do you advise that I kill her?	Viltu að ég drepi hana?
Do what you think is best, Ned!	Gerðu það sem þér þykir æskilegast, Ned.
She's nothing to me but a lost child.	Hún er mér ekki meira virði en hvert annað vergangsbarn.
Think it over first.	Hugsaðu málið fyrst.
I have already thought it over.	Ég hef hugsað málið vandlega.
You get mounted double fast!	Skelltu þér strax á hestbak.
If I see you riding over that bald ridge to the northwest, I will spare the girl.	Ef ég sé þig ríða yfir óræktuðu hæðina, norðvestur, þyrmi ég stúlkunni.
You have five minutes!	Þú hefur fimm mínútur.
There will be a party of marshals here soon, Ned!	Hingað er von á stórum hópi lögreglufulltrúa.
Let me have the girl and Chaney, and I will mislead them for six hours.	Ef ég fæ stúlkuna og Chaney afvegaleiði ég þá í sex tíma.
I'm 14.	Ég drekk ekki kaffi, ég er 14 ára.
Well, we do not have buttermilk and we do not have bread. – We are poorly supplied. – Where is she? – What are you doing here? – I ought to wring your scrawny neck.	Maturinn er af skornum skammti. Hvar er hún? Hvað ertu að gera hérna?
You let that go.	Ég ætti að snúa þig úr hálsliðnum. Hættu þessu.
What happened, huh?	Hvað kom fyrir?
I will tell you and you will see that I am in the right.	Ef ég segi það sérðu að ég er í rétti.
Tom Chaney there shot my father to death in Fort Smith, and robbed him of two gold pieces and stole his mare.	Tom Chaney skaut föður minn til bana í Fort Smith og rændi tveim gullpeningum og hryssu.
I was informed Rooster Cogburn had grit and I hired him to find the murderer.	Cogburn var sagður hughraustur svo ég réð hann til leitarinnar.
A few minutes ago, I came upon Chaney watering the horses.	Ég kom að Chaney við að brynna hestunum.
He would not be taken in charge and I shot him.	Hann neitaði að koma friðsamlega svo ég skaut hann.
If I had killed him, I would not be now in this fix.	Ég hefði betur mátt drepa hann en byssan stóð á sér.
My revolver misfired. It will do it. It will embarrass you every time.	Það kemur fyrir og er alltaf jafnvandræðalegt.
Most girls like to play pretties, but you like guns, do you?	Flestar stúlkur vilja vera fínar en þú ert hrifin af byssum.
I do not care a thing in the world about guns. If I did, I would have one that worked.	Mér er illa við byssur, annars hefði ég átt byssu sem virkaði.
I was shot from ambush, Ned.	Ég var skotinn úr launsátri.
I'll leave you to scream and rot!	Ég kasta þér niður og læt þig öskra og rotna þarna.
Well, nothing's going my way.	Ekkert gengur mér í hag.
Was that Rooster waylaid us night before last?	Var það Rooster sem sat fyrir okkur um daginn?
It was Marshal Cogburn and myself.	Cogburn fulltrúi og ég.
You and Cogburn.	Þú og Cogburn.
Quite the posse. – Let us move, Ned. – In good time, Doctor.	Það er aldeilis gengið. Forðum okkur, Ned. Eftir augnablik.
What happened to Quincy and The Kid?	Hvað varð um Quincy og strákinn?
They are both dead.	Þeir eru báðir dauðir.
I was in the very middle of it.	Ég lenti í miðjum átökunum.
It was a terrible thing to see.	Þetta var skelfilegt.
Please, let us move, Ned.	Förum héðan, Ned.
Your friend Rooster does not collect many prisoners.	Rooster, vinur þinn, skilur ekki eftir marga fanga.
He is not my friend.	Hann er ekki vinur minn.
He's abandoned me to a Congress of louts.	Hann lét mig í hendurnar á durtahyski.
You do not varnish your opinion. Are we off?	Þú situr ekki á skoðunum þínum.
When we reach Ma's house, I'll send Carroll back with a fresh mount.	Þegar við komum til mömmu sendi ég Carroll með nýjan hest.
You will be out by dark, and we will meet you at The Old Place.	Þú losnar fyrir myrkur og við hittumst á gamla staðnum.
I do not like that.	Þetta líkar mér ekki.
Let me ride with you, Ned, just out of here anyway. – We're short a horse. – Marshals will come swarming.	Leyfðu mér að fara með ykkur héðan. Nei, okkur vantar hest. Hér fyllist allt af fulltrúum.
Hours, if they come here at all.	Eftir nokkra tíma í fyrsta lagi.
They'll think that we've all gone.	Þeir halda að við séum farnir.
I am not staying here by myself with Tom Chaney. – That's the way I will have it. – He will kill me.	Ég vil ekki vera hérna ein með Tom Chaney.
You heard him say it.	Þannig verður það. Hann drepur mig.
He's killed my father and now you will let him kill me.	Hann myrti föður minn og nú leyfirðu honum að myrða mig.
He will do no such thing.	Hann gerir ekkert slíkt.
Tom, you know the crossing at Cypress Forks, near the log meeting house?	Tom, manstu eftir krossgötunum við gamla samkomuhúsið?
When you are mounted, you take the girl and leave her there.	Þegar þú færð hestinn skaltu skilja stúlkuna eftir þar.
Do you understand, Tom?	Skilurðu það?
Any harm comes to that child, you do not get paid.	Þú gerir stúlkunni ekki mein. Annars færðu ekki þinn hluta.
Harold, let me ride up with you. Farrell!	Harold, leyfðu mér að fara með þér.
I will pay you $ 50 out of my winnings.	Farrell, þú færð 50 dali af mínum hluta.
I am not heavy.	Ég er léttur.
Do the calf again, Harold!	Leiktu kálfinn aftur, Harold.
Everything is against me.	Ekkert gengur mér í hag.
You have no reason to whine.	Þú þarft ekki að kvarta.
If you act as the bandit chief instructed, and no harm comes to me, you will get your winnings at The Old Place.	Ef þú gerir það sem bófaforinginn sagði og gerir mér ekki mein færðu þinn hluta fjárins.
Lucky Ned has left me, knowing I am sure to be caught when I leave on foot.	Ned yfirgaf mig. Hann veit að þeir góma mig.
I must think over my position and how I may improve it.	Ég verð að íhuga stöðu mína og hvernig ég bæti hana.
Where is the second California gold piece? – What have you done with Papa's mare? – Keep still.	Hvar er hinn gullpeningurinn? Hvað gerðirðu við meri pabba? Vertu kyrr.
Are you thinking about The Old Place?	Ertu að hugsa um gamla staðinn?
Look here, if you let me go, I will swear to it in an affidavit and once you are brought to justice it may go easier on you.	Slepptu mér og ég tek það fram í yfirlýsingu þegar þeir ná þér. Til mildunar dómnum.
I tell you, I can do better than that.	Ég get gert ennþá betur.
I need no affidavit.	Ég þarf enga yfirlýsingu.
All I need is your silence.	Ég þarf aðeins að tryggja þögn þína.
Your father was a busybody like you.	Faðir þinn var slettireka eins og þú.
In honesty, I do not regret shooting him.	Ég sé ekki eftir því að hafa skotið hann.
He thought Tom Chaney was small.	Hann hélt að Tom Chaney væri smámenni.
And you, you would give me an affidavit.	Og þú ætlaðir að skrifa undir yfirlýsingu.
You're all against me. Every...	Þið eruð öll á móti mér.
So that is Chelmsford.	Svo þetta er Chelmsford.
Strange to be so close to him at last.	Undarlegt að standa loks svona nálægt honum.
Mr laboeuf.	Herra LaBoeuf.
How is it that you are here?	Hvers vegna ert þú hérna?
I heard a shot and went down to the river.	Ég heyrði skotið og fór niður að ánni.
He returns for Lucky Ned.	Hann snýr aftur til að mæta Lucky Ned.
Well, Rooster, will you give us the road?	Jæja, Rooster. Hleypirðu okkur fram hjá?
One against four?	Einn á móti fjórum?
It is ill-advised.	Það er óráðlegt.
He would not be dissuaded.	Ég taldi honum ekki hughvarf.
Hello, Ned.	Sæll, Ned.
How many men is with the girl?	Hvað eru margir menn hjá stúlkunni?
Just Chaney.	Bara Chaney.
Our agreement is in force.	Við stóðum við samkomulagið.
She was in excellent health when last I saw her.	Hún var við hestaheilsu síðast þegar ég sá hana.
Farrell, I want you and your brother to stand clear.	Farrell, ég vil að þið bræðurnir skiptið ykkur ekki af þessu.
You as well, Doctor.	Þú líka, doksi.
I have no interest in you today.	Ég hef engan áhuga á ykkur í dag.
What is your intention, Rooster?	Hvað ætlastu fyrir, Rooster?
You think one on four is a dogfall?	Áttu möguleika einn gegn fjórum?
I mean to kill you in one minute, Ned.	Ég ætla að drepa þig eftir eina mínútu, Ned.
Or see you hanged in Fort Smith at Judge Parker's convenience.	Eða sjá þig hanga í Fort Smith þegar Parker dómara hentar.
Which will you have?	Hvort líst þér betur á?
I call that bold talk for a one-eyed fat man!	Þú ert digurbarkalegur, eineygði fituhlunkur.
Fill your hand, you son of a bitch! – Shoot them, Mr laboeuf. – Too far.	Taktu vopn í hönd, helvítið þitt. Skjóttu þá.
Moving too fast.	Þetta er of langt og þeir fara of hratt.
Well, Rooster, I am shot to pieces.	Jæja, Rooster. Ég er sundurskotinn.
It seems neither of us is to see Judge Parker.	Svo virðist sem hvorugur okkar fari fyrir Parker dómara.
Oh, Lord.	Jesús minn.
Some bully shot!	Þvílíkt skot.
That was 400 yards, at least.	Þetta voru 370 metrar.
Well, the Sharps carbine is a...	Sharps-riffillinn er...
Stand up, Tom Chaney.	Stattu á fætur, Tom Chaney.
Mr laboeuf.	Herra LaBoeuf!
Are you alive?	Ertu lifandi?
Mr laboeuf!	Herra LaBoeuf!
Are you there? – I'm here! – Can you clamber out?	Ertu þarna? Ég er hérna. Geturðu klöngrast út?
I cannot. – There are snakes. – They awake?	Ég get það ekki. Hér eru snákar. Eru þeir vakandi?
Yes.	Já.
I am bit! – Does Mr laboeuf survive? – He does.	Hann beit mig. Lifði LaBoeuf þetta af?
Even a blow to the head could silence him for only a few short minutes.	Já, höfuðhöggið þaggaði aðeins niður í honum í nokkrar mínútur.
Where are you bit?	Hvar beit hann þig?
Look away now.	Líttu undan.
I have her. Up with us!	Ég held henni.
We're up, Mr laboeuf.	Dragðu okkur upp.
Take her.	Hérna, taktu hana.
She's snakebit.	Hún varð fyrir snákabiti.
We are not leaving him.	Ekki skilja hann eftir.
I must get you to a doc, sis, or you're not gonna make it.	Ég verð að koma þér til læknis, annars hefurðu þetta ekki af.
I'm in your debt for that shot, pard.	Þú átt einn inni hjá mér fyrir skotið.
Never doubt the Texas Ranger. Go on!	Aldrei efast um löggæslumenn frá Texas.
Ever stalwart.	Alltaf traustir.
We must stop.	Við verðum að stoppa.
Little Blackie is played out.	Litli-Blackie er örmagna.
We have miles yet.	Það er of langt eftir.
Come on, you!	Áfram með þig.
No!	Nei!
Come on, now!	Svona!
No, stop!	Nei, hættu.
He's getting away.	Hann sleppur.
Who's getting away, sis?	Hver sleppur, vinan?
Chaney.	Chaney.
No, no, no!	Nei, nei, nei.
No, no! No!	Nei, hættu.
I've grown old.	Ég er orðinn gamall.
A quarter century is a long time.	Aldarfjórðungur er lengi að líða.
By the time we reached Bagby's store, my hand had turned black.	Memphis! Þegar við komum til Bagbys var höndin á mér orðin svört.
I was not awake when I lost the arm.	Ég var ekki vakandi þegar ég missti handlegginn.
The marshal had stayed with me, I was told, till I was out of danger.	Fulltrúinn vakti yfir mér þar til ég var úr allri hættu.
But he departed before I came round.	En hann fór áður en ég rankaði við mér.
Once home, I wrote him with an invitation to come by the next time he found himself near Yell County and collect the $ 50 I still owed him.	Þegar heim var komið sendi ég honum skriflegt boð um að líta við næst þegar hann heimsækti Yell-sýslu til að innheimta 50 dalina sem hann ætti inni hjá mér.
I did not hear back from Marshal Cogburn and he did not appear.	Ég fékk ekkert svar frá Cogburn og hann lét aldrei sjá sig.
Then one day I received a note from the marshal with a flyer enclosed.	En dag einn fékk ég miða frá fulltrúanum ásamt dreifibréfi.
He said he was traveling with a Wild West show, getting older and fatter.	Hann ferðaðist með kúrekasýningu og varð eldri og feitari.
Would I like to come visit him when the show came to Memphis and swap stories with an old trail mate?	Hann spurði hvort ég vildi hitta hann í Memphis og skiptast á sögum við gamlan ferðafélaga.
He would understand if the journey were too long.	Hann sagðist skilja það ef leiðin væri of löng.
Brief though his note was, it was rife with misspellings.	Jafnvel þótt bréfið væri stutt var það morandi í stafsetningarvillum.
Yessum?	Já, fröken.
I am Cole Younger.	Ég heiti Cole Younger.
This is Mr James.	Þetta er herra James.
It grieves me to tell you that you have missed Rooster.	Ég segi það með söknuði að þú hefur misst af Rooster.
He passed away three days ago when the Show was in Jonesboro, Arkansas.	Hann lést fyrir þrem dögum þegar við vorum stödd í Jonesboro í Arkansas.
Buried him there in the Confederate cemetery.	Við grófum hann þar í kirkjugarði bandalagsríkjanna.
Reuben had a complaint what he referred to as "night hoss" and I believe the warm weather was too much for him.	Reuben var þjakaður af nokkru sem hann kallaði næturhest. Ég held að hitinn hafi orðið honum um megn.
We had some lively times.	Við áttum góðar stundir saman.
What was the nature of your acquaintance?	Hvernig var kunningsskap ykkar háttað?
I knew the marshal long ago.	Ég kynntist fulltrúanum fyrir löngu.
We too had lively times.	Við áttum einnig góðar stundir saman.
Thank you, Mr Younger.	Takk, herra Younger.
Keep your seat, trash.	Sittu kyrr, durtur.
I had the body removed to our plot and I have visited it over the years.	Ég lét flytja líkið til okkar og fer reglulega að gröfinni.
No doubt people talk about that.	Fólk hlýtur að slúðra.
They say, "Well, she hardly knew the man.	Það segir: "Hún þekkti varla manninn."
Isn't she a cranky old maid?"	"Hún er bitur piparkerling."
It is true, I have not married.	Það er satt að ég er ógift.
I never had time to fool with it.	Ég fann aldrei tíma fyrir slíkt.
I heard nothing more of the Tex as officer laboeuf.	Reuben Cogburn Fulltrúi Parkers dómara Ég heyrði ekkert meira af LaBoeuf frá Texas.
If he is yet alive, I would be pleased to hear from him.	Ef hann er enn á lífi yrði gaman að heyra frá honum.
Folks said that he was a rounder, a drunkard, a troubadour.	Hann var sagður flækingur, fyllibytta, trúbador.
Some went so far as to claim he was a murderer.	Sumir gengu svo langt að kalla hann morðingja.
To the boy, he was nothing more than a ghost.	Í augum stráksins var hann bara draugur.
Some unseen spectre whose only proof of existence was the damage he left in his wake.	Ösýnilegur svipur og eina sönnun þess að hann væri til var eyðileggingin sem hann skyldi eftir sig.
But the boy would not be able to deny the phantom's existence when it showed up in the flesh.	En strákurinn gæti ekki neitað tilveru draugsa þegar hann birtist holdi klæddur.
After 40 years, the old man was coming home.	Eftir 40 ár var gamli maðurinn að koma heim.
BLOODWORTH Wait's over, boy.	Biðin er á enda, strákur.
In order to...	Til þess að...
Manuscripts, all submissions must be typed.	Handrit, allar umsóknir verða að vera vélritaðar.
Brownie!	Brownie!
You better do something about these dogs or I'm gonna...	Gerðu ráðstafanir vegna þessara hunda eða ég...
Fleming!	Fleming!
Fleming Bloodworth.	Fleming Bloodworth.
You sure have grown since I saw you last.	Þú hefur stækkað síðan ég sá þig síðast.
I was hoping you 'd come back to school this year.	Ég var að vona að þú kæmir aftur í skólann á þessu ári.
Yeah, I was planning on finishing up.	Já, ég ætlaði að klára.
I just got- - tied up in other things, you know?	Ég festist bara í öðru.
Two months shy of graduation.	Tveir mánuðir í útskrift.
It's always a shame when a young person quits.	Það er alltaf synd þegar ungt fólk hættir.
So, what did you think of that book I gave you?	Hvað fannst þér um bókina sem ég lét þig fá?
It's a good one, I reckon.	Hún er góð, býst ég við.
I'll make sure to return it to you if that's what worries you.	Ég skal skila henni ef þú hefur áhyggjur.
No, no, it was a gift.	Nei, þetta var gjöf.
There's some others you should read.	Það eru fleiri sem þú ættir að lesa.
I think you 'd enjoy.	Þér þættu þær góðar.
Fleming, I 'd like to help you.	Fleming, mig langar að hjálpa þér.
I know something about the situation you're in.	Ég veit sitthvað um aðstæður þínar.
The what?	Hvaða aðstæður?
Your home life.	Heimilislíf þitt.
There ain't any goddamn thing wrong with my home life.	Það er ekkert að heimilislífi mínu.
When you get done pushing around with that girl's toy, put that on that engine.	Þegar þú ert búinn að leika þér með þetta kvenmannsdót, settu þetta þá í vélina.
I've done took the tools back.	Ég er búinn að skila verkfærunum.
You know how he gets.	Þú veist hvernig hann verður.
I don't give a shit how he gets.	Mér er sama hvernig hann verður.
You tell him we need'em.	Okkur vantar þau.
And he knows how I get.	Og hann veit hvernig ég verð.
I don't guess you've seen any of your mama?	Hefurðu nokkuð séð mömmu þína?
Nope.	Nei.
You got any clean shirts?	Er einhver skyrta hrein?
There's that box under your bed.	Það er kassinn undir rúminu þínu.
We got any coffee?	Eigum við kaffi?
Fleming?	Fleming?
Oh, Goddamnit!	Ó, fjandakornið!
Still batching, I see.	Enn piparsveinn, sé ég.
