Good girl.	Svona, já.
We're engineers.	Við erum verkfræðingar.
It means the glass has been manufactured to the wrong specifications.	Það þýðir að glasið hafi verið framleitt eftir röngum útlistunum.
Do we have any idea what information it was transmitting?	Hefurðu einhverja hugmynd um hvaða upplýsingar hann sendi?
It's smeared all over a rock up on Python Pass.	Þeim var smurt yfir grjóthnullung uppi í Python Pass.
Best we could do would be to figure out who he was transmitting the information to, but we 'd need the exact time that he was up there, and his geocache was wiped.	Það besta sem við gætum gert væri að komast að því hverjum hann sendi upplýsingarnar en til þess þurfum við að vita nákvæmlega hvenær hann var þarna uppi og flýtiminni hans var þurrkað út.
Not all of it.	Ekki allt.
Our friend was an early model.	Vinur okkar var eldri útgáfa.
The old hosts used a legacy geopositioning system.	Gömlu veitendurnir notuðust við geymdarstaðsetningarkerfi.
Huh. Like you said, I've been here forever.	Eins og þú sagðir, ég hef verið hér að eilífu.
The information's still there, but the newer system can't read it.	Upplýsingarnar eru enn til staðar en nýrra kerfið les þær ekki.
Meaning we can't access it?	Þýðir það að við getum ekki skoðað þær?
Meaning in order to access it, I'm going to need to go downstairs.	Það þýðir að ég þurfi að fara niður til að skoða þær.
Floor B82.	Hæð B-82.
Restricted personnel only.	Takmarkaður aðgangur.
Lowe, Bernard.	Lowe, Bernard.
I'm authorized.	Ég hef heimild.
Project the known data against the legacy data and look for anomalies.	Berðu þekkt gögn saman við geymdargögnin og leitaðu að frávikum.
Start in this area.	1 frávik greind.
Look at that, science.	Lítið á. Vísindi.
What time did it reach the peak?	Hvenær náði hann tindinum? 2307.
Show me where.	Sýndu mér hvar.
Check these against the new system.	Berðu þetta saman við nýja kerfið.
These are hosts that aren't registered with the new system?	Engin gögn. Eru þessir veitendur óskráðir í nýja kerfið? Já.
So, if we want the canyon to extend this far, this has to go.	Ef gilið á að ná svona langt verður þetta að víkja.
We can distribute the population amongst the neighboring farms or just decommission them.	Við getum dreift íbúunum niður á nærliggjandi býli eða bara tekið þá úr umferð.
No, I think we've been disruptive enough for one day.	Nei, við höfum rifið nóg niður í dag.
We'll end the canyon just short of the town.	Við endum gilið rétt fyrir utan bæinn.
I'll find my own way back.	Ég kem mér sjálfur til baka.
Okay.	Allt í lagi.
Carry on.	Haldið áfram.
That look like anything to you?	Líkist þetta einhverju í þínum augum?
Not much to say.	Ég get lítið sagt.
The maze is an old native myth.	Völundarhúsið er gömul frumbyggjaþjóðsaga.
Regale me, Theodore.	Gleddu mig, Theodore.
Choices he makes, dreams he hangs on to.	Völundarhúsið sjálft samsvarar lífi manns, ákvörðunum sem hann tekur, draumunum sem hann heldur í.
And there at the center, there's a legendary man who had been killed over and over again countless times, but always clawed his way back to life.	Inni í miðjunni er goðsagnakenndur maður sem hefur verið drepinn aftur og aftur en lifnaði alltaf við á ný.
The man returned for the last time and vanquished all his oppressors in a tireless fury.	Maður sem sneri aftur í hinsta sinn til að sigra alla kvalara sína í hamslausri heift.
He built a house.	Hann reisti hús.
Around that house he built a maze so complicated, only he could navigate through it.	Í kringum húsið reisti hann völundarhús, svo flókið að eingöngu hann gat ratað um það.
I reckon he 'd seen enough of fighting. Whoa!	Ég geri ráð fyrir að hann hafi fengið nóg af bardögum.
The goddamn soldiers closed the border.	Fjárans hermennirnir lokuðu landamærunum.
How else do we get over the border?	Hvernig komumst við öðruvísi yfir landamærin?
Wyatt's got what we both want, so that's where we have to get to. There's another way.	Wyatt er með það sem við viljum báðir svo við verðum að komast þangað.
But it's a little treacherous.	Það er önnur leið en hún er hættuleg.
Don't worry.	Engar áhyggjur.
I won't make you get your hands dirty.	Ég neyði þig ekki til að óhreinka hendur þínar.
Dirty ain't my concern.	Ég hef minnstar áhyggjur af óhreinindum.
Now, you do what suits you.	Þú gerir það sem hentar þér.
I'm going all the same.	Ég ætla leiðina samt.
And I'm gonna find Dolores.	Ég ætla að finna Dolores.
Everything you do, it's because the engineers upstairs programmed you to do it. You don't have a choice.	Þú gerir allt sem þú gerir vegna þess að forritararnir uppi forrituðu þig til þess.
Nobody makes me do something I don't want to, sweetheart.	Þú átt ekki annarra kosta völ. Það neyðir mig enginn til að gera eitthvað sem ég vil ekki, elskan.
Yeah, but... it's part of your character.	En það er hluti af persónunni þinni.
You're hard to get.	Þú lætur ganga á eftir þér.
Even when you say no to the guests, it's because you were made to.	Þótt þú neitir gestum er það vegna þess að þú varst látin gera það.
And you are like them, not like me?	Og þú ert eins og þeir, ekki eins og ég.
Right.	Einmitt.
Well, I can't exactly afford to go to the park, but... yeah, I'm human... like the guests.	Ég hef reyndar ekki efni á því að heimsækja garðinn en já, ég er er maður eins og gestirnir.
How do you know?	Hvernig veistu það?
Because I know.	Vegna þess að ég veit það.
I was born.	Ég fæddist.
You were made.	Þú varst smíðuð.
It's got one drawback, though.	Því fylgir samt einn galli.
What's that?	Sem er hver?
You're under our control.	Þið lútið okkar stjórn.
Well, their control.	Þeirra stjórn, í það minnsta.
They can change you however they like, make you forget.	Þeir geta breytt ykkur eins og þá lystir, látið ykkur gleyma.
I... well, I guess not you.	Líklega ekki þig samt...
I don't understand how you're remembering all of this, or... how you're waking yourself up, but everything in your head, they put it there.	Ég skil ekki hvernig þú manst þetta allt eða hvernig þú nærð að vekja sjálfa þig en allt í höfðinu á þér settu þeir þar.
Bullshit!	Kjaftæði.
No one knows what I'm thinking. I'll show you.	Það veit enginn hvað ég hugsa.
You can improvise a little, but most of what you say was designed upstairs, same as the rest of you.	Þú getur leikið aðeins af fingrum fram en megnið af því sem þú segir var hannað uppi, það sama á við alla hina.
This is just a cheap trick.	Þetta er bara ódýr brella.
I've run a brothel for 10 years, and if there's one thing I know, it's when I'm being fucked with!	Ég hef rekið vændishús í tíu ár og ef það er eitthvað sem ég þekki er það þegar einhver atast í mér.
This can't possibly...	Þetta getur ekki...
I can't, can't.	Ég get ekki, ekki...
I can't...	Ég...
Maeve?	Maeve?
You have a minute?	Áttu augnablik?
Something I need to talk to you about.	Ég þarf að ræða svolítið við þig.
I was just about to call for you.	Ég ætlaði einmitt að senda eftir þér.
Everything okay?	Er allt í lagi?
Ford knows about us.	Ford veit um okkur.
Does it matter?	Skiptir það máli?
We're consenting adults.	Við erum fullorðið fólk.
Consenting adults in business departments that are supposed to keep each other in check.	Fullorðið fólk í starfsdeildum sem eiga að veita hvor annarri aðhald.
Our relationship will raise questions for the board about my objectivity.	Samband okkar mun vekja spurningar hjá deildinni varðandi óhlutdrægni mína.
I have never known you to go easy on my department.	Ég hef aldrei vitað þig sýna minni deild neina linkind.
This can't go on, Bernard.	Þetta getur ekki gengið lengur, Bernard.
However fun this little indiscretion was, it's over.	Eins skemmtilegt og þetta litla glapræði var er því lokið.
We're over.	Þessu er lokið hjá okkur.
Give me some credit.	Sýndu mér smá traust.
I can be impartial.	Ég get verið hlutlaus.
About your own team, about Ford?	Hvað eigið teymi varðar? Gagnvart Ford?
You must admit, his leadership has of late been questionable.	Þú verður að viðurkenna að stjórnarhættir hans hafa verið undarlegir undanfarið.
I don't think he's the problem.	Ég efast um að hann sé vandamálið.
Respectfully, it's not your job to diagnose park safety problems, it's mine.	Með fullri virðingu er það ekki í þínum verkahring að greina öryggisvandamál garðsins. Ég sé um það.
So, if there's nothing else, we're done.	Ef það var ekkert annað erum við búin.
Oh, fuck.	Fjandinn.
Okay.	Allt í lagi...
Fuck.	Fjandinn.
Come on, come on.	Svona...
You said upstairs.	Þú sagðir "uppi".
Oh, my God. Are you okay?	Guð minn góður.
I want to see it.	Mig langar að sjá það?
Upstairs?	Uppi?
No.	Nei.
No, no. This is so stupid.	Þetta er svo heimskulegt.
You son of a bitch!	Tíkarsonurinn þinn.
I'll put a bullet in your head!	Ég skýt þig í hausinn.
Where are we now?	Hvar erum við nú?
Design.	Í hönnunardeildinni.
Can we please go back now?	Getum við vinsamlega snúið aftur núna?
I don't want to get fired.	Ég vil ekki láta reka mig.
And you 'd get sent downstairs.	Og þú yrðir send niður.
Don't forget that.	Ekki gleyma því.
Welcome to Westworld.	Velkomin í Westworld.
Live without limits.	Lifið án takmarkana.
Maeve? _ All right, let's get you back.	Maeve? Við skulum koma þér til baka. Hvernig náðuð þið draumum mínum?
How did you have my dreams?	Þessum hreyfimyndum?
I saw myself.	Ég sá sjálfa mig.
With the little girl?	Með litlu stúlkunni?
Those weren't dreams.	Það var ekki draumur.
That was you in a previous build.	Það varst þú í fyrra hlutverki.
A previous what?	Fyrra hverju?
Build.	Hlutverki.
You guys get reassigned all the time.	Það er alltaf verið að setja ykkur í mismunandi hlutverk.
You wouldn't remember, because that life and those memories were erased.	Þú myndir ekki muna eftir því því fyrri líf og minningar voru þurrkaðar út.
I have been at the Mariposa for 10 years. Before that, I was in New Orleans.	Ég hef verið á Mariposa í tíu ár.
I...	Nei.
You've only been the madam at the Mariposa for the last year or so.	Þú hefur bara verið maddaman á Mariposa í um ár.
They don't rewrite you completely.	Þeir endurskrifa ykkur ekki algjörlega.
I mean, they could, but it 'd be too much work.	Ég meina, þeir gætu gert það en það yrði of mikil vinna.
Takes thousands of hours to build your personalities.	Það tekur mörg þúsund vinnustundir að setja saman persónuleika ykkar.
Usually, they just tweak you a little bit, and drop you into a new role.	Yfirleitt endurstilla þeir ykkur bara örlítið og skella ykkur svo í nýtt hlutverk.
What the fuck, ding-dong?	Hver andskotinn, ding dong?
You dressing her up now?	Ertu farinn að klæða hana upp núna?
This becoming like a fucking hentai thing with you now?	Er þetta orðið einhvers konar hentai-dæmi hjá þér?
No, I just... I...	Nei, ég bara...
I... I just... You're fucking obsessed!	Þú ert heltekinn.
You know, I didn't turn you in for your fuck-up before, 'cause we're friends, but that was obviously a bad call.	Ég klagaði þig ekki fyrir fyrra klúður vegna þess að við erum vinir en það var greinilega röng ákvörðun.
I mean, next thing I know, you're gonna be wearing her dress, whispering sweet nothings in her ear.	Það næsta sem ég veit er að þú verður kominn í kjólinn af henni að hvísla ástarorð í eyrað á henni.
Fuck this. I'm telling QA.	Fjandinn hafi það!
You can't hurt me with this.	Þú getur ekki skaðað mig með þessu.
You can't hurt anyone...	Þú getur ekki skaðað neinn.
Can't I?	Get ég það ekki?
Turns out your friend here is a much more talented young man than anyone gave him credit for.	Það kom í ljós að vinur þinn hér er mun hæfileikaríkari ungur maður en nokkur var tilbúinn að leyfa honum að sýna.
What the fuck did you do?	Hvern djöfulinn gerðirðu?
Calm down, Sylvester.	Slakaðu á, Sylvester.
I know all about you.	Ég veit allt um þig.
I don't need one of those things to know what you're thinking, because I was built to read people just by looking at them, to know what they want before they do.	Ég þarf ekki eitt af þessum tækjum til að vita hvað þú hugsar því ég var smíðuð til að lesa fólk með því einu að horfa á það, vita hvað það vill áður en það veit það sjálft.
And I know that you want to fuck me over the first chance you get, but you shouldn't.	Og ég veit að þú vilt svíkja mig við fyrsta tækifæri. En þú ættir ekki að gera það.
Everyone has something they want.	Allir þrá eitthvað.
I could help you. Ah! Or I could gut you like a trout.	Ég gæti hjálpað þér.
But I won't need to resort to that.	Eða ég gæti slægt þig eins og silung.
Because despite what's in here, we're not so different.	En ég þarf ekki að grípa til þess því þrátt fyrir það sem er hérna inni erum við ekki svo frábrugðin.
You look well for someone on sick leave.	Þú lítur vel út miðað við einhvern í veikindaleyfi.
Another margarita.	Aðra margarítu.
Join me for a round? Fuck you.	Viltu fá þér drykk með mér?
Just the one, then.	Éttu skít. Bara einn þá.
Creatively speaking, I'm flaccid now.	Sköpunarlega er ég alveg getulaus núna.
I can't get it up.	Ég næ henni ekki upp.
I'm sure you'll recover.	Þú jafnar þig örugglega.
Do you have any idea what went into those narratives that he just demolished overnight?	Hefurðu einhverja hugmynd um hvað ég lagði í þessa söguþræði sem hann tortímdi á einni nóttu?
Is that where the "whoroborus" came in?	Var það þar sem "hóruborus" kom inn í myndina?
Keep pushing me, I'll quit.	Ef þú heldur þessu áfram hætti ég.
No, you won't.	Það gerirðu ekki.
You'll drink your cocktails, make your idle threats, and get this out of your system.	Þú drekkur kokteilana þína, kemur með innantómar hótanir og losar þetta út úr kerfinu þínu.
But don't take too long.	En ekki vera of lengi.
If Ford can't pull this off, the board will be looking for a replacement.	Ef Ford tekst þetta ekki mun stjórnin leita að staðgengli.
But they won't be looking here.	En hún leitar ekki hér.
Fastest way to get to Wyatt, you said.	Fljótasta leiðin til að ná til Wyatts sagðirðu.
But it doesn't look like they're letting anyone pass here either.	Þeir virðast ekki ætla að hleypa neinum í gegn hér heldur.
Well, there's fewer soldiers than Pariah.	Það eru færri hermenn hér en í Pariah.
We shoot our way through. That tunnel leads to the Old Territories.	Við skjótum okkur leið í gegn og þessi göng liggja svo inn á gömlu svæðin.
My, my, Teddy.	Jeminn, Teddy.
I think Robert gave you some extra vinegar back there, maybe took away some sense, too.	Ég held að Robert hafi gefið þér aukið hugrekki þarna áður og fjarlægt eitthvað af skynseminni líka.
It doesn't matter how fast the route is if you're gonna end up dead in the middle of it.	Það skiptir engu hversu fljótleg leiðin er ef maður drepst á henni miðri.
I need you... to find Wyatt.	Þú verður að finna Wyatt fyrir mig.
Tighten the ranks. At ease, fellas.	Í hvíldarstöðu, piltar.
He's close.	Hann er nærri.
Flood?	Flood?
Fuck me, it's Teddy Flood.	Fjandinn sjálfur, þetta er Teddy Flood.
You've made a mistake, soldier, but it's not too late for you to keep walking.	Þú gerður mistök, hermaður. En það er ekki of seint fyrir þig að halda áfram að ganga.
All due respect, sir, that's a face I'll never forget.	Með fullri virðingu, herra, en þessu andliti gleymi ég aldrei.
That's the son of a bitch ambushed our outpost at Escalante.	Þetta er drullusokkurinn sem sat fyrir sveitinni okkar í Escalante.
You don't know a damn thing about what went down in Escalante.	Ég veit ekki neitt um nokkuð sem gerðist í Escalante.
I know Wyatt didn't kill all those men by himself. And I know a thing or two about what's going down right now. Hey!	Ég veit að Wyatt drap ekki alla þessa menn sjálfur og ég veit ýmislegt um það sem gengur á núna.
You trying to get yourself killed?	Ertu að reyna að láta drepa þig?
Making peace with past indiscretions.	Ég er að sætta mig við fyrri yfirsjón.
Go!	Áfram!
I'll hold them off.	Ég tef þá.
Jesus. Really?	Jesús...
What would you like?	Hvað má bjóða þér?
Water, please.	Vatn, takk.
You look like a woman who could use a drink.	Þú líkist konu sem hefði gott af drykk.
What's your poison?	Hvaða eitur kýstu þér?
I've been here enough to know that the park is all the poison I can handle.	Ég hef komið hingað nógu oft til að vita að garðurinn er allt það eitur sem ég get höndlað.
The Final Burial of Salvation.	Lokagreftrun frelsunarinnar."
"How did you know?	Hvernig vissirðu?
Well, it's my business to read desires and to satiate them.	Starf mitt er að lesa í langanir og svala þeim.
I'm...	Ég heiti Lee.
I'm Lee, Lee Sizemore.	Lee Sizemore.
Head of narrative.	Yfirmaður frásagnadeildarinnar.
All these fantasies come from your twisted little mind, huh?	Koma allar þessar fantasíur úr brenglaða huganum í þér?
Well, the good ones do.	Þessar góðu.
So, tell me, Mr. Sizemore...	Segðu mér, hr. Sizemore.
Hmm?... what's your favorite ride?	Hver er eftirlætissagan þín?
Well, I write them, I don't play them.	Ég skrifa þær, ég leik þær ekki.
Oh, you want others to indulge, but you won't do so yourself?	Þú vilt að aðrir láti eftir sér en gerir það ekki sjálfur?
You're afraid to lose control.	Þú óttast að missa stjórnina.
Well, maybe... maybe it's just a product of my work environment.	Kannski er það bara afsprengi vinnuumhverfisins míns.
We're not exactly in a culture where we can just let loose.	Menningin þar leyfir það ekki beint að maður sleppi fram af sér beislinu.
I would have thought the head of narrative could do whatever he wanted.	Ég hefði haldið að yfirmaður frásagnadeildarinnar fengi að gera það sem hann vildi.
My artistic freedom is constrained, what, with QA breathing down my neck and behavior programming the damn things to go off script.	Listrænt frelsi mitt er heft. Gæðavottun hangir sífellt yfir mér og forritar helvítin til að fara sífellt út fyrir handritið.
The robots can go off script?	Geta vélmennin farið út fyrir handritin?
Fuck this job.	Þetta starf má éta skít.
What you working on?	Hvað ertu að gera?
Nothing of note.	Ekkert sérstakt.
Business as usual.	Bara þetta venjulega.
Keeping up appearances before we bust this stray shit wide open?	Læturðu sem ekkert sé áður en við galopnum þetta flakkaramál?
I'm close to finding our saboteur.	Ég er nærri því að finna skemmdarverkamanninn.
That tracking data you gave me... it's time stamped.	Staðsetningargögnin sem þú lést mig hafa eru tímakóðuð.
But once I cross-reference it with sat tracking, we're gonna figure out who programmed him to try to smuggle out our data.	Um leið og ég ber þau saman við staðsetningarkerfið komumst við að því hver forritaði hann til að reyna að smygla út gögnunum okkar.
Excellent.	Frábært.
Look... when our corporate overlords realize that we have saved them from corporate espionage, they are going to be grateful. And I am going to accept their gratitude in the form of a title bump, a room upgrade, and unlimited Mesa Bar access.	Þegar yfirmenn fyrirtækisins átta sig á því að við komum í veg fyrir iðnaðarnjósnir verða þeir þakklátir og ég ætla að þiggja þakklætisvott þeirra í formi stöðuhækkunar, uppfærslu á vistarverum og óheftum aðgangi að Mesa-barnum.
Maybe I should request Theresa's quarters.	Kannski ætti ég að fara fram á vistarverur Theresu?
You know the first head to roll for all this is gonna be hers.	Þú veist að höfuðið á henni verður það fyrsta til að fjúka.
Yeah, don't be so disappointed for her.	Já, ekki vera svona vonsvikin fyrir hennar hönd.
You reap what you sow.	Þú uppskerð eins og þú sáir.
If QA spent less time treating us like the enemy...	Ef Gæðavottun verði minni tíma í það að koma fram við okkur eins og óvininn...
That's a two-way street, Elsie.	Það er tvístefnugata, Elsie.
Theresa's just trying to do her job.	Theresa reynir bara að sinna starfinu sínu.
Maybe she should try harder.	Kannski ætti hún að reyna betur.
Sure seems like there's a lot of shit slipping through the cracks. Got it, okay.	Það virðist allavega nóg af skít leka í gegnum sprungurnar.
Good afternoon.	Góðan dag.
Good afternoon.	Góðan dag.
Any progress on the inquiry I sent?	Er eitthvað að frétta af fyrirspurninni sem ég sendi?
Yes, Mr. Lowe, I've got the information you asked for.	Já, hr. Lowe. Ég er með upplýsingarnar sem þú baðst um.
As expected, there are neither guests nor hosts registered in that sector.	Eins og við var að búast eru hvorki gestir né veitendur skráðir á þessu svæði.
As expected?	Eins og við var að búast?
It's been designated off-limits for future narrative development.	Það var skráð bannsvæði vegna framkvæmda fyrir væntanlega söguþræði.
How many techs visited Sector 17 recently?	Hafa einhverjir tæknifulltrúar heimsótt svæði 17 nýlega?
Checking.	Ég skal athuga.
No one.	Enginn.
Are you Arnold?	Ert þú Arnold?
Who's Arnold?	Hver er Arnold?
And who the hell are you?	Og hver í fjáranum ert þú?
Boy, is this some friend of yours?	Er þetta vinur þinn, strákur?
Well, you're trespassing.	Þú ert hér í leyfisleysi.
Freeze motor functions.	Ég sagði:
I said freeze all motor functions.	Stöðvið alla vélræna starfsemi.
Daddy, don't hurt him!	Pabbi! Ekki meiða hann!
He's just lost.	Hann er bara villtur.
Well, he can be lost on someone else's property.	Þá getur hann villst á landareign einhvers annars.
Can't you?	Geturðu það ekki?
That's enough.	Þetta nægir.
As you were.	Í fyrri stöðu.
They don't respond to voice commands.	Þeir svara ekki raddstýringu.
They do respond to mine.	Þeir svara minni.
Who are they?	Hverjir eru þeir?
Ghosts now.	Þeir eru vofur núna.
Survivors of the wreck of time.	Eftirlifendur braks tímans.
These are first generation? Mm-hmm.	Þeir eru af fyrstu kynslóðinni.
Come here, boy.	Komdu hingað, drengur.
Turn the other cheek.	Réttu mér hinn vangann.
See, what our newer designs gained in efficiency, they lost in grace.	Það sem nýja hönnunin skilaði í skilvirkni tapaði hún í þokkanum.
How are they still operating after all this time?	Hvernig ganga þeir enn eftir allan þennan tíma.
I maintain them myself.	Ég held þeim við sjálfur.
That's enough, Robert.	Þetta nægir, Robert.
These are the only ones left in the park that Arnold built himself.	Þetta eru þeir einu eftir í öllum garðinum sem Arnold smíðaði sjálfur.
That's why I didn't have the heart to destroy them.	Þess vegna hafði ég það ekki í mér að eyða þeim.
That and the obvious.	Það og hið augljósa.
Hello, Jock.	Halló, Jock.
Good boy.	Góður strákur.
I told him of a holiday my family had taken once out on the seaside at Pendeen in Cornwall.	Ég sagði honum frá fríi sem við fjölskyldan nutum eitt sinn við sjávarsíðuna í Cornwall.
My brother and I roamed the countryside.	Við bróðir minn flökkuðum um sveitina.
It's my only happy memory of my childhood.	Þetta er eina hamingjuminningin sem ég á úr æsku.
Arnold built them as a gift.	Arnold smíðaði þá sem gjöf.
He said that great artists always hid themselves in their work.	Hann sagði að mestu listamennirnir dyldust alltaf í verkum sínum.
Of course, Arnold's versions flattered the originals.	Smíði Arnolds var að sjálfsögðu betri en fyrirmyndirnar.
I made some adjustments over the years.	Ég framkvæmdi nokkrar stillingar í gegnum árin.
Gave my father, in particular, a few of his original characteristics.	Gaf föður mínum sérstaklega eitthvað af sínum upprunalega persónuleika.
Respectfully, sir, this sort of thing troubles me...	Virðingarfyllst, herra, svona lagað veldur mér áhyggjum.
Unmonitored hosts in the park.	Eftirlitslausir veitendur í garðinum?
They only go where I've let them.	Þeir fara aðeins þangað sem ég leyfi þeim að fara.
They're quite harmless, like all our hosts.	Þeir eru alveg meinlausir eins og allir veitendurnir.
I'm sure you can indulge me the little connection with my past.	Þú lætur eflaust eftir mér smá tengingu við fortíð mína.
If you could only see your son again, Bernard, wouldn't you want to?	Ef þú gætir bara séð son þinn aftur, Bernard, myndi þig ekki langa það?
I think I should be getting back.	Ég ætti að halda til baka. Já.
Yes. We'll talk about this later if you like.	Við ræðum þetta síðar ef þú vilt.
Well, Robert... tell me all about your day.	Jæja, Robert, segðu mér frá deginum þínum.
Keep your eye on Pariah.	Fylgstu með Pariah.
We're running close to capacity tonight.	Við erum að nálgast þolmörkin í kvöld.
Oh, my God.	Guð minn góður.
Looks like acid rain on Sweetwater!	Það fellur súrt regn á Sweetwater!
Fuck Ford and his new fucking narrative.	Ford má éta skít með nýja söguþráðinn sinn!
Fuck this stupid fucking map.	Fari þetta fjandans heimskulega kort til helvítis!
Fuck that teetotaling Danish bitch.	Þessi danska bindindistík má ríða sér!
Are you filing a complaint, Mr. Sizemore?	Leggurðu inn kvörtun, hr. Sizemore?
I am declaring that this park is my stage and I shall do with it what I please.	Ég lýsi því yfir að þessi garður sé mitt svið og ég geri við hann það sem mér sýnist.
Well, I suppose now is as good a time as any.	Jæja, þessi tími er sennilega jafngóður og hver annar.
Lee Sizemore, this is Charlotte Hale, executive director of our board.	Lee Sizemore, má ég kynna, Charlotte Hale stjórnarformann.
She's here on behalf of Delos to oversee certain transitions in our administration.	Hún er hér fyrir hönd Delos til að hafa yfirumsjón með ákveðnum skiptum í yfirstjórninni.
We've met. Oh.	Við höfum hist.
Access host resources logs.	Opnaðu veitendaskrána.
How many first-generation hosts are there? 82.	Hvað eru margir veitendur af fyrstu kynslóð? 82.
And how many of those were designed by Arnold? 47.	Hver margir þeirra voru hannaðir af Arnold? 47.
List the names alphabetically of all first-generation hosts still in rotation. Forward!	Raðaðu öllum starfandi veitendum af fyrstu kynslóð í stafrófsröð.
Be smart about this, fellas.	Enga vitleysu, félagar.
I understand the visceral pleasure of revenge more than most, but... I'm prepared to do business, here.	Ég þekki djúpstæða ánægjuna sem hefndin veitir betur en flestir en ég er reiðubúinn að semja í þetta sinn.
This man is very valuable to me, alive and well.	Þessi maður er mér mjög verðmætur lifandi og heill á húfi.
If you don't quiet down, I'm liable to add you to the herd.	Ef þú þegir ekki verð ég að bæta þér í hjörðina ásamt Flood vini þínum.
Along with your buddy Flood here.	Þú ert svikull andskoti og kaldrifjaður morðingi, Flood.
You're a traitorous son of a bitch and a coldhearted killer, Flood.	Þú hefur rétt fyrir þér.
You're right, I am a killer.	Ég er morðingi.
Grab a horse.	Gríptu hross!
Let's get the fuck outta here.	Drullum okkur héðan!
They'll just follow us.	Þeir elta okkur bara.
Whatever we're onto is some heavy shit.	Hvað sem við fundum er málið orðið grafalvarlegt.
Oh, get this.	Og það er meira.
That bicameral system you told me about?	Tvískipta kerfið sem þú sagðir mér frá?
I think that's what they used to hack the woodcutter. The voices our hosts have been hearing?	Ég held að þeir hafi notað það til að hakka skógarhöggsmanninn.
I think someone's been broadcasting to them.	Ég held að einhver sendi út raddirnar sem veitendurnir heyra.
We abandoned that system decades ago.	Við gáfum þetta kerfi upp á bátinn fyrir mörgum áratugum.
Yeah, well, there's still relays out there in the park, and it looks like someone turned one on.	Endurvarpsstöðvarnar eru enn til staðar í garðinum og einhver virðist hafa virkjað eina þeirra.
Where?	Hvar?
An abandoned theater in Sector 3.	Í yfirgefnu leikhúsi á svæði 3.
Did you bring him?	Er hann með þér?
Where is he, boy?	Hvar er hann, drengur?
Okay.	Allt í lagi.
I'm an evil genius hiding a relay.	Ég er illur snillingur sem þarf að fela sendi.
Where the fuck do I hide it?	Hvar fel ég hann?
Fuck, yes.	Ójá.
Now let's see what we can get out of you.	Sjáum hverju við náum úr þér.
Access previous users.	Opnaðu fyrri notendur.
I thought I was clear about these late-night visits.	Ég hélt að ég hefði verið skýr varðandi þessar síðkvöldsheimsóknir.
That's not why I'm here.	Ég kom ekki vegna þess.
Earlier today, I found some anomalies in the park.	Fyrr í dag fann ég nokkur frávik í garðinum.
Regardless of what's happening between us, we need to talk.	Burtséð frá því sem er í gangi á milli okkar verðum við að tala saman.
This has to do with the stray?	Tengist þetta flakkaranum? Þetta byrjaði þar.
That's where it started.	En svo rakst ég á svolítið.
But then I stumbled onto something, something I think you should know about.	Svolítið sem þú ættir að vita.
I've always trusted Ford.	Ég hef alltaf treyst Ford.
He's a mentor and a friend.	Hann er lærifaðir minn og vinur.
But I'm beginning to think you have reason for concern.	En ég er farinn að hallast að því að þú þurfir að hafa áhyggjur.
There's something going on here, something with his old partner, Arnold. Not now, Elsie. Don't hang up.	Það er eitthvað í gangi hérna, eitthvað sem varðar gamla félaga hans, Arnold.
I hit pay dirt.	Ekki núna, Elsie. Ekki skella á. Ég datt í lukkupottinn.
I found the person who was smuggling out our data.	Ég fann hver það er sem smyglar út upplýsingum.
It was Theresa, Bernard.	Það var Theresa, Bernard.
But she's not our only problem.	En hún er ekki eina vandamálið.
There's something much bigger going on here.	Það er eitthvað mun stærra í gangi hérna.
I'm gonna have to call you back.	Ég verð að hringja í þig seinna.
So, this is me?	Er þetta ég? Þetta er kóðagrunnurinn þinn.
It's your codebase, all the things that make you you.	Allt sem gerir þig að þér.
What are these?	Hvað er þetta?
Your attribute matrix.	Eiginleikagrunnmassinn.
It's your personality on a 20-point scale.	Þetta er persónuleikinn þinn á tuttugu stiga skala.
Like coordination.	Eins og samhæfingin.
Everything.	Allt.
What's this one?"	En hvað er þetta?"
Bulk apperception "?	Meðvituð meginskynjun?"
Basically overall intelligence.	Í rauninni heildargreindin. Fjórtán?
14? 14 is as high as they'll let any hosts go.	Fjórtán er það hæsta sem þeir leyfa veitendum að ná.
You're in a management position.	Þú gegnir stjórnunarstöðu.
They want you to be smart.	Þeir vilja hafa þig greinda.
But not too smart.	En ekki of greinda.
You run a whorehouse, not an orbital launch facility.	Þú rekur hóruhús, ekki geimferðastöð. Gott og vel.
I 'd like to make some changes.	Ég vil gera nokkrar breytingar.
We can't do that.	Við getum það ekki.
You 'd need a, ahem, behavior login.	Til þess þarf hegðunaraðgang.
And even then, any changes we 'd make would just get auto-flagged, so...	Og þótt við hefðum hann kæmu allar breytingar fram...
That's not what your friend here tells me.	Það er ekki það sem vinur þinn hérna segir mér.
He says you can do exactly that... Activate hosts and then erase their memory, all without anyone knowing.	Hann segir að þú getir gert nákvæmlega þetta, virkjað veitendur og þurrkað út minni þeirra, allt án þess að nokkur viti það.
Took me all of five minutes to understand why.	Það tók mig heilar fimm mínútur að skilja hvers vegna.
A lot of lonely young men down here. Supposed to keep their hands off the merchandise.	Það er fullt af einmana ungum mönnum hérna niðri sem mega ekki handleika varninginn.
Creates something of an opening that I'm sure you were eager to fill.	Það skapar ákveðið tóm sem ég er viss um að þig dauðlangar að fylla.
