Affirmative.	Staðfest.
He will when we sell his house.	Hann getur það þegar við seljum húsið hans.
Dirty rat.	Skítseiði.
I'll show him. Picking on people.	Ég skal kenna honum að vera ekki að níðast á fólki.
Beautiful day.	Fallegur dagur.
Do the world a favor and pull your lip over your head and swallow.	Vertu nú svo vænn að draga vörina yfir hausinn og gleypa.
Asshole.	Hálfviti.
Bloodsuckers.	Blóðsugur.
Max, what's going on?	Max, hvað gengur á?
Morning, Ariel!	Daginn, Ariel!
Wait a minute.	Bíddu augnablik.
Break it in.	Hvað þá?
Watch this.	Brjótist inn.
You'll get a kick out of it.	Sjáðu, þú hefur gaman af þessu.
We'll see about this.	Við skulum sjá til með þetta.
This isn't going to stop me, Mr. Goldman.	Þetta stöðvar mig ekki, hr. Goldman.
I got him right where I want him.	Hann er akkúrat þar sem ég vil hafa hann.
Got it, just like you said.	Ég fékk það sem þú baðst um.
You don't understand.	Þú skilur ekki.
I can handle it.	Ég ræð við þetta.
I'm Jacob Goldman, Mayor of Wabasha.	Ég er Jacob Goldman, bæjarstjóri í Wabasha.
I have a 30-day cease and desist order. You can't touch this house.	Ég er með dómsúrskurð sem kveður á um að þú megir ekki snerta þetta hús.
Very well.	Gott og vel.
You look great.	Þú ert glæsileg.
Thanks, so do you.	Takk, þú líka.
I mean it.	Ég meina það.
People always try to be nice by saying you look great but... you really do look great.	Flestir segja svona til að vera kurteisir en þú ert afar glæsileg.
I feel good.	Mér líður vel.
How are you?	Hvernig hefurðu það?
I'm good, Jacob.	Mér líður vel, Jacob.
Listen, I'm sorry about the...	Mér þótti leitt að heyra um...
Divorce.	Skilnaðinn.
Thanks.	Takk.
I'm just glad it's over and done with.	Ég er bara fegin að hann er að baki.
You must be.	Það hlýtur að vera.
Ready for this?	Ertu tilbúinn?
No, not really.	Það er varla.
Listen, if you need someone to talk to tonight... I'm staying at Pop's.	Ef þú vilt tala við einhvern í kvöld þá verð ég hjá pabba.
Thanks, Jacob.	Takk, Jacob.
I 'd like that.	Mér líst vel á það.
Hey, you two.	Þið tvö þarna.
Get your asses in here.	Hunskist hingað inn.
I guess it's time.	Það er komið að því.
Where have you been?	Hvar hefur þú verið?
Relax.	Slakaðu á.
You nervous?	Ég er ekki óstyrkur.
The groom is nervous.	Brúðguminn er það.
I'm not nervous, schmuck.	Ég er ekki óstyrkur, auli.
Don't call me schmuck, putz.	Ekki kalla mig aula, fífl.
You're in a church.	Þið eruð í kirkju.
Wait.	Bíðið!
Ain't you forgetting something?	Ertu ekki að gleyma dálitlu.
That'll do it.	Þetta er nóg.
That'll do it, Dad.	Þetta er nóg, pabbi.
I think that'll do it.	Svona, nú förum við.
You're the greatest.	Max, þú ert bestur.
Thank you.	Takk.
I love you.	Ég elska þig.
Goodbye, pumpkin.	Bless, ástin.
Have fun.	Skemmtið ykkur.
Here's your house.	Þú heldur húsinu.
Jacob got them to waive the penalties and interest.	Jacob fékk þá til að sleppa vanskilagjöldunum og ég sá um 13.000 dalina.
I took care of the $ 13,000.	Þurrkaðu glottið af smettinu.
Wipe the smile off your face, it's just a loan.	Þetta er bara lán.
I'll lay eight-to-five you can't get it up the entire honeymoon.	Ég þori að veðja að þú nærð honum ekki upp alla brúðkaupsferðina.
You're on.	Ég tek því.
I got a sure winner.	Ég get ekki tapað.
You smell something?	Finnurðu lyktina?
What is that?	Hvað er þetta?
That dirty son of a...	Þessi skíta...
What a putz.	Þvílíkt fífl.
What do you feel like tonight, Leno or Letterman?	Hvað viltu horfa á í kvöld, Leno eða Letterman?
Tell me about it in the morning.	Segðu mér frá því í fyrramálið.
Where are you going?	Hvert ertu að fara?
The Daughters of the American Revolution are having a dance at the VFW.	Dætur amerísku byltingarinnar halda dansleik í húsi uppgjafahermanna.
Maybe I'll get lucky.	Kannski hleypur á snærið.
Don't wait up for me.	Ekki vaka eftir mér.
What have you got there?	Hvað ertu með þarna?
Broccoli.	Brokkólí.
Looks like he's going to enter the holy of holies.	Chuck ætlar sér að eiga við það allra helgasta.
Coitus uninterruptus.	Samfarus trylltus.
I throw back what I'm not going to eat.	Ég skila þeim fiskum sem ég borða ekki.
It's a shame that... your uncle has a fish market on 23rd Street and 14th Avenue.	Synd að frændi þinn á fiskbúð á horni 23. strætis og 14. breiðgötu.
26th.	26.
26th Street, you dummy.	26. stræti, asninn þinn.
I'm Ronald Reagan.	Ég heiti Ronald Reagan.
I used to be President of the United States.	Ég var eitt sinn forseti Bandaríkjanna.
I live across the street.	Ég bý þarna á móti þér.
Yes, come in.	Komdu inn.
I was also in the movies.	Ég lék líka í kvikmyndum.
I was a lousy actor.	Ég var afleitur leikari.
Looks like Chuck's going to put the hot dog in the bun.	Chuck ætlar að setja pylsuna í brauðið.
Oh, Jesus, Dad.	Í Guðanna bænum, pabbi.
That's why I came down.	Þess vegna kom ég.
Spit it out.	Hræktu því út úr þér.
Don't shout.	Ekki hrópa.
I'm not.	Ég er ekki að því.
Bust my tucchus to get here on New Year's Eve... or Christmas, or whatever the...	Ég dröslaði sjálfum mér hingað á gamlárskvöld eða aðfangadagskvöld eða hver andsk... það nú er.
Looks like Chuck's a tomcat on the prowl.	Chuck er eins og breima högni.
I got a pinched sciatica that makes your lumbago look like eye strain.	Ég er með þjótak sem gerir þursabitið þitt að engu í samanburðinum.
Is it?	Er það?
Does he?	Gerir hann það?
Would he?	Myndi hann?
Is he...	Er hann?
Yes, he is.	Já, hann er það.
Looks like Chuck is taking the old log to the beaver.	Chuck ætlar hefja lurkinn á loft.
Looks like Chuck's going to bury his boner.	Chuck ætlar að sökkva skepnunni.
That's right, you're a moron.	Það er rétt, þú ert fáviti.
Who left?	Hver var að fara?
2014-07-17 01:39:04,435 1/1 English 1.0 1138 English Comedy,Drama,Romance 1993 103 USA 1401 19 1 0 0 9685 utf-8	1144 Icelandic 1.0 1/1 2010-02-21 01:39:04,466 USA 103 Comedy,Drama,Romance 1993 English 0 1367 0 8679 8 iso-8859-4 0
Oh, my God!	Í ELDLÍNUNNI HjāIpi mér!
Frank, thank God!	Frank, Guði sé lof!
I got lost.	Ég villtist.
This town is so confusing.	Hér er ömögulegt að rata.
What a day.	Þvílíkur dagur...
My wife had to work early.	Konan þurfti snemma í vinnu.
It won't happen again.	Þetta gerist ekki aftur.
Frank, how are you doing?	Frank, blessaður.
It's good to see you again.	Gott að sjā þig aftur.
Hi, Marty.	Sæll, Marty.
Sorry we're late.	Fyrirgefðu biðina.
Al, go help Jimmy and Raul.	AI, farðu og hjāIpaðu piltunum?
Yeah, sure.	Jā, sjālfsagt.
This is his.	Þetta er byssan hans.
You don't trust me?	Þ ų treystir mér ekki?
I live in a crappy neighborhood.	Ég bý í hāskalegu hverfi.
Have you got that funny money?	Ertu með falsseðlana?
Yeah.	Jā.
Right here.	Þetta eru þeir.
It looks good. It looks real good.	Þetta er gott, mjög gott.
We're in business.	Við getum haft viðskipti.
Excellent.	Ljómandi.
There's just one problem.	Það er bara eitt að.
This guy Al...	Þessi nāungi, Al...
He keeps asking all these questions about my counterfeiter.	Hann er sífellt að spyrja um falsarann minn.
My instinct usually tells me when something's wrong.	Jā, spyr of mikið. Ég fæ oftast hugboð ef eitthvað er að.
And there's something wrong.	Og hér eru maðkar í mysunni.
So I had him followed.	Svo ég lét veita honum eftirför.
Come on, let's go get an omelet.	Komdu nų, fāum okkur eggjaköku.
Let me get my pistol.	Ég ætla að fā byssuna mína aftur.
My gun?	Byssan mín?
You're under arrest.	Þ ų ert handtekinn.
You're under arrest, too.	Þ ų ert handtekinn líka.
Secret Service.	Leyniþjónustan.
You knew from the weight of the gun that it was empty, right?	Þ ų fannst það ā þyngdinni að byssan var óhlaðin, ekki satt?
There could have been one bullet there.	Það hefði getað verið ein kųla.
Do you think we can go someplace and talk about this?	Heldurðu að við gætum farið eitthvað og rætt þetta?
Doesn't killing guys get to you?	Fær ekki ā mann að drepa?
It gets to you.	Það fær ā mann.
I don't like this undercover stuff.	Mér líkar ekki þetta leynimakk.
I don't know.	Ég veit það ekki.
Maybe I'm...	Kannski ég...
Maybe I'm just wrong for the job.	Kannski passa ég ekki í þetta.
You're a good man, Al.	Þ ų ert góður maður, Al.
You'll make a good agent.	Þ ų spjarar þig.
How do you know?	Hvernig veistu það?
I know things about people.	Ég er mannþekkjari.
Come on, let's eat.	Komdu, fāum okkur að borða.
I've got to go home to my family.	Mig langar heim til mæðginanna.
A lot of guys warned me you were a pain in the ass.	Þegar ég byrjaði sögðu mér margir að þų værir óþolandi. Hārrétt.
I'll see you in the office.	Hittumst ā skrifstofunni.
Damn!	Asskotinn!
The office.	Skrifstofan.
Monroe wants us to check this out.	Monroe vill að við athugum þennan.
I'll take care of it.	Ég geri það.
I'll go with you.	Ég fer með þér.
No.	Nei.
Go hug your wife and kid.	JOSEPH McCRAWLEY 3155 MT.
I was not snooping, but the smoke alarm was going off.	PLEASANT STREET Ég er ekki hnýsin. Ég snuðra ekki.
I got scared.	Ég verð hrædd.
I got more scared when I saw what was inside.	Ég verð hræddari þegar ég sé hvað er innifyrir.
The smoke was from crumbs in the oven he left on.	Reykurinn var frā mylsnu í ofninum sem hann ekki hafði slökkt ā.
31 years I've been in this country.	31 ār er ég hér í landi.
I love the United States.	Ég elska Bandaríki.
I've been to the White House.	Ég fer til Hvíta hųss.
Only in the United States can just anybody go to visit the President.	Bara Bandaríkjum getur hver sem er farið í hųs forsetans í heimsókn.
So when I saw this, these killing things I called the police.	Svo þegar ég sé þetta, þessi... drāpsplögg ég hringi lögreglu.
I remember it like yesterday.	Ég man það enn eins og gærdaginn.
I cried and cried.	Ég grét og grét.
Joseph McCrawley, Denver.	Joseph McCrawley, Denver.
Died 30 years ago, age 11.	Dó fyrir rųmum 30 ārum, 11 āra.
Your guy is using his ID.	Ykkar maður er með skilríki hans.
Thanks, Jack.	Þakka þér fyrir, Jack.
Federal Agents.	Leyniþjónustan.
Open up!	Opnið!
Oh, my God!	Ó, Guð minn góður!
That's you.	Þetta ert þų.
Yeah?	Jā?
Yeah?	Jā.
The Secret Service agent?	Leyniþjónustuspæjarinn?
Yeah.	Jā.
What did I win?	Hvað hef ég unnið?
My God, it's really you?	Drottinn minn, er þetta þų sjālfur?
Who the hell is this?	Hver í fjandanum er þetta?
That was you in my apartment.	Það varst þų inni hjā mér í gær.
Why not call me Booth?	Því ekki Booth?
Why not Oswald?	Af hverju ekki Oswald?
Booth had flair and panache.	Booth var elegant.
The leap to the stage after he shot Lincoln.	Að stökkva uppá sviðið eftir að hafa skotið Lincoln?
Where are you?	Hvar ertu?
Closer than you 'd imagine.	Nær en þig órar fyrir.
It's very ex citing to talk to you.	Það er spennandi að tala við þig.
I feel like I know you.	Mér finnst ég þekkja þig.
I've read about you and seen photos.	Ég hef lesið um þig, séð myndir.
You were JFK's favorite agent.	Fyrir Kennedy varstu sá skarpasti.
But that was a long time ago.	En það var fyrir löngu síðan.
What keeps you going?	Hvað heldur þér gangandi?
Let's get together and talk.	Fāum okkur í glas og ræðum það.
I think the less you know about me, the better.	Ég held að því minna sem þú veist um mig því betra.
I'm planning to kill the President.	Ég ætla að drepa forsetann.
You shouldn't have said that.	Þetta hefðiru betur lātið ósagt.
Fate has brought us together, Frank.	Örlögin leiddu okkur saman, Frank.
I just can't get over the irony.	Það er bara þessi kaldhæðni.
What irony?	Hvaða kaldhæðni?
Your intimate involvement with the assassinations of two presidents.	Að þú verðir riðinn við tvö forsetamorð.
Hang on a second.	Hinkraðu aðeins.
Between 165 and 180 pounds.	80 til 90 kíló.
Between 28 and 45.	Aldur? 28 til 45.
Before an election, panic is what you've got on a good day.	Að allt sé í uppnāmi fyrir kosningar er nų það minnsta.
They're waiting for you.	Þeir bíða eftir þér.
Hey, Frank.	Sæll, Frank.
It's been a long time.	Langt síðan þų hefur sést.
I hear the new director isn't much fun.	Nýi forstjórinn er víst hālf þurr.
I've been the director for two years.	Ég hef verið forstjóri nærri tvö ār.
Al D 'Andrea.	Al D ' Andrea.
You know Matt Wilder.	Frank, þų þekkir Matt Walter.
He still owes me $ 20 from Super Bowl 21.	Jā, skuldar mér 20 dali síðan ā Bikarleiknum ' 86.
This is agent-in-charge Bill Watts and Lilly Raines.	Þetta er Bill Watts, deildarstjóri, og Lilly Raines.
She's very pretty for a secretary.	Ritararnir hér verða æ fallegri.
And you're very old for an agent.	Og ųtigangarnir æ eldri.
Lilly's an agent.	Lilly er leyniþjónustumaður.
I just wanted to see if she had a sense of humor.	Veit. Ég var bara að athuga hvort hųn hefði kímnigāfu.
Have a seat.	Fāið ykkur sæti.
Let's talk about this guy.	Við skulum ræða þennan nāunga.
I guess we're calling him Booth for now.	Ætli við köllum hann ekki Booth hér eftir.
What do you know about him?	Hvað veistu um hann?
He's dangerous.	Hann er hættulegur.
How do you know?	Hvernig veistu það?
I know things about people.	Ég er mannþekkjari, Lilly.
Bill, there was a time around here when I was almost as arrogant as you.	Bill, sų var tíðin að ég var næstum jafn hrokafullur og þų.
I don't have time for this.	Ég mā ekki vera að þessu.
I've got to pull 75 agents out of Miami.	Ég þarf að kalla 75 menn heim frā Miami.
Keep me posted, Sam, will you?	Ég vil fylgjast með þessu, Sam.
So what do we do with this guy?	Jæja, hvernig tökum við ā mālinu?
We keep investigating.	Höldum rannsókninni āfram.
Tap my phone.	Lāttu hlera símann minn.
Will he call again?	Hringir hann aftur?
He'll call.	Hann hringir.
He's got panache.	Hann er elegant.
Panache?	Elegant?
Yes, it means flamboyance.	Jā, það þýðir glæsibragur.
I know what it means.	Ég veit hvað það þýðir.
Really?	Virkilega?
I want to be assigned to the President.	Ég vil komast til forsetans.
Protection?	Í vörsluna?
After all these years?	Eftir öll þessi ār?
Frank, you're a dinosaur.	Frank, þų ert steinrunninn.
This guy's gonna make a try.	Nāunginn reynir.
Watts will fight me all the way.	Watts snýst öndverður við.
You owe it to me.	Ég ā það margfalt inni hjā þér.
I've kept you in a job.	Veistu hve oft ég hef bjargað þér?
I've got to come back.	Ég verð að komast að aftur.
Do you really want to stand post again?	Er þér alvara að vilja komast aftur í vörsluna?
At your age?	Á þínum aldri?
Yeah, I've got at least one pair of good shoes somewhere.	Jā, ég ā alltént eina góða skó einhversstaðar.
We're stopping.	Við stoppum.
I get it, you bastards.	Ég skil.
Who's the wise guy?	Hver var það?
Okay, everybody, back to work.	Gott og vel, allir aftur að verki.
All right, who was the joker?	Jæja, hver er grínistinn?
It may not have been a joke.	Kannski var þetta ekki í gríni.
You were looking peaked today.	Þ ų varst fölur og tekinn í dag.
I'll pay him back in spades.	Sā skal fā makleg mālagjöld.
How can you be sure it was a him?	Því skyldi það hafa verið "hann"?
You've missed my street, Al.	Þ ų ókst framhjā minni götu, Al.
Why don't you have a car?	Því færðu þér ekki bíI?
I lived in New York a long time.	Ég bjó lengi í New York.
He and the French President stopped twice to greet the crowds.	Hann og Frakklandsforseti stönsuðu tvisvar til að heilsa mannfjöldanum.
It's a weird sub-culture, Al.	Þetta er skrýtið gengi, Al.
Send some agents to check this out.	Sendu nokkra menn að kanna þetta.
Ask about some whackos.	Spurðu eftir brjālæðingum.
I'll get on it in the morning.	Ég fer í það strax ā morgun.
The arrival in Texas.	Koman til Texas.
It must have been ex citing.	Það hlýtur að hafa verið āhrifamikið.
Dallas.	Dallas.
That morning at Love Field.	Morguninn ā Love Field-velli.
You all look so radiant.	Það ljómar svo af ykkur öllum.
JFK, Jackie and you.	JFK, Jackie og þér.
You look so young and able, Frank.	Þ ų svo ungur og dugandi að sjā.
What did happen to you that day?	Hvað gerðist með þig þennan dag?
The only agent to react to the shots was farther away than you.	Eini vörðurinn, sem brāst við skotunum, var lengra frā en þų.
You must have looked up at that window, but you didn't react.	Þér hlýtur að hafa orðið litið uppí gluggann, en þų hafðist ekki að.
Late at night when the demons come do you see the rifle at the window, or Kennedy's head being blown apart?	Um dimmar nætur þegar pųkarnir birtast... Sérðu þā riffilinn í glugganum eða höfuð Kennedys tætast sundur?
If you 'd reacted in time, could you have saved him?	Hefðiru brugðist við í tíma, gastu þā bjargað honum?
If you had, that could've been your head being blown apart.	Þā hefði þitt höfuð kannski tæst í sundur.
Do you wish you 'd succeeded, or is life too precious?	Vildirðu hafa getað afstýrt þessu, eða er lífið of dýrmætt?
What's done is done.	Gert er gert.
I'll talk to you again soon.	Ég tala brāðum við þig aftur.
It's nice to have a friend.	Það er gott að eiga vin.
Did you get him?	Nāðuð þið honum?
We got him.	Við nāðum honum.
He may have a device that makes it look like he's using another number.	Hann gæti haft tæki sem gerir að að hann heyrist vera í öðru nųmeri.
This device, how could he get it?	Hvernig fær hann þannig tæki?
He could build one.	Hann gæti smíðað sér það.
Can you trace it?	Getið þið hlerað það uppi?
We could run a parity check.	Við getum parprófað.
Can you trace the call?	Getið þið rakið samtalið?
Not if it's a para-analog line.	Ekki ef það er gömul analóg-lína.
Give me a straight answer, or Al will shoot off his foot.	Ég vil skýr svör eða Al skýtur undan honum löppina.
If he calls again, keep him on the line.	Ef hann hringir aftur heldurðu honum sem lengst.
You think the French want to knock off the President?	Heldurðu að Frakkarnir vilji kāla forsetanum?
Why does every chief of staff...	Þeir dā hann!
You have no reason to think that this is anything but an idle threat.	Þið hafið enga āstæðu til að taka þessu öðruvísi en sem hótun.
You want me to cancel a state dinner and risk offending the French?	Og ég ā að aflýsa opinberri veislu og hætta ā að móðga Frakka?
This guy's pushed your buttons and you're overreacting a little.	Kannski gerir þų of mikið ųr þessu af því hann var að erta þig?
I'm trying to protect your boss.	Ég vil bara vernda yfirmann þinn.
So am I. We're trailing 12 points in the polls, and the election's in six weeks.	Ég líka. Við eru 12 prósentum undir í könnunum og 6 vikur til kosninga.
He's got to be seen.	Hann verður að koma fram.
Even if it kills him?	Þ ó að það verði hans bani?
How could being down 12 points look like good news?	Hvernig gat það að vera 12 % undir verið góðar fréttir?
The President was even worse off weeks ago.	Það stóð jafnvel enn verr hjā forsetanum fyrir fāeinum vikum.
He'll be out with the voters in the Midwest and then in California.	Hann vitjar kjósenda í Mið-Vestur fylkjunum og síðan í Kaliforníu.
The President and First Lady of the United States.	Forseti og forsetafrų Bandaríkjanna.
Strange, I get sympathy from an assassin and a woman I annoy.	Ég nýt samųðar morðingja og konu sem ég ergi.
Would you care to dance?	Viltu dansa?
Perhaps some other time.	Kannski einhverntíma seinna.
I get off in a couple of hours.	Ég losna eftir nokkra tíma.
What are you looking at?	Af hverju horfirðu svona?
Where do you hide your firearm?	Hvar felurðu byssuna?
We hope to see you again.	Vonumst til að sjā ykkur aftur.
Deposit this in the new account.	Þetta er til að opna reikning.
I'll need to see your papers."	Og ég þarf að sjā umboðið.
Microspan Corporation."	Microspan h.f.
What kind of business are you in?	Í hverju eruð þið?
Software.	Tölvubųnaði.
Up in San Jose?	Í San Jose?
I'm based there, but I'm opening an office in L.A. You're not from San Jose?	Bækistöðvarnar eru þar, en ég er að opna skrifstofu í L.A. Ekki ertu frā San Jose?
Where are you from?	Hvaðan ertu?
You're kidding!	Þ ų meinar ekki!
So am I. Well, it's a small world.	Ég líka. Ja hérna.
I hated the winters.	Ég þoldi ekki veturna.
I used to stay in and pig out.	Ég héIt mig inni og hāmaði í mig.
What high school did you go to?	Í hvaða skóla varstu?
There isn't any New Brighton.	Hann er ekki til.
There was when I was there.	Hann var það þā.
Well, maybe I'm just confused.	Nų, kannski ég sé bara að rugla.
It happens a lot.	Það er ekkert nýtt.
There was a school across from...	Það var skóli handan við...
I'm late, will this take long?	Þarf ég að bíða lengi?
Not at all, just another minute.	Alls ekki, bara andartak.
Thank you.	Þakka þér fyrir.
You have a very pleasant manner.	Þ ų ert mjög vingjarnleg.
Thank you, Mr. Carney.	Þakka yður fyrir, herra Carney.
How would you like to give a colleague a ride home?	Hvað með að skutla kollega heim?
Why do you keep flirting with me?	Því ertu alltaf að reyna við mig?
Am I?	Er ég að því?
You know it can't go anywhere.	Þ ų veist það leiðir ekki til neins.
That's why I do it.	Þess vegna geri ég það.
Come on, I'll buy you an ice cream.	Komdu nų, ég splæsi ā þig ís.
No further obligations.	Engar frekari skuldbindingar.
How many female agents are there?	Eru margar konur í þjónustunni?
About 125.	Um það bil 125.
There ain't a lot of us, but we do have a powerful lobby.	Við erum fāir, en höfum atkvæðamikinn þrýstihóp.
Time flies when you're annoyed.	Tíminn flýgur þegar maður er argur.
Where are you going?	Hvert ertu að fara?
I have a date.	Á stefnumót.
With whom?	Með hverjum?
That's none of your business.	Þér kemur það ekki við.
You want a ride?	Viltu far?
I don't think so.	Ég held ekki.
I like it here this time of day.	Það er gott hér um þetta leyti.
I think I'll hang out.	Ég ætla að slæpast dālítið.
Okay, thanks for the ice cream.	Gott og vel, takk fyrir ísinn.
See you.	Sé þig seinna.
You're welcome.	Verði þér að því.
If she looks back, that means she's interested.	Líti hųn við hefur hųn āhuga.
Come on now, give me that smug look and be on your way.	Svona, sendu mér þitt drýIdna augnarāð og haltu svo þína leið.
Well, Abe... Damn, I wish I could've been there for you.	Jæja, karlinn... vildi að ég hefði verið þar þér til varnar, félagi.
Hi, baby, how are you doing?	Sæll, elskan, hvernig líður þér?
Yes, I missed you too.	Jā, ég saknaði líka þín.
I didn't mean to startle you.	Ég ætlaði ekki að lāta þér bregða.
I got your address from the phone book.	Ég fann heimilisfangið í skrānni.
I'm not listed.	En ég er ekki í símaskrānni.
Well, I better come clean.	Ó, ó!
I followed you.	Ég elti þig.
I'm sorry, I'm not very good at this.	Fyrirgefðu. Mér ferst þetta ekki vel.
I also wanted to apologize for lying to you about being from Minneapolis.	Ég vil líka biðjast afsökunar ā að hafa þóst vera frā Minneapolis.
I shouldn't ask so many questions.	Ég ætti að spyrja minna.
Did you mention our conversation to anyone at the bank?	Gastu um samtal okkar við nokkurn í bankanum?
No!	Nei!
May I?	Mā ég?
Rory, settle down!	Rory, stilltur!
Pam, what's going on?	Pam, hvað gengur ā?
Oh, hi.	Ó, halló.
This is my roommate.	Hųn leigir með mér.
Sally, this is Mr. Carney.	Sally, þetta er herra Carney.
Nice to meet you.	Gleður mig.
I was just on my way out.	Ég var ā leið ųt.
I'm sorry, but you can't leave.	Það get ég því miður ekki leyft.
What?	Hvað þā?
You shouldn't have been from Minneapolis.	Þ ų hefðir ekki ātt að vera frā Minneapolis.
I don't know what you want, but... Hi, this is Sally. This is Pam.	Halló, þetta er Sally, og Pam, við erum úti að djamma eða sofandi.
We're not in right now. Leave your name and number. And we'll call you back.	Lestu inn nafn og símanúmer og við hringjum seinna.
Bye.	Bless.
Frank, I hope you don't mind me calling you at the office.	Frank, vona að þų hafir ekki ā móti að ég hringi til þín ā skrifstofuna.
No, why don't you drop by?	Nei, viltu ekki líta inn?
I 'd love to.	Ekki hefði ég ā móti því.
Let me take some time to welcome those who are joining us late.	Leyfist mér að bjóða þā velkomna sem hafa slegist seinna í hópinn.
I 'd love to drop by.	Mér þætti gaman að líta inn.
We've got so much in common. We do?	Við eigum svo margt sameiginlegt.
As if Kennedy would be alive today if you 'd been in bed by 10 p. m.	Eins og JFK væri enn ā lífi hefðuð þið farið að sofa klukkan tíu.
Maybe they were right.	Kannski var það rétt hjā þeim.
No, they weren't right.	Nei, það var raunar rangt.
You wanted to have agents stationed all around his car.	Hann hafnaði því að hafa menn þétt um bílinn.
He refused. Do you know why?	Veistu hvers vegna?
Because he had a death wish.	Dauðaþrā held ég.
He talked all the time about being assassinated.	Hann talaði sífellt um að verða drepinn.
His favorite poem was about death. I think he wanted to die. And I think he didn't care that his death would ruin your life.	0É: Held að Og ég held að honum hafi staðið á sama þó að það eyðilegði líf þitt.
What do you think?	Hvað ālítur þų?
Frank?	Frank...
What about you?	Hvað um þig?
Who betrayed you?	Hver sveik þig?
I don't think he's scrambling it.	Ég held þetta sé óruglað.
Some of the same people, but I'm going to get even. I'll have my day in the sun.	Að hluta þeir sömu, en ég ætla að hefna mín. Ég mun fā uppreisn.
The question is, will you?	Spurningin er, hvað um þig?
I think you're in for a lot more pain.	Ég held að þų eigir eftir að þjāst enn meira.
How much of this shit do I have to listen to?	Hve lengi ā ég að þurfa að hlusta ā þennan óþverra?
He's across the street. LaFayette Park.	Hann er rétt handan við götuna.
Booth!	Booth!
I told you to get in shape, Frank.	Ég sagði þér að þjālfa þig, Frank.
That's him!	Þetta er hann!
Al, that's him!	Al, þetta er hann!
Secret Service!	Leyniþjónustan.
I'm impounding this car.	Ég legg hald ā bílinn.
He put his hand on here.	Hann lagði höndina hérna.
We got fingerprints.	Við erum komnir með fingraför.
Are you all right, Frank?	Allt í lagi með þig, Frank?
Hey Tony, have a look at this.	Líttu ā þetta.
The print from Secret Service?	Fingrafarið frā Leyniþjónustinni?
Yeah, it's really strange.	Jā, þetta er stórskrýtið.
This is C-12.	Þetta er C-12.
We can't tell them.	Horrigan.
Horrigan, I'm afraid we've drawn a blank.	Við urðum einskis vísari er ég hræddur um.
You're sure?	Ertu viss?
We ran it against everything.	Við bārum það saman við allt.
I'm meeting with the President.	Ég fer með forsetanum ā morgun.
You keep investigating.	Þ ų heldur rannsókninni āfram.
What should I do?	Hvað geri ég?
You'll think of something.	Lāttu þér hugkvæmast eitthvað.
He'll concentrate on the Midwest, where he's sagging in the polls.	Hann einbeitir sér að fylkjum þar sem kannanir sýna veika stöðu hans.
The campaign will wind up in Chicago with a big rally.	Kosningabarāttunni mun ljųka ā fjöldafundi í Chicago.
Reservations.	Farmiðapantanir.
Do you have a flight on Tuesday from Washington to L.A.?	Fljųgið þið frā Washington til L. A. Ā þriðjudaginn?
I 'd like an open-ended ticket so I can make some stops on my return.	Ég þarf að geta komið við ā nokkrum stöðum í bakaleiðinni.
C 5, off-load the choppers first.	C-5, við affermum þyrlurnar fyrst.
Who's our route agent?	Hver stjórnar lestinni?
That'll be Jacqueline King.	Jacqueline King.
This is Watts, we have arrival at 13: 15.	Watts hér, komutími er 13:
Where are we keeping the cars?	15 Hvar geymum við bílana?
Denver PD has an area for us.	Lögreglan sér fyrir girtu svæði.
This is Watts, we're ten minutes out.	Watts hér. Tíu mínųtur í ākvörðunarstað.
Here in Denver we gather today in the shadow of giants.	Við komum saman hér í Denver í dag í skugga mikilmenna.
Brave pioneers who overcame the wilderness and carved a new nation.	Hugdjarfra frumherja sem brutu undir sig óbyggðir og sköpuðu nýja þjóð.
Today we are asked to match our vision to their vision.	Nų er þess krafist að við aðhæfum okkar hugsjónir þeirra hugsjónum.
And to pass that legacy on.	Og skilum þeirri arfleifð framāleið.
Is sector three secure?	Er svæði þrjų öruggt?
Sector three is secure.	Svæði þrjú er öruggt.
The President was campaigning today in Denver.	Forsetinn héIt barāttufund í Denver í dag.
We are living in a time of global economic transition.	Við lifum nų ā alþjóðlegu breytingaskeiði í efnahagsmālum.
We need compassion and vision to create a future of peace and progress for everyone.	Við þörfnumst samkenndar og framsýni til að skapa framtíð friðar og framfara handa öllum.
The President is due to arrive here in L.A. Later in the month. He'll compete for California's 54 electoral votes.	Forsetinn er væntanlegur hingað til L. A. Síðar í mánuðinum til að keppa um hina 54 afgerandi kjörmenn Kaliforníu.
This is Sandy Riggs calling.	Þetta er Sandy Riggs.
If you want to catch a rally in the Midwest, you 'd best call me.	Ef þú vilt ná kosningafundi í Mið-Vestur-fylkjunum skaltu hringja.
The President has no fixed schedule.	Áætlun forsetans breytist sífellt.
In answer to your other question, just send a cheque to party headquarters.	Hvað hitt varðar, þá sendu bara ávísun hingað til höfuðstöðvanna.
Ladies and gentlemen of Holly, Michigan, the President of the United States.	Hollybųar, Michigan. Fagnið forseta Bandaríkjanna.
We've gone a long way toward achieving that goal...	Við erum komin langt áleiðis að settu marki, en fjölmargt er ógert.
We've got some trouble up ahead.	E inhver vandræði framundan.
Notify the White House staff.	Látið þá úr Hvíta húsinu vita.
Milwaukee will be easy tomorrow.	Þetta verður auðvelt á morgun í Milwaukee.
