Bye, Jimmy.	Bless, Jimmy.
Listen to me.	Hlustaðu á mig.
Acute peritonitis.	Bráð lífhimnubólga.
We need to operate.	Við verðum að skera upp.
Maybe we should call the hospital.	Við ættum kannski að hringja á sjúkrahúsið.
Oh, my God. Sarah!	Guð minn góður, Sara.
She's walking!	Hún gengur!
Lord, we offer you our toil. For your glory and the world's suffering.	Drottinn, við bjóðum þér vinnu okkar til dýrðar þér og bjargar þjáðum heimi.
We give grace for our souls'salvation... and our bodies' healing.	Við þökkum sáluhjálp okkar og heilun líkamans.
Gaëlle, Gaëlle!	GaëIle!
Wait for me.	Bíddu eftir mér.
Gaëlle, wait for me.	GaëIle, bíddu eftir mér.
You force your way into a convent. What's more, you forge my signature!	Þú ruddist inn í klaustrið og falsaðir undirskrift mína.
And all for what?	Og til hvers?
For a Carmelite who's in perfect health.	Vegna Karmelítasystur sem er stálhraust.
St. Pierre Clavet's archivist contacted us.	Skjalavörðurinn hafði samband við okkur.
Sister Sarah is healed.	Systir Sara er heil heilsu.
Because I operated on her twin.	Þér er vikið úr starfi sem prestur.
My decision is final.	Ákvörðun mín er endanleg.
Until when?	Þar til hvenær?
Until you come to your senses.	Þar til þú nærð geðheilsu á ný.
You got many friends like this?	Áttu marga svona vini?
They're not friends.	Þetta er ekki vinafólk.
He's a medical professor.	Hann er læknaprófessor.
A specialist on twins.	Með tvíbura sem sérgrein.
I consulted him about you and Sarah.	Ég ræddi við hann um ykkur Söru.
He only knows your symptoms.	Hann veit bara hvaða einkenni þú hefur haft.
There are the children.	Þarna eru börnin þeirra.
Joachim, at last!	Joachim, mikið var.
Suzanne's three weeks early.	Barnið fæðist of snemma.
We need to talk.	Ræðum saman.
Sure, but could it wait a few hours?	Má það ekki bíða aðeins?
Can you mind the children?	Getið þið litið eftir börnunum?
I haven't had time to call anyone.	Ég hafði ekki tíma til að hringja í neinn.
Can I count on you, Father?	Get ég treyst þér, faðir?
Father Joachim's going to mind you.	Faðir Joachim gætir ykkar.
We won't be long.	Við verðum ekki lengi.
Feel like a few hours of normal life?	Viltu prófa eðlilegt líf í smá stund?
They're sleeping.	Þau sofa.
What does "screel deen" mean?	Hvað þýðir "screel deen"?
It's a warning.	Það er viðvörun.
To alert the other of danger.	Til að láta hina vita að hætta sé á ferðum.
What's stopping you from seeing Sarah?	Hvers vegna viltu ekki tala við Söru?
Not everyone likes to stare the past in the face.	Það líkar ekki öllum að horfast í augu við fortíðina.
I want to live, do the things I've never done.	Ég vil fá að lifa. Gera hluti sem ég hef aldrei gert.
Why are you helping me?	Hvers vegna hjálparðu mér?
Why me?	Hvers vegna mér?
Why not you?	Hvers vegna ekki?
True, priests help everyone... especially black sheep.	Pestar hjálpa auðvitað öllum, einkum svörtum sauðum.
Why won't you see Sarah again?	Af hverju viltu ekki hitta Söru?
Did she tell you I existed?	Sagði hún þér frá tilvist minni?
You found me all by yourself?	Þú hafðir sjálfur uppi á mér.
Not very Christian of her, was it?	Ekki mjög kristilegt af henni.
It's none of your business.	Þér kemur það ekki við.
Why is she shut away in a convent?	Af hverju er hún lokuð inni í klaustri?
I guess she's a believer... a bit like you.	Ætli hún sé ekki trúuð. Líkt og þú.
Why does your mother reject you?	Af hverju hafnar móðir þín þér?
Is this a cross-examination?	Er þetta yfirheyrsla?
You sure you're not a cop, too?	Ertu kannski líka lögga?
I'm tired.	Ég er þreytt.
Your room.	Herbergið þitt.
Have a good night's...	Góða nótt.
Don't tell.	Ekki segja frá.
Mommy, Mommy!	Mamma, mamma!
I want my mommy!	Ég vil fá mömmu.
He can't sleep.	Hann getur ekki sofið.
Maybe you should get Mommy.	Þið ættuð kannski að sækja mömmu.
She'll be back soon with a new baby.	Hún kemur bráðum heim með nýja barnið.
It's too early to get up.	Það er of snemmt að fara á fætur.
Go to sleep.	Reyndu að sofna aftur.
It couldn't be you.	Það getur ekki hafa verið þú.
You can't have done it.	Það getur ekki verið.
Why not?	Af hverju ekki?
It's not possible.	Það er útilokað.
Tell me the truth.	Segðu mér satt.
What do you want?	Hvað viltu mér?
A confession?	Á ég að skrifta?
You never killed.	Þú hefur engan drepið.
Do you want me to deny it?	Á ég að neita því?
I can't because I did it.	Ég gerði það.
I killed him, you hear me?	Ég drap hann, skilurðu það?
Tell me the truth.	Segðu mér sannleikann.
For the love of God.	Í Guðs bænum.
I don't believe in God.	Ég trúi ekki á Guð.
I don't know if I'm allowed a second chance... but I'm taking it.	Ég veit ekki hvort mér er gefið annað tækifæri en ég ætla að nota það.
I want to start over.	Ég vil byrja upp á nýtt.
But it's not possible here.	En það er ekki hægt hérna.
You have to help me.	Þú verður að hjálpa mér.
Help you do what? Do what?	Hjálpa þér við hvað?
Leave the country.	Að komast úr landi.
Save me. Save me.	Bjargaðu mér.
Save me.	Bjargaðu mér.
Daddy!	Pabbi!
You've got a baby sister called Aurélie.	Þið eigið litla systur sem heitir Aurélie.
I'm asking for help, not a sermon.	Ég bið um hjálp, ekki predikun.
Helping her break parole!	Þú hefur tapað glórunni.
I'll take the risk.	Ég tek áhættuna.
For a murderer?	Vegna morðingja?
To think you brought her into our house.	Að hugsa sér að þú skyldir vera með hana heima hjá okkur.
With our children!	Hjá börnunum.
I didn't mean to.	Ég ætlaði ekki að gera það.
Open your eyes!	Opnaðu augun!
She's making you leave France illegally... and renounce your faith.	Hún vill að þú farir ólöglega úr landi og afneitir trúnni.
I'm not renouncing anything.	Ég afneita engu.
I know why you entered the priesthood.	Ég veit hvers vegna þú gerðist prestur.
This girl has nothing to do with you.	Þessi stúlka kemur þér alls ekkert við.
No 12-year-old commits a crime like that... unless she's a monster.	Ekkert 12 ára barn fremur slíkan glæp nema vera ófreskja.
A monster?	Ófreskja?
All I see is a woman.	Ég sé aðeins konu.
You killed him!	Þú drapst hann!
Joachim?	Joachim?
Right.	Já.
Of course.	Auðvitað.
You in love?	Ertu ástfanginn?
Congratulations!	Til hamingju!
When do I get the passport?	Hvenær fæ ég vegabréfið?
Tomorrow.	Á morgun.
11: 00, here.	Hér klukkan 11.
I know I don't look it, but I'm fast.	Ég lít ekki út fyrir það, en ég vinn hratt.
All right.	Gott og vel.
11: 00 here tomorrow.	Hér klukkan 11 á morgun.
Welcome to Brazil.	Velkominn til Brasilíu.
I have the impression I saw you come through here two or three days ago.	Mér finnst ég hafa séð þig fara hér í gegn fyrir tveimur eða þremur dögum.
I don't speak...	Ég tala ekki...
Didn't you come through two or three days ago?	Fórstu ekki hér í gegn fyrir tveimur eða þremur dögum?
Pardon me.	Afsakið.
I'll translate for her.	Ég skal túlka fyrir hana.
Have you already been through here?	Hefurðu farið hér í gegn áður?
She says no.	Hún segir nei.
Welcome to Brazil, Sister.	Velkomin til Brasilíu, systir.
Hello? Father Joachim, it's me.	Faðir Joachim, þetta er ég.
We had to come back from France.	Við erum komnar til baka frá Frakklandi.
I've been trying to call you for days.	Ég hef reynt að hringja í þig í marga daga.
Where are you?	Hvar ertu?
In Ceara.	Í Ceara.
We've just arrived, too.	Við erum líka nýkomnar.
We're off to see Santa Omeira.	Við erum að fara á fund Santa Omeira.
Mother Emmanuelle says it's her last chance.	Móðir Emmanuelle segir það síðasta möguleikann.
11...	Í kvöld klukkan ellefu.
00 tonight, Praia de Oro.	Praia de Oro.
Sister Amélie, we need you.	Systir Amélie, við þurfum á þér að halda.
Coming, Mother.	Ég kem, móðir.
Get out of here!	Burt með ykkur.
Hello? Mother Emmanuelle, please.	Má ég tala við móður Emmanuelle, þökk fyrir?
Yes, I'll hold.	Já, ég bíð.
It was a journalist.	Þetta var blaðamaður.
Don't worry.	En hafðu ekki áhyggjur.
I'll protect you from him.	Ég gæti þín.
You don't want any?	Viltu ekki neitt?
No one will ever love you as I do.	Enginn mun elska þig eins og ég geri.
Go on, have some.	Fáðu þér eina skeið.
Buon giorno.	Buon giorno.
Not a room.	Nei, nei, ekki herbergi.
I'm looking for friends.	Ég er að leita að vinum mínum.
French.	Frönskum vinum.
A big guy, strong... with a brunette. Dark hair.	Stór og sterkur maður með dökkhærðri konu.
Friends.	Vinir.
French.	Franskir.
Where are we going?	Hvert erum við að fara?
Where are we?	Hvar erum við?
Your sister's here.	Systir þín er hér.
She keeps asking for you.	Hún spyr um þig.
She needs you.	Þarfnast þín.
You can't refuse her that.	Neitaðu henni ekki um það.
You lured me here?	Ginntirðu mig hingað?
You had it all planned!	Hjálpaðu mér, móðir.
Help me, Mother!	Barnið mitt.
God sent him to me.	Guð sendi hann til mín, ekki hennar!
Beat me up, I don't care!	Sama er mér.
I've waited too long for a story like this.	Ég hef beðið of lengi eftir frétt eins og þessari.
I've e-mailed it all to my paper.	Ég sendi blaðinu mínu hana alla í tölvupósti.
I know all about her past and yours.	Ég veit allt um fortíð ykkar beggja.
Stop it!	Hættu!
I didn't say where you're hiding.	En ég sagði ekki hvar þið væruð í felum.
But you know the saying: "God is in the details."	En þú veist hvað sagt er."
Well, I need details.	Guð er í smáatriðunum."
Give me the details and I'll keep quiet.	Segðu mér frá smáatriðunum og ég segi ekki frá því.
It'll give you a head start.	Þú færð forskot.
In one hour.	Eftir klukkustund.
Come on.	Komdu.
Wait for me at the hotel.	Bíddu mín á hótelinu.
Don't go anywhere.	Ekki fara neitt.
Hello, Joachim?	Joachim?
It's Sarah.	Þetta er Sara.
Sarah? St. Joseph's Church?	Kirkja heilags Jósefs?
It's here.	Hún er hér.
Come in.	Kom inn.
You're photogenic.	Þú myndast vel.
What are you doing in my office?	Hvað ert þú að gera á skrifstofunni minni?
How did you get in?	Hver hleypti þér inn?
I saw it all.	Ég sá allt saman.
She started to talk, to walk!	Hún talaði og gekk.
With my own eyes!	Ég sá það með eigin augum.
It's a miracle!	Þetta er kraftaverk.
Mother Emmanuelle?	Móðir Emmanuelle?
Where is she?	Hvar er hún?
Lia ba mi.	Lia ba mi.
Sio tan soliander.	Sio tan soliander.
I missed you... my sister, my love. I am you.	Systir mín, ástin mín. Ég er þú.
You are me.	Og þú ert ég.
I am sleeping and you...	Ég sef og þú...
You're dreaming.	Þig dreymir.
You sing.	Þú syngur.
And Mama no longer knows... who is Sarah and who is GaëIle.	Og mamma veit ekki lengur hver er Sara og hver GaëIle.
Listen! Sarah.	Hlustaðu.
What is it?	Sara, hvað er þetta?
It's nothing.	Þetta er ekkert.
It's like last time.	Bara eins og síðast.
Remember.	Manstu?
Papa.	Pabbi?
GaëIle?	GaëIle?
Is Mama home?	Er mamma heima?
I'll go over to the Vellers' and get her.	Ég fer yfir til Vellers og sæki hana.
I was too late.	Ég kom of seint.
My God, Mama!	Guð minn góður, mamma.
What have you done?	Hvað hefurðu gert?
He wouldn't stop crying.	Hann vildi ekki hætta að gráta.
I couldn't stand it.	Ég þoldi það ekki.
I had to stop it.	Ég varð að láta hann hætta.
My God, GaëIle!	Guð almáttugur, GaëIle.
What'll we do?	Hvað getum við gert?
Calm down.	Vertu róleg.
Mama, go home with Sarah.	Mamma, farðu heim með Söru.
No, GaëIle.	Nei, GaëIle.
Quiet!	Þegiðu.
Mama? Do you hear me?	Heyrirðu hvað ég segi?
Do you hear me, Mama?	Heyrirðu það, mamma?
Go home with Sarah.	Farðu heim með Söru.
No, GaëIle.	Nei, GaëIle.
Go home.	Farðu heim.
They'll be home soon.	Þau koma bráðum.
I can't leave you.	Ég fer ekki frá þér.
Take Mama home or they'll put her in an asylum.	Farðu heim með mömmu, annars verður hún sett á hæli.
They'll put me away.	Ég verð flutt burt.
Why you?	Af hverju þú?
Because I'm the strongest.	Af því ég er sterkari.
GaëIle? Don't speak.	Ekki segja neitt.
He's mine, GaëIle.	Hann er minn, GaëIle.
Mine.	Minn.
God sent him to me.	Guð sendi mér hann.
No! GaëIle!	Nei, GaëIle!
Miss, can you hear me?	Ungfrú, heyrirðu í mér?
The ambulance is on its way.	Sjúkrabíllinn er á leiðinni.
What's your name?	Hvað heitirðu?
Her name is Sister Sarah.	Hún heitir systir Sara.
You may no longer celebrate Mass or administer the Holy Sacrament.	Þú færð ekki lengur að syngja messu eða útdeila sakramenti.
You may not receive confession or confess yourself.	Þér leyfist ekki að hlusta á skriftir eða skrifta sjálfur.
You may not marry the living or bury the dead.	Þér leyfist hvorki að gifta lifendur né jarðsyngja dauða.
Leave this place and the cloth... which you have dishonored and soiled... and for which you are unworthy... before God and before man.	Farðu af þessum stað og skildu eftir hempuna sem þú hefur smánað og óvirt og verðskuldar ekki að bera lengur frammi fyrir Guði og mönnum.
I never want to see you again.	Ég vil aldrei sjá þig framar.
Subtitles: John Miller Subtitling TITRA FILM Paris Drama,Mystery,Romance 2003 95 French, Latin, Portuguese France 0 2 13 windows-1252 4910 31 819 2005-01-02 1.0 01:28:30,772 758 English 1/1	Rippað af.......... Žice! 736 Icelandic 1.0 1/1 2012-01-23 01:22:07,444 France 95 Drama,Mystery,Romance 2003 French, Latin, Portuguese 0 795 0 4517 1 iso-8859-4 0
Quiet, missy!	Þögn, væna!
Cursed pirates sail these waters.	Sjóræningjarnir sigla á þessu hafi.
You don't want to bring them down on us.	Þú vilt ekki kalla þá yfir okkur. Hr.
Mr. Gibbs, that will do.	Gibbs, þetta nægir.
She was singing about pirates!	Hún var að syngja um sjóræningja!
Bad luck to sing about pirates with us mired in this unnatural fog.	Það boðar illt að syngja um sjóræningja með okkur föst í ónáttúrulegri þoku.
Mark my words. Consider them marked.	Munið orð mín. Líttu á þau sem munuð.
On your way.	Þú mátt fara.
Aye, Lieutenant.	Skal gert, lautinant.
Bad luck to have a woman on board, too.	Það boðar líka illt að hafa konu um borð jafnvel smækkaða útgáfu.
Even a miniature one. It 'd be exciting to meet a pirate.	Það væri spennandi að hitta sjóræningja.
Think again, Miss Swann.	Það held ég nú ekki, fröken Swann.
Vile creatures, the lot of them.	Þeir eru illþýði, allir saman.
I intend to see to it that any man who sails under a pirate flag gets what he deserves.	Ég ætla mér að sjá til þess að hver sem siglir undir sjóræningjafána fái það sem hann á skilið.
A short drop and a sudden stop.	Stutt fall og snöggan hnykk.
I appreciate your fervor, but I'm concerned about the effect this subject will have upon my daughter.	Ég kann að meta kapp þitt, en ég hef áhyggjur af hvaða áhrif umræðuefnið hefur á dóttur mína.
My apologies, Governor Swann.	Ég biðst forláts, Swann landstjóri.
Actually, I find it all fascinating.	Reyndar finnst mér það heillandi.
That's what concerns me.	Það er einmitt það sem veldur mér áhyggjum.
There's a boy in the water!	Það er drengur í sjónum!
Man overboard!	Maður fyrir borð!
Man the ropes!	Mannið reipin!
Fetch a hook!	Náið í krókstjaka!
Haul him aboard!	Dragið hann um borð!
He's still breathing.	Hann andar enn.
Mary, Mother of God!	María Guðsmóðir!
What happened here?	Hvað gerðist hér?
Most likely the powder magazine.	Líklega púðurgeymslan.
Merchant vessels run heavily armed.	Verslunarskip eru vel vopnuð.
Lot of good it did them.	Það gagnaðist þeim heldur betur.
Everyone's thinking it, I'm saying it.	Allir eru að hugsa það, ég er bara að segja það.
Pirates!	Sjóræningjar!
There's no proof of that!	Það eru engin sönnunargögn fyrir því!
It was probably an accident.	Þetta var líklega slys.
Rouse the captain.	Vekið skipstjórann.
Heave to and take in sail.	Snúið upp í vindinn og rifið seglin.
Launch the boats.	Niður með bátana.
Elizabeth, accompany the boy.	Elísabet, fylgdu drengnum.
He'll be in your charge.	Hann verður undir þinni umsjá.
Take care of him.	Passaðu hann vel.
It's okay.	Það er allt í lagi.
My name's Elizabeth Swann.	Ég heiti Elísabet Swann.
Will Turner.	Will Turner.
I'm watching over you, Will.	Ég passa upp á þig, Will.
You're a pirate!	Þú ert sjóræningi!
Has he said anything?	Hefur hann sagt eitthvað?
His name's William Turner.	Hann heitir William Turner.
That's all I found out.	Það er það eina sem ég veit.
Take him below.	Farið með hann undir þiljur.
Elizabeth!	Elísabet!
Are you all right?	Er allt í lagi með þig?
Are you decent?	Ertu siðsamlega klædd?
Yes.	Já.
Yes?	Já!
Still abed at this hour?	Enn í rúminu um þetta leyti?
It's a beautiful day.	Fallegur dagur.
I have a gift for you.	Ég er með gjöf til þín.
It's beautiful! Isn't it?	Mikið er hann fallegur!
May I inquire as to the occasion?	Finnst þér ekki? Má ég spyrja um tilefnið?
Does a father need an occasion to dote upon his daughter?	Þarf faðir tilefni til að dekra við dóttur sína?
Go on.	Hjálpið henni.
Actually...	Reyndar...
I had hoped you might wear it for the ceremony today.	Var ég að vona að þú myndir klæðast honum við athöfnina í dag.
The ceremony?	Athöfnina?
Captain Norrington's promotion ceremony.	Þegar Norrington skipstjóri fær stöðuhækkun.
I knew it!	Ég vissi það!
Commodore Norrington, as he's about to become.	Norrington sjóliðsforingi, eins og hann verður brátt.
A fine gentleman, don't you think?	Fyrirtaksmaður, finnst þér ekki?
He fancies you, you know.	Þú veist að hann er hrifinn af þér.
Elizabeth?	Elísabet?
How's it coming?	Hvernig gengur?
It's difficult to say.	Það er erfitt að segja.
It's the latest fashion in London.	Þetta er nýjasta Lundúnatískan.
Women in London must've learned not to breathe!	Konur í Lundúnum hafa líklega lært að anda ekki!
My Lord, you have a visitor.	Herra, það er kominn gestur.
Mr. Turner!	Hr. Turner!
Good to see you again.	Gaman að sjá þig aftur.
Good day, sir.	Góðan dag, herra.
I have your order.	Ég er með pöntunina.
Perfectly balanced.	Fullkomlega jafnvægisstillt.
The tang is nearly the width of the blade.	Tanginn er nærri jafnbreiður og blaðið.
Impressive.	Tilkomumikið.
Very impressive.	Mjög tilkomumikið.
Commodore Norrington's going to be very pleased with this.	Norrington sjóliðsforingi verður mjög ánægður með þetta.
Do pass my compliments onto your master.	Berðu meistara þínum kveðju mína.
I shall.	Ég skal gera það.
A craftsman is always pleased to hear his work is appreciated.	Handverksmaður er ávallt ánægður þegar verk hans er vel metið.
You look absolutely stunning!	Þú lítur guðdómlega vel út!
Will!	Will!
It's so good to see you!	Það er svo gott að sjá þig!
I had a dream about you last night.	Mig dreymdi þig í nótt.
About me?	Mig?
Elizabeth, is that proper...?	Er þetta viðeigandi...?
About the day we met.	Þegar við hittumst.
Remember?	Manstu?
How could I forget, Miss Swann?	Ég gæti aldrei gleymt því, fröken Swann.
How many times must I ask you to call me Elizabeth?	Hvað þarf ég að segja þér oft að kalla mig Elísabetu?
At least once more, Miss Swann.	Allavega einu sinni enn, fröken Swann.
As always.	Eins og ávallt.
There.	Jæja.
See?	Sérðu?
At least the boy has a sense of propriety.	Drengurinn hefur allavega siðgæðisvitund.
We really must be going.	Við verðum að fara.
Good day, Mr. Turner.	Vertu sæll, herra Turner.
Come along!	Komdu nú!
Good day...	Vertu sæl...
Elizabeth.	Elísabet.
Hold up there, you!	SJÓRÆNINGJAR VARI SIG Þú þarna, augnablik!
It's a shilling to tie up your boat to the dock.	Það kostar skilding að binda bátinn við bryggjuna.
I need to know your name.	Og ég þarf að fá nafnið þitt.
What do you say to three shillings and we forget the name?	Hvað segirðu um þrjá skildinga og við látum nafnið eiga sig?
Welcome to Port Royal, Mr. Smith.	Velkominn til Port Royal, hr. Smith.
Two paces... march!	Tvö skref... áfram gakk!
Right about... face!	Hægri snú... fram!
Present... arms!	Sýna vopn... nú!
This dock is off limits to civilians.	Þessi höfn er bönnuð almennum borgurum.
I'm terribly sorry, I didn't know.	Ó, fyrirgefið, ég vissi það ekki.
If I see one, I shall inform you.	Ef ég sé einn læt ég ykkur vita.
There's some high-toned and fancy to-do at the fort.	Það eru aldeilis flottheit í gangi uppi í virkinu.
How could it be that two upstanding gentlemen did not merit an invitation?	Hvernig getur verið að tveim háttvirtum herramönnum eins og ykkur er ekki boðið?
We have to make sure this dock stays off limits to civilians.	Við verðum að halda borgurum frá höfninni.
It's a fine goal, to be sure, but it seems to me, a ship like that makes this one here a bit superfluous.	Vissulega göfugt markmið, en mér virðist að svona skip láti þetta hér virðast eilítið óþarft.
The Dauntless is the power in these waters, but there's no ship that can match the Interceptor for speed.	Ofurhuginn er voldugasta skipið hér um slóðir en ekkert skip er hraðskreiðara en Fangarinn.
I've heard of one.	Ég hef heyrt um eitt skip.
It's supposed to be fast, nigh uncatchable.	Það er víst hraðskreitt, nær ógerningur að ná því.
The Black Pearl.	Svarta Perlan.
There's no real ship that can match the Interceptor.	Ekkert raunverulegt skip getur náð Fangaranum.
The Black Pearl is a real ship.	Svarta Perlan er alvöru skip.
No, it's not.	Nei, hún er það ekki.
It is.	Víst.
I've seen it!	Ég hef séð hana!
You've seen it?	Hefur þú séð hana?
Yes.	Já.
You haven't seen it!	Þú hefur ekki séð hana!
Yes, I have!	Jú, víst hef ég það!
You've seen a ship with black sails, that's crewed by the damned and captained by a man so evil that Hell itself spat him back out?	Hefur þú séð skip með svört segl, með fordæmdri áhöfn og skipstjóra sem er svo illur að helvíti spýtti honum aftur út?
No.	Nei.
No.	Nei.
But I have seen a ship with black sails.	En ég hef séð skip með svörtum seglum.
No ship not crewed by the damned and captained by a man so evil, Hell spat him back out, could have black sails, so couldn't be any other ship than The Black Pearl.	Og ekkert skip sem er ekki með fordæmdri áhöfn og skipstjóra svo illum að helvíti spýtti honum aftur út gæti haft svört segl og gæti því ekki verið annað skip en Svarta Perlan.
Is that what you're saying?	Ertu að segja það?
No.	Nei.
Like I said, there's no real ship that can match the Interceptor...	Eins og ég sagði, ekkert alvöru skip getur náð Fangaranum...
You!	Þú!
Get away from there!	Úr skipinu!
You don't have permission to be aboard!	Þú hefur ekki leyfi til að vera um borð!
I'm sorry, but it's such a pretty boat.	Fyrirgefið, þetta er svo fallegur bátur.
Ship!	Skip!
What's your name?	Hvað heitir þú?
Smith! Or Smithy, if you like.	Smith! eða Smithy, ef þið viljið.
What's your purpose in Port Royal, 'Mr. Smith '?	Hvert er erindi þitt hér í Port Royal," hr. Smith "?
And no lies!	Og engar lygar!
All right.	Allt í lagi.
I confess.	Ég játa.
I intend to commandeer a ship, pick up a crew in Tortuga, rape, pillage and otherwise pilfer my black guts out.	Ég hyggst gera upptækt skip, krækja í áhöfn í Tortuga, ræna, rupla og stela af svartri hjartans lyst.
I said no lies!	Ég sagði engar lygar!
I think he's telling the truth.	Hann segir satt, held ég.
If he were telling the truth, he wouldn't have told us.	Ef þetta væri satt þá hefði hann ekki sagt frá því.
Unless he knew you wouldn't believe the truth even if he told you. May I have a moment?	Nema hann vissi að þið mynduð ekki trúa sannleikanum jafnvel þótt að hann segði ykkur hann Má ég eiga við þig orð?
You look lovely, Elizabeth.	Þú lítur yndislega vel út, Elísabet.
I apologize if I seem forward, but I must speak my mind.	Fyrirgefðu framfærnina en ég verð að segja hug minn.
This promotion throws into sharp relief that which I have not yet achieved.	Þessi stöðuhækkun undirstrikar það sem ég hef ekki enn náð.
A marriage to a fine woman.	Hjónabandi við góða konu.
You have become a fine woman.	Þú ert orðinn mesti kvenkostur.
I can't breathe!	Ég get ekki andað!
Yes, I'm a bit nervous myself.	Já, ég er líka dálítið óstyrkur.
Then they made me their chief.	Og þá gerðu þeir mig að foringja þeirra.
The rocks!	Klettarnir!
Sir, it's a miracle she missed them!	Herra, kraftaverk að hún lenti ekki á þeim!
Will you be saving her?	Ætlið þið að bjarga henni?
I can't swim!	Ég kann ekki að synda!
Pride of the King's Navy, you are!	Þið eruð stolt konunglega flotans!
Do not lose these.	Ekki týna þessu.
What was that?	Hvað var þetta?
I got her!	Ég náði henni!
She's not breathing!	Hún andar ekki!
Move!	Frá!
I never would've thought of that.	Mér hefði aldrei dottið þetta í hug.
You've never been to Singapore.	Greinilegt að þú hefur aldrei komið til Singapur.
Where did you get that?	Hvar fékkst þú þetta?
On your feet.	Stattu á fætur.
Elizabeth!	Elísabet!
Are you all right?	Er allt í lagi með þig?
I'm fine.	Já, allt í lagi.
Shoot him!	Skjótið hann!
Father!	Pabbi!
Commodore, do you intend to kill my rescuer?	Sjóliðsforingi, ætlar þú að drepa bjargvætt minn?
I believe thanks are in order.	Þú átt víst þakkir skyldar.
Had a brush with the East India Trading Company, pirate?	Hefurðu komist í kast við Austur-Indía verslunarfélagið, sjóræningi?
Hang him!	Hengið hann!
Keep your guns on him, men.	Miðið byssunum á hann, menn.
Gillette, fetch some irons.	Gillette, náðu í járn.
Well, well.	Jæja, þá.
Jack Sparrow, isn't it?	Jack Sparrow, ekki satt?
Captain Jack Sparrow, if you please, sir.	Jack Sparrow skipstjóri, ef þér er sama, herra.
I don't see your ship... ' Captain'. I'm in the market, as it were.	Ég sé ekki skipið þitt..." skipstjóri "Ég er á höttunum eftir því.
He said he 'd come to commandeer one.	Hann sagðist ætla að gera eitt upptækt.
I told you he was telling the truth.	Ég sagði að hann sagði satt.
These are his.	Þetta eru hans eigur.
No additional shot nor powder.	Engin aukaskot eða púður.
A compass that doesn't point north.	Áttaviti sem vísar ekki í norður.
I half expected it to be made from wood.	Og ég bjóst eiginlega við trésverði.
You are without doubt the worst pirate I've ever heard of!	Þú ert án efa versti sjóræningi sem ég hef heyrt um!
But you have heard of me.	En þú hefur heyrt um mig.
Commodore, I must protest!	Sjóliðsforingi, ég mótmæli!
Carefully, Lieutenant.	Varlega, lautinant..
Pirate or not, this man saved my life!	Sjóræningi eða ekki, hann bjargaði mér!
And my hat.	Og hattinn.
Commodore.	Sjóliðsforingi.
Elizabeth... it is Elizabeth?	Elísabet... er það ekki Elísabet?
It's Miss Swann.	Kallaðu mig fröken Swann.
I saved your life, you saved mine.	Ég bjargaði þér, þú bjargar mér.
We're square.	Við erum kvitt.
Gentlemen, my lady, you will always remember this as the day you almost caught...	Herrar mínir, fröken, þið munið ávallt muna þetta, daginn sem þið næstum náðuð...
Captain Jack Sparrow!	Jack Sparrow skipstjóra!
Now will you shoot him?	Geturðu skotið hann núna?
Open fire!	Skjótið!
On his heels!	Eltið hann!
Take cover, man!	Skýldu þér, maður!
Gillette, Mr.. Sparrow has a dawn appointment with the gallows.	Gillette, hr. Sparrow á stefnumót í dögun við gálgann.
I would hate for him to miss it.	Mér þætti miður ef hann missir af því.
Search up the stairs!	Upp stigann!
Look lively, men!	Áfram nú, menn!
Right where I left you.	Á sama stað og ég skildi við þig.
Not where I left you.	Ekki á sama stað og ég skildi við þig.
You're the one they're hunting.	Þú ert sá sem þeir leita að.
The pirate!	Sjóræninginn!
You seem familiar.	Þú ert kunnuglegur.
Have I threatened you before?	Hef ég ógnað þér áður?
I avoid familiarity with pirates.	Ég forðast kynni við sjóræningja.
It would be a shame to put a black mark on your record.	Þá væri skömm að sverta það orðspor þitt.
Excuse me.	Afsakaðu mig.
Do you think this wise, boy?	Er þetta skynsamlegt, drengur?
Crossing blades with a pirate?	Að bregða sverði mót sjóræningja?
You threatened Miss Swann.	Þú hótaðir fröken Swann.
Only a little.	Bara smávegis.
If I step here...	Ef ég stíg hérna...
Good.	Gott.
And now I step again.	Og svo stíg ég aftur.
Ta.	Blessaður.
That is a wonderful trick.	Þetta er frábær brella.
Except, once again, you are between me and my way out.	Nema nú ertu aftur á milli mín og útgangsins.
And now... you have no weapon.	Og núna... hefur þú ekkert vopn.
Who makes all these?	Hver býr öll þessi sverð til?
I do.	Ég geri það.
And I practice with them three hours a day.	Og ég æfi mig með þeim þrjár klukkustundir á dag.
You need to find yourself a girl, mate.	Þú þarft að ná þér í stúlku, félagi.
Or, the reason you practice three hours a day is that you already found one and are otherwise incapable of wooing said strumpet.	Eða kannski æfirðu þrjár stundir á dag af því að þú hefur fundið hana en ert ófær um að biðla til umræddrar meyjar.
You're not a eunuch, are you?	Ertu nokkuð geldingur?
I practice three hours a day so when I meet a pirate, I can kill him!	Ég æfi þrjár klukkustundir á dag svo ég geti drepið sjóræningja!
You cheated!	Þú svindlaðir!
Pirate.	Sjóræningi.
Move away!	Farðu frá!
No.	Nei.
Please?	Vinsamlegast?
No!	Nei!
I cannot just step aside and let you escape.	Ég get ekki stigið til hliðar og látið þig sleppa.
This shot is not meant for you.	Þetta skot er ekki ætlað þér.
There he is!	Þarna er hann!
