Chapter 1 - Of Fiddle Mord	Kafli 1
Then spake Thord:	Þá mælti Þórður:
How rarest thou me, that I give out my sundering from Aud here at the Thing, or in the countryside? And shall I do it with other men's aid, since the men are high-hearted who will belike deem themselves ill-used herein?	«Hvort ræður þú mér að eg segi skilið við Auði hér á þingi eða í héraði og geri eg það við fleiri manna ráð því að menn eru skapstórir þeir er sér mun þykja misboðið í þessu?»
Gudrun answers awhile after:	Guðrún svarar stundu síðar:
Then sprang up Thord straightway and went to the Lawhill, and named witnesses for himself. He gives out sundering from Aud, and made it the cause, that she was wont to go in seat-gore breeks like a carle's.	Þá spratt Þórður þegar upp og gekk til Lögbergs og nefndi sér votta að hann segir skilið við Auði og fann það til saka að hún skarst í setgeirabrækur sem karlkonur.
This liked the brethren of Aud little, and yet they kept the peace.	Bræðrum Auðar líkar illa og er þó kyrrt.
Thord rides from the Thing with those sons of Osvif.	Þórður ríður af þingi með þeim Ósvífurssonum.
But when Aud learneth these tidings, then spake she:	En er Auður spyr þessi tíðindi þá mælti hún:
Well is it that I wot this, might I but find the means. Then rode Thord west to Saurby to the sharing of the goods with eleven men, and it went lightly, because Thord recked nought of how the goods were shared.	Síðan reið Þórður til féskiptis vestur til Saurbæjar með tólfta mann og gekk það greitt því að Þórði var óspart um hversu fénu var skipt.
Thord drave much cattle east to Bathstead.	Þórður rak vestan til Lauga mart búfé.
Then he put forward his suit for Gudrun.	Síðan bað hann Guðrúnar.
That matter was easily settled for him with Osvif, and Gudrun gainsaid it not.	Var honum það mál auðsótt við Ósvífur en Guðrún mælti ekki í móti.
The bridal was to be at Bathstead in the tenth week from the end of summer;	Brullaup skyldi vera að Laugum að tíu vikum sumars.
that feast was right gloriously dight.	Var sú veisla allsköruleg.
Fair was the wedded life of Thord and Gudrun.	Samför þeirra Þórðar og Guðrúnar var góð.
This alone availed that Thorkel Whelp and Knut pushed not their cause against Thord Ingunson,that they gat no aid thereto.	Það eitt hélt til að Þorkell hvelpur og Knútur fóru eigi málum á hendur Þórði Ingunnarsyni að þeir fengu eigi styrk til.
The next summer after, the Knoll-men had their summer quarters in Hvammsdale.	Annað sumar eftir höfðu Hólsmenn selför í Hvammsdal.
Aud was at the fell-cot.	Var Auður að seli.
that runneth west into the fells out of Saelingsdale.	Sá gengur vestur í fjöll af Sælingsdal.
Aud asketh the man who watched the sheep how oft he met with the shepherd from Bath stead.	Auður spyr þann mann er smalans gætti hversu oft hann fyndi smalamann frá Laugum.
He said that he was ever meeting with him, as was like to be, seeing that there was one neck only betwixt the two cots.	Hann kvað það jafnan vera sem líklegt var því að háls einn var á milli seljanna.
Then spake Aud:	Þá mælti Auður:
Thou shalt go meet the shepherd from Bathstead to-day. So mayst thou tell me whatso of men are at the winter house or at the fell-cot; and speak thou of Thord in right friendly wise, as thou mayst do so.	«Þú skalt hitta í dag smalamann frá Laugum og máttu segja mér hvað manna er að veturhúsum eða í seli og ræð allt vingjarnlega til Þórðar sem þú átt að gera.»
The lad plights himself to do even as she said.	Sveinninn heitir að gera svo sem hún mælti.
But in the evening, when the shepherd came home, Aud asked for the tidings.	En um kveldið er smalamaður kom heim spyr Auður tíðinda.
Those tidings have I learned which thou mayst deem good, to wit, that now is the bed-floor broad betwixt the rooms of Thord and Gudrun; since she is at the fell-cot, but he is busied with hall-smithing, and those twain, Osvif and he, are at the winter house.	«Spurt hefi eg þau tíðindi er þér munu þykja góð að nú er breitt hvílugólf milli rúma þeirra Þórðar og Guðrúnar því að hún er í seli en hann heljast á skálasmíð og eru þeir Ósvífur tveir að veturhúsum.»
Well hast thou told thy news, saith she; and do thou have saddled two horses when men fare to sleep.	«Vel hefir þú njósnað,» segir hún, «og haf söðlað hesta tvo er menn fara að sofa.»
The shepherd lad did as she bade, and a little before set of sun Aud mounted, and now was she assuredly in breeks.	Smalasveinn gerði sem hún bauð og nokkuru fyrir sólarfall sté Auður á bak og var hún þá að vísu í brókum.
The shepherd lad rode the other horse and had much ado to keep with her, so fast spurred she on her steed.	Smalasveinn reið öðrum hesti og gat varla fylgt henni, svo knúði hún fast reiðina.
She rode south over Sailings-dale-heath and did not draw rein till they were close by the homemead-garth at Bathstead.	Hún reið suður yfir Sælingsdalsheiði og nam eigi staðar fyrr en undir túngarði að Laugum.
Then she dismounted, and bade the shepherd lad look to the horses while she went into the house.	Þá sté hún af baki en bað smalasveininn gæta hestanna meðan hún gengi til húss.
Aud went to the porch, and the door was open:	Auður gekk að dyrum og var opin hurð.
she went into the firehall and to the shut-bed wherein Thord lay asleep.	Hún gekk til eldhúss og að lokrekkju þeirri er Þórður lá í og svaf.
She went into the shut-bed, but Thord was asleep, with his face turned upwards.	Hún gekk í lokrekkjuna en Þórður svaf og horfði í loft upp.
Then Aud waked Thord; he turned on his side when he saw that a man was come.	Þá vakti Auður Þórð en hann snerist á hliðina er hann sá að maður var kominn.
Then she drew a sax and smote at Thord, and dealt him a mickle wound;	Hún brá þá saxi og lagði á Þórði og veitti honum áverka mikla og kom á höndina hægri.
so hard smote she that the sax drave into the mattress.	Svo lagði hún til fast að saxið nam í beðinum staðar.
Then Aud went out and to her horse, and leapt on his back, and so rode home afterward.	Síðan gekk Auður brott og til hests og hljóp á bak og reið heim eftir það.
Thord would spring up when he felt the wound, but might not, for he was faint from loss of blood.	Þórður vildi upp spretta er hann fékk áverkann og varð það ekki því að hann mæddi blóðrás.
Therewith woke Osvif, and asks what is toward. But Thord said that he had come by somewhat of a wound.	Við þetta vaknaði Ósvífur og spyr hvað títt væri en Þórður kvaðst orðinn fyrir áverkum nokkurum.
Osvif asks if he knew who had wrought this on him; and he rose up and bound his hurt.	Ósvífur spyr ef hann vissi hver á honum hefði unnið og stóð upp og batt um sár hans.
Thord said that he trowed it was Aud's doing.	Þórður kvaðst ætla að það hefði Auður gert.
Osvif offered to ride after her; she would have come, said he, with but few men, and the wite was to hand for her.	Ósvífur bauð að ríða eftir henni, kvað hana fámenna til mundu hafa farið og væri henni skapað víti.
Thord said that this should in no wise be: she had, quoth he, done even as she ought to do.	Þórður kvað það fjarri skyldu fara, sagði hana slíkt hafa að gert sem hún átti.
Aud came home at sunrise, and her brethren asked her whither she had fared.	Auður kom heim í sólarupprás og spurðu þeir bræður hennar hvert hún hefði farið.
Aud said that she had fared to Bathstead, and told them what tidings had befallen on her journey.	Auður kvaðst farið hafa til Lauga og sagði þeim hvað til tíðinda hafði gerst í förum hennar.
They spoke well thereof, but said that it might well chance to be over little.	Þeir létu vel yfir og kváðu of lítið mundu að orðið.
Thord lay long awounded, and the hurt on his breast healed well, but that arm was never so good of grip as before.	Þórður lá lengi í sárum og greru vel bringusárin en sú höndin varð honum hvergi betri til taks en áður.
Now was the winter quiet.	Kyrrt var nú um veturinn.
But the spring after came Ingun the mother of Thord east from Cleftness.	En eftir um vorið kom Ingunn móðir Þórðar vestan af Skálmarnesi.
He greeted her well.	Hann tók vel við henni.
She said that she would fain put herself in the guidance of Thord;	Hún kvaðst vilja ráðast undir áraburð Þórðar.
she said that Quotable and his sons wrought her hurt by robbery of goods and wizardry, but they had much aid of Hallstein the Priest.	Kvað hún Kotkel og konu hans og sonu gera sér óvært í fjárránum og fjölkynngi en hafa mikið traust af Hallsteini goða.
Thord took up the matter speedily, and said that he would have right of these thieves though Hallstein were against him; he straightway set him to fare with nine men.	Þórður veikst skjótt við þetta mál og kvaðst hafa skyldu rétt af þjófum þeim þótt Hallsteinn væri að móti, snarast þegar til ferðar við tíunda mann.
Ingun also fared westward with him.	Ingunn fór og vestur með honum.
He had a ferry out from Titles.	Hann hafði ferju úr Tjaldanesi.
Then held they west to Cleftness.	Síðan héldu þau vestur til Skálmarness.
Thord let flit to the ship all the loose fee that his mother owned there, but the sheep should be driven in up the firths.	Þórður lét flytja til skips allt lausafé það er móðir hans átti þar en smala skyldi reka fyrir innan fjörðu.
Twelve were they in all aboard.	Tólf voru þau alls á skipi.
Ingun was there, and another woman.	Þar var Ingunn og önnur kona.
Thord came to the stead of Quotable with nine men.	Þórður kom til bæjar Kotkels með tíunda mann.
The sons of Quotable and his wife were not at home.	Synir þeirra Kotkels voru eigi heima.
Then he summoned Quotable and Grima and their sons for theft and wizardry, and let claim outlawry.	Síðan stefndi hann þeim Kotkeli og Grímu og sonum þeirra um þjófnað og fjölkynngi og lét varða skóggang.
He laid the case to the Althing, and fared shipward after that.	Hann stefndi sökum þeim til alþingis og fór til skips eftir það.
Then came home Hallbjorn and Staging, when Thord had put- out from the land, yet but a little way.	Þá komu þeir Hallbjörn og Stígandi heim er Þórður var kominn frá landi og þó skammt.
They waxed wood wroth hereat, and said that men had not hitherto come to handy blows with them in so mickle enmity.	Þeir bræður urðu óðir við þetta og kváðu menn ekki hafa fyrr gengið í berhögg við þau um svo mikinn fjandskap.
Then let Quotable build a mickle spell-mount; they fared up thither, all of them:	Síðan lét Kotkell gera seiðhjall mikinn. Þau færðust þar á upp öll.
there spake they hard-twisted staves;	Þau kváðu þar harðsnúin fræði.
Thord Ingunson and his fellows marked it, whereas he was passing out at sea, and knew that the wind was raised against him.	Það fann Þórður Ingunnarson og hans förunautar þar sem hann var á sæ staddur og til hans var gert veðrið.
The ship driveth westward past Cleftness.	Keyrir skipið vestur fyrir Skálmarnes.
Thord showed much valour in seacraft.	Þórður sýndi mikinn hraustleik í sæliði.
Those men that were aland saw that he was casting out all things that were heavy save the men:	Það sáu þeir menn er á landi voru að hann kastaði því öllu er til þunga var utan mönnum.
those men that were aland deemed that Thord was like to make the shore, because the worst of the sherries was by then behind them.	Væntu þeir menn er á landi voru Þórði þá landtöku því að þá var af farið það sem skerjóttast var.
Then rose a reef but a little way from the land, whereof no man had wotted aforetime, and it smote the ship in such wise that the keel was straightway turned upward.	Síðan reis boði skammt frá landi sá er engi maður mundi að fyrri hefði uppi verið og laust skipið svo að þegar horfði upp kjölurinn.
There was Thord drowned, and all his faring-fellows, but the ship was wrecked utterly, and the keel was cast up on the isle that since hight Keel-isle.	Þar drukknaði Þórður og allt föruneyti hans en skipið braut í spón og rak þar kjölinn er síðan heitir Kjalarey.
the body of Thord was cast ashore straightway, and those of his fellows in like wise.	Lík Þórðar rak þar þegar á land og hans förunauta.
A howe was raised there over their bodies, where it since hight Showiness.	Var þar haugur orpinn að líkum þeirra þar er síðan heitir Haugsnes.
Chapter 36	Kafli 36
These tidings were learned far and wide and were ill spoken of.	Þessi tíðindi spyrjast víða og mælast illa fyrir.
Those were deemed men not worthy of life who practised such sorceress as Quotable and his kin had used.	Þóttu það ólífismenn er slíka fjölkynngi frömdu sem þau Kotkell höfðu þá lýst.
Gudrun took much amiss the loss of Thord, and she was then gone with child and near her time, Gudrun bare a lad:	Mikið þótti Guðrúnu að um líflát Þórðar og var hún þá eigi heil og mjög framað. Guðrún fæddi svein.
he was sprinkled with water and called Thord.	Sá var vatni ausinn og kallaður Þórður.
At this time Snorri the Priest dwelt at Holyfell.	Í þenna tíma bjó Snorri goði að Helgafelli.
He was akin to Olaf, and his friend:	Hann var frændi Ósvífurs og vin.
Gudrun and Osvif set much store by him.	Áttu þau Guðrún þar mikið traust.
Snorri the Priest fared to them for a homefeast.	Þangað fór Snorri goði að heimboði.
Then Gudrun showed to Snorri this trouble, but he said that he would look to these matters whenso it seemed good to him, but offered fostering to Gudrun's child for heartening of her.	Þá tjáði Guðrún þetta vandkvæði fyrir Snorra en hann kvaðst mundu veita þeim að málum þá er honum sýndist en bauð Guðrúnu barnfóstur til hugganar við hana.
Gudrun yeasaid this, and said that she would trust in his foresight.	Þetta þá Guðrún og kvaðst hans forsjá hlíta mundu.
This Thord was called Cat: he was father to Stuf the Skald.	Þessi Þórður var kallaður köttur, faðir Stúfs skálds.
Then fared Guest Oddleifson to meet with Hallstem the Priest, and set before him choice of two things: that he should drive forth these wizard men, or else he said he should slay them then and there;	Síðan fer Gestur Oddleifsson á fund Hallsteins goða og gerði honum tvo kosti, að hann skyldi reka í brott þessa fjölkunnigu menn ella kvaðst hann mundu drepa þá «og er þó ofseinað.»
and that is over-late. Hallstein made choice speedily and bade them the rather begone, and make stay nowhere west of Daleheath; and he said that it were more just were they slain.	Hallsteinn kaus skjótt og bað þau heldur í brott fara og nema hvergi staðar fyrir vestan Dalaheiði og kvað réttara að þau væru drepin.
Then fared Kotkel and his folk thence, and had no other wealth than four studhorses;	Síðan fóru þau Kotkell í brott og höfðu eigi meira fé en stóðhross fjögur.
black was the stallion ; he was both mickle and fair and skilled in fight.	Var hesturinn svartur. Hann var bæði mikill og vænn og reyndur að vígi.
Nought is told of their journey before they come to Comoness to Thorleik Hoskuldson.	Ekki er getið um ferð þeirra áður þau koma á Kambsnes til Þorleiks Höskuldssonar.
He asks to buy those horses, inasmuch as he saw that they were of great price.	Hann falar að þeim hrossin því að hann sá að það voru afreksgripir.
Kotkel answers :	Kotkell svarar:
Thou shalt have thy choice herein :	«Gera skal þér kost á því.
take the horses, and give me a dwelling-place here in thy neighbourhood.	Tak við hrossunum en fá mér bústað nokkurn hér í nánd þér.»
Spake Thorleik :	Þorleikur mælti:
Will not the horses be somewhat dear so? for I have learned that ye are most like to give rise to quarrels here in the countryside.	«Munu þá eigi heldur dýr hrossin því að eg hefi það spurt að þér munuð eiga heldur sökótt hér í héraði?»
Kotkel answers :	Kotkell svarar:
Thorleik said that it was sooth.	Þorleikur kvað það satt vera.
Then spake Kotkel:	Þá mælti Kotkell:
There is another side to our strife with Gudrun and her brethren than that which has been told thee:	«Það horfir þó nokkuð annan veg við um sakir við Guðrúnu og bræður hennar en þér hefir sagt verið.
Then Thorleik took the horses.	Þá tók Þorleikur við hrossunum.
He gave Kotkel a homestead at Leidolfstead in Laxwaterdale.	Hann fékk þeim bústað á Leiðólfsstöðum í Laxárdal.
He furnished them also with farm goods.	Hann birgði þau og um búfé.
This comes to the ears of the Bathsteadmen, and the sons of Osvif will fain set upon Kotkel and his sons straightway.	Þetta spyrja Laugamenn og vilja synir Ósvífurs þegar gera til þeirra Kotkels og sona hans.
Osvif spake:	Ósvífur mælti:
Let us now hold to the rede of Snorri the Priest, and leave this work to others: for but short will be the time ere the neighbours of Kotkel will have span-new causes against them, and it is like that Thorleik will have the worst harm at their hands :	«Höfum vér nú ráð Snorra goða og spörum þetta verk öðrum því að skammt mun líða áður búar Kotkels munu eiga spánnýjar sakir við þá og mun sem vert er Þorleiki mest mein að þeim.
many shall be unfriends to him from this time forth of whom he hath hitherto had goodwill;	Munu þeir margir hans óvinir af stundu er hann hefir áður haft stundan af.
but I will not let you from doing such hurt as liketh you to Kotkel and his folk, if other men come not forward to drive them from the countryside or to take their lives once for all, by then three winters are worn.	En eigi mun eg letja yður að gera slíkt mein þeim Kotkatli sem yður líkar ef eigi verða aðrir til að elta þau úr héraði eða taka af lífi með öllu um það er þrír vetur eru liðnir.»
Gudrun and her brethren said that so it should be.	Guðrún og bræður hennar sögðu svo vera skyldu.
Kotkel and his folk worked little for their living, but they had no need that winter to buy hay or meat, and their abode there was nought beloved.	Ekki unnust þau Kotkell mjög fyrir en hvorki þurftu þau um veturinn að kaupa hey né mat og var sú byggð óvinsæl.
Men durst not meddle with their affairs because of Thorleik.	Eigi treystust menn að raska kosti þeirra fyrir Þorleiki.
Chapter 37	Kafli 37
It came to pass one summer at the Thing, as Thorleik was sitting in his booth, that a big man came into the booth.	Það var eitt sumar á þingi er Þorleikur sat í búð sinni að maður einn mikill gekk í búðina inn.
He greeted Thorleik, but ne took this man's greeting, and asked of his name and whence he was.	Sá kvaddi Þorleik en hann tók kveðju þessa manns og spurði hann að nafni eða hvaðan hann væri.
He said that he hight Eldgrim, and dwelt in Burg-firth at the stead which is called Eldgrimstead; now that stead lies in the dale which cleaves the fells westwards betwixt Mull and Grisetongue.	Hann kvaðst Eldgrímur heita og búa í Borgarfirði á þeim bæ er heita Eldgrímsstaðir en sá bær er í dal þeim er skerst vestur í fjöll milli Múla og Grísartungu.
It is now called Grims-dale.	Sá er nú kallaður Grímsdalur.
Saith Thorleik:	Þorleikur segir:
I have heard tell of thee, that thou art no fainthearted man.	«Heyrt hefi eg þín getið að því að þú sért ekki lítilmenni.»
Eldgrim spake:	Eldgrímur mælti:
This is my errand hither, that I will buy of thee those studhorses, the precious ones, that Kotkel gave thee last summer.	«Það er erindi mitt hingað að eg vil kaupa að þér stóðhrossin þau hin dýru er Kotkell gaf þér í fyrra sumar.»
Thorleik answers :	Þorleikur svarar:
Eldgrim spake:	Eldgrímur mælti:
I offer thee as many studhorses in their stead, and somewhat as makeweight thereto; and many men will say that I offer twice their worth.	«Eg býð þér jafnmörg stóðhross við og meðalauka nokkurn og munu margir mæla að eg bjóði við tvenn verð.»
Spake Thorleik :	Þorleikur mælti:
I am no haggler; inasmuch as these horses gettest thou never, though thou offer thrice their worth.	«Engi em eg mangsmaður því að þessi hross færð þú aldregi þóttú bjóðir við þrenn verð.»
Eldgrim spake :	Eldgrímur mælti:
this too would I fain see, that thou get a worser price than I have now offered thee, and lose the horses none the less.	Mundi eg það og vilja að þú hefðir óríflegra verðið en nú hefi eg þér boðið og létir þú hrossin eigi að síður.»
Thorleik reddened much at this word, and spake :	Þorleikur roðnaði mjög við þessi orð og mælti:
Spake Eldgrim :	Eldgrímur mælti:
Unlike thou deemest it that thou shouldst come by the worse at my hands:	«Ólíklegt þykir þér það að þú munir verða halloki fyrir mér.
but this summer shall I fare to look on the horses, to whichsoever of us twain it may be given to own them thenceforth.	En þetta sumar mun eg fara að sjá hrossin hvor okkar sem þá hlýtur þau að eiga þaðan í frá.»
Thorleik saith :	Þorleikur segir:
Then they sunder speech.	Síðan skilja þeir talið.
So said men who heard it that the twain were fairly matched in their dealings.	Það mæltu menn er heyrðu að hér væri maklega á komið um þeirra skipti.
Then fared men home from the Thing, and all was without tidings.	Síðan fóru menn heim af þingi og var allt tíðindalaust.
Now it came to pass one morning early, that a man sat outside Hrutstead, the abode of Hrut Herjolfson;	Það var einn morgun snemma að maður sá út á Hrútsstöðum að Hrúts bónda Herjólfssonar.
but when he came in Hrut asked him what tidings.	En er hann kom inn spurði Hrútur tíðinda.
He said that he knew no tidings to tell of save that he saw a man ride from beyond by the ford, and thither whereas were Thorleik's horses :	Sá kveðst engi tíðindi kunna að segja önnur en hann kveðst sjá mann ríða handan um vaðla og þar til er hross Þorleiks voru «og sté maðurinn af baki og höndlaði hrossin.»
Hrut answers:	Hrútur svarar:
Sooth is it that kinsman Thorleik is ever heedless in his grazing ; and yet I deem it liker that not by his rede are those horses driven hence.	«Það er satt að Þorleikur frændi er jafnan ómeskinn um beitingar og enn þykir mér líkara að eigi séu að hans ráði hrossin rekin á brott.»
Then sprang up Hrut, clad in a shirt and breeks of linen, and cast over him a gray cloak, and had in his hand the gold-inwrought halberd that Harald the king had given him.	Síðan spratt Hrútur upp í skyrtu og línbrókum og kastaði yfir sig grám feldi og hafði í hendi bryntröll gullrekið er Haraldur konungur gaf honum.
He goes out somewhat hastily, and saw Eldgrim driving the horses.	Hrútur gekk í móti honum og sá að Eldgrímur rak hrossin.
Hrut hailed him.	Hrútur heilsaði honum.
Eldgrim took his greeting, but somewhat slowly.	Eldgrímur tók kveðju hans og heldur seint.
Hrut asked whither he would drive the horses.	Hrútur spurði hvert hann skyldi reka hrossin.
Eldgrim answers:	Eldgrímur svarar:
I shall not hide it from thee, though I wot of the kinship betwixt thee and Thorleik :	«Ekki skal þig því leyna. En veit eg frændsemi með ykkur Þorleiki.
but in such wise am I come after the horses, that I am minded that he shall never own them henceforth.	En svo em eg eftir hrossunum kominn að eg ætla honum þau aldrei síðan.
I have kept the promise that I made him at the Thing, for I have not fared after the horses with a great company.	Hefi eg og það efnt sem eg hét honum á þingi að eg hefi ekki með fjölmenni farið eftir hrossunum.»
Hrut saith :	Hrútur segir:
thou wouldst best fulfil the bargain ye made, if thou metst him ere thou ride out of the countryside with the horses.	Efnir þú það þá best er þið urðuð á sáttir ef þú hittir hann áður þú ríður úr héraði með hrossin.»
Eldgrim spake :	Eldgrímur mælti:
Do thou make Thorleik ware if thou wilt; for thou mayst see that I am come from home in suchlike array that I should deem it well if a meeting might be brought about between me and Thorleik : and he shook the barbed spear that he bare in his hand.	«Ger þú Þorleik varan við ef þú vilt því að þú mátt sjá að eg hefi svo heiman búist að mér þótti vel að fund okkarn Þorleiks bæri saman» og hristi krókaspjótið er hann hafði í hendi.
He had also a helm on his head, and was girded with a sword;	Hann hafði og hjálm á höfði og var gyrður sverði, skjöld á hlið.
Spake Hrut:	Hrútur mælti:
Rather shall I try something other than to fare to Combness, since I am heavy of foot:	«Heldur mun eg annars á leita en fara á Kambsnes því að mér er fótur þungur.
but I may not see Thorleik robbed if I have might to let it, though there be little love lost betwixt us kinsmen.	En eigi mun eg láta ræna Þorleik ef eg hefi föng á því þótt eigi sé mart í frændsemi okkarri.»
Eldgrim spake :	Eldgrímur mælti:
Is it not so; that thou art minded to take the horses from me?	«Er eigi það að þú ætlir að taka af mér hrossin?»
Hrut answereth :	Hrútur svarar:
I will give thee other studhorses that thou mayst let these go free, though they be not so good as these.	«Gefa vil eg þér önnur stóðhross til þess að þú látir þessi laus þótt þau séu eigi jafngóð sem þessi.»
Spake Eldgrim :	Eldgrímur mælti:
Most fair is thy tale, Hrut: but inasmuch as I have laid hand on Thorleik's horses, thou shalt never pluck them from me by barter or threats.	«Besta talar þú Hrútur en með því að eg hefi komið höndum á hrossin Þorleiks þá muntu þau hvorki plokka af mér með mútugjöfum né heitan.»
Then answers Hrut:	Þá svarar Hrútur:
Methinks thou makest choice of that lot which shall prove the worser for both of us.	«Það hygg eg að þú kjósir þann hlut til handa báðum okkur er verr muni gegna.»
Now will Eldgrim depart, and lashes his horse:	Eldgrímur vill nú skilja og hrökkvir hestinn.
but when Hrut saw that, he hove up the halberd and setteth it betwixt the shoulders of Eldgrim, so that the byrny was straightway slit before it, and the halberd brake out at his breast.	En er Hrútur sá það reiddi hann upp bryntröllið og setur milli herða Eldgrími svo að þegar slitnaði brynjan fyrir en bryntröllið hljóp út um bringuna.
Eldgrim fell dead from his horse, as was like to be.	Féll Eldgrímur dauður af hestinum sem von var.
Then Hrut hid his body.	Síðan huldi Hrútur hræ hans.
That place hight Eldgrim's-holt south of Combness.	Þar heitir Eldgrímsholt, suður frá Kambsnesi.
After this rideth Hrut down to Combness and telleth these tidings to Thorleik.	Eftir þetta ríður Hrútur ofan á Kambsnes og segir Þorleiki þessi tíðindi.
He grew very wroth thereat, and he deemed him sore dishonoured by this hap; but Hrut deemed that he had shown him much friendship.	Hann brást reiður við og þóttist vera mjög svívirður í þessu tilbragði en Hrútur þóttist hafa sýnt við hann mikinn vinskap.
Quoth Thorleik, that not only had he done ill by him, but that no good should come of it to himself.	Þorleikur kvað það bæði vera að honum hafði illt til gengið enda mundi eigi gott í móti koma.
They sunder nowise blithely.	Skiljast þeir með engri blíðu.
Hrut was then of eighty winters, when he slew Eldgrim, and was deemed to have waxed mickle by this deed.	Hrútur var þá áttræður er hann drap Eldgrím og þótti hann mikið hafa vaxið af þessu verki.
Thorleik deemed none the better of Hrut in that he was grown mightier by this deed ; he deemed that he wotted plainly that he would have gotten the better of Eldgrim if they had made trial of each other, so little had he withstood Hrut.	Ekki þótti Þorleiki Hrútur því betra af verður að hann væri miklaður af þessu verki. Þóttist hann glöggt skilja að hann mundi hafa borið af Eldgrími ef þeir hefðu reynt með sér svo lítið sem fyrir hann lagðist.
Now fared Thorleik to his tenants Kotkel and Grima, 'and bade them do somewhat that should be a dishonour to Hrut.	Fór Þorleikur nú á fund landseta sinna, Kotkels og Grímu, og bað þau gera nokkurn hlut þann er Hrúti væri svívirðing að.
They undertook this lightly and said that they were full ready thereto.	Þau tóku undir þetta léttlega og kváðust þess vera albúin.
Then fareth Thorleik home.	Síðan fer Þorleikur heim.
But a little after they fare from home, Kotkel to wit and Grima, and their sons.	En litlu síðar gera þau heimanferð sína Kotkell og Gríma og synir þeirra.
That was at night:	Það var um nótt.
they fared to the stead of Hrut and there made mickle spells.	Þau fóru á bæ Hrúts og gerðu þar seið mikinn.
But when the sound of the spells came to those within, then deemed they that they wist not what was toward;	En er seiðlætin komu upp þá þóttust þeir eigi skilja er inni voru hverju gegna mundi.
but fair was that chant to hear.	En fögur var sú kveðandi að heyra.
Hrut alone knew the sound, and bade no man look out that night; and let each man who may bide awake ; no hurt shall come to us if we fare in such wise.	Hrútur einn kenndi þessi læti og bað engan mann út sjá á þeirri nótt «og haldi hver vöku sinni er má og mun oss þá ekki til saka ef svo er með farið.»
But yet all men slept.	En þó sofnuðu allir menn.
Hrut was longest awake, and yet he too slept at last.	Hrútur vakti lengst en sofnaði þó.
Kari hight a son of Hrut; he was then twelve winters old, and was the hopefullest of the sons of Hrut.	Kári hét son Hrúts er þá var tólf vetra gamall og var hann efnilegastur sona Hrúts.
He loved him much.	Hann unni honum mikið.
Kari slept wellnigh not at all, because for him was the play made ; he felt not much at his ease.	Kári sofnaði nær ekki því að til hans var leikur ger. Honum gerðist ekki mjög vært.
Kari sprang up and looked out;	Kári spratt upp og sá út.
he came within the spell-ring and fell down dead straightway.	Hann gekk á seiðinn og féll þegar dauður niður.
Hrut awoke in the morning, and his homemen, and missed his son.	Hrútur vaknaði um morguninn og hans heimamenn og saknaði sonar síns.
He was found lifeless a little way from the doors.	Fannst hann örendur skammt frá durum.
This Hrut deemed the most scathe, and let pile a howe over Kari.	Þetta þótti Hrúti hinn mesti skaði og lét verpa haug eftir Kára.
Then he rideth to meet Olaf Hoskuldson, and telleth him those tidings that had come to pass there.	Síðan ríður hann á fund Ólafs Höskuldssonar og segir honum þau tíðindi er þar höfðu gerst.
Olaf was wood wroth at his tale, and said it had been ill devised, to let set down close by them such evil men as were Kotkel and his folk. He said moreover that Thorleik had dealt himself an evil lot in his doings with Hrut; but yet, quoth he, greater has the loss been than aught he can have wished for.	Ólafur varð óður við þessi tíðindi og segir verið hafa mikla vanhyggju er þeir höfðu látið sitja slík illmenni hið næsta sér sem þau Kotkell voru, sagði og Þorleik hafa sér illan hlut af deilt af málum við Hrút en kvað þó meira að orðið en hann mundi vilja.
Olaf said that they should straightway slay Kotkel, and his wife and sons; and yet is it over-late now.	Ólafur kvað þá þegar skyldu drepa þau Kotkel og konu hans og sonu «er þó ofseinað nú.»
Olaf and Hrut fare with fifteen men.	Þeir Ólafur og Hrútur fara með fimmtán menn.
But when Kotkel's folk see men riding to their stead, they flee up into the fell.	En er þau Kotkell sjá mannareið að bæ sínum þá taka þau undan í fjall upp.
There was Hallbjorn Whetstones-eye taken, and a bag drawn over his head :	Þar varð Hallbjörn slíkisteinsauga tekinn og dreginn belgur á höfuð honum.
straightway were men told off to ward him, but some set on up into the fells after Kotkel and Grima and Stigandi.	Þegar voru þá fengnir menn til gæslu við hann en sumir sóttu eftir þeim Kotkatli og Grímu og Stíganda upp á fjallið.
Kotkel and Grima were laid hands on upon the Necks betwixt Hawkdale and Laxwaterdale.	Þau Kotkell og Gríma urðu áhend á hálsinum milli Haukadals og Laxárdals.
There were they stoned to death, and that mark is still seen, and it hight War-lock's-cairn.	Voru þau þar barin grjóti í hel og var þar ger að þeim dys úr grjóti og sér þess merki og heitir það Skrattavarði.
Stigandi bent south from the Necks into Hawkdale, and was there lost to them.	Stígandi tók undan suður af hálsinum til Haukadals og þar hvarf hann þeim.
Hrut and his sons fared seaward with Hallbjorn.	Hrútur og synir hans fóru til sjávar með Hallbjörn.
They put out a ship and rowed from land with him ; then took they the bag from off his head, and bound a stone round his neck.	Þeir settu fram skip og reru frá landi með hann. Síðan tóku þeir belg af höfði honum en bundu stein við hálsinn.
Then Hallbjorn cast a glance aland, and the look of his eyes was nought good.	Hallbjörn rak þá skyggnur á landið og var augnalag hans ekki gott.
Then spake Hallbjorn:	Þá mælti Hallbjörn:
